
[00:00:00.000 --> 00:00:03.880]  我們一起來讀一下今天的主題經文
[00:00:03.880 --> 00:00:06.900]  是在以佛所書六章十三節
[00:00:06.900 --> 00:00:09.360]  還有菲利比書三章十三十字節
[00:00:09.360 --> 00:00:10.640]  我們一起來唸 來
[00:00:10.640 --> 00:00:14.600]  所以要拿起神所賜的全副軍裝
[00:00:14.600 --> 00:00:17.760]  好在磨難的日子 抵擋仇敵
[00:00:17.760 --> 00:00:21.920]  並且成就了一切 還能站立得住
[00:00:21.920 --> 00:00:23.440]  下一段經文 來
[00:00:23.440 --> 00:00:27.400]  弟兄們 我不是以為自己已經得著了
[00:00:27.400 --> 00:00:31.960]  我只有一件事 就是忘記背後努力面前的
[00:00:31.960 --> 00:00:33.960]  向著標竿直跑
[00:00:33.960 --> 00:00:37.280]  要得神在基督耶穌裡從上面
[00:00:37.280 --> 00:00:40.440]  召我來得的獎賞
[00:00:40.440 --> 00:00:43.600]  從今年年初開始 教會就是蠻有動力
[00:00:43.600 --> 00:00:45.680]  不論是在各個牧師小組
[00:00:45.680 --> 00:00:47.520]  或是各樣的士工當中
[00:00:47.520 --> 00:00:50.160]  真看到有活力
[00:00:50.160 --> 00:00:52.920]  又有這個聖靈的火在我們當中
[00:00:52.920 --> 00:00:55.080]  其中最讓我們感動的
[00:00:55.080 --> 00:00:58.240]  就是全教會的背誦聖經行動
[00:00:58.240 --> 00:01:02.040]  因為非常多的弟兄姊妹踴躍的參與
[00:01:02.040 --> 00:01:05.200]  那我們看到能夠一起來背誦聖經
[00:01:05.200 --> 00:01:09.280]  真的叫做患難中見真情
[00:01:09.280 --> 00:01:11.960]  因為背聖經實在是挺挑戰的
[00:01:11.960 --> 00:01:15.960]  特別像我這種記性本身就不是很好的人
[00:01:15.960 --> 00:01:17.920]  我就選擇了
[00:01:17.920 --> 00:01:20.720]  閉著眼睛背起來
[00:01:20.720 --> 00:01:24.560]  錄下來 記到APP上面
[00:01:24.560 --> 00:01:27.440]  因為我就發現如果在家背好了
[00:01:27.440 --> 00:01:29.560]  然後開車到教會
[00:01:29.560 --> 00:01:30.720]  到停車場
[00:01:30.720 --> 00:01:33.040]  下來遇到幾位弟兄姊妹聊天
[00:01:33.040 --> 00:01:34.920]  再到這個攤位
[00:01:34.920 --> 00:01:36.720]  根本就已經忘光了
[00:01:36.720 --> 00:01:39.360]  所以我就好 我就用這個閉眼睛
[00:01:39.360 --> 00:01:40.720]  哇 我跟你講 閉眼睛背
[00:01:40.720 --> 00:01:43.560]  我都背了三十幾遍才通過
[00:01:43.560 --> 00:01:45.040]  但是你知道嗎
[00:01:45.040 --> 00:01:46.480]  我不知道有沒有因為我是牧師
[00:01:46.480 --> 00:01:49.240]  所以放水 希望沒有
[00:01:49.240 --> 00:01:52.160]  我真的是一字不漏
[00:01:52.160 --> 00:01:56.240]  可是我就發現每一次這樣子在背聖經的過程
[00:01:56.240 --> 00:01:58.600]  神的話語越咀嚼
[00:01:58.600 --> 00:02:00.280]  就越有味道
[00:02:00.280 --> 00:02:02.640]  越來就越有感動
[00:02:02.640 --> 00:02:05.440]  而神就透過這樣一段經文
[00:02:05.440 --> 00:02:09.000]  對我有深度的一個感觸
[00:02:09.000 --> 00:02:11.560]  所以今天我們的信息其實
[00:02:11.560 --> 00:02:13.280]  如果你沒發現的話
[00:02:13.280 --> 00:02:17.600]  就是一月和二月的經文裡面的內容
[00:02:17.600 --> 00:02:19.120]  以弗所述六章十三節
[00:02:19.120 --> 00:02:21.000]  真的是我從小就在念
[00:02:21.000 --> 00:02:22.960]  可是這次我特別有感觸
[00:02:22.960 --> 00:02:26.240]  這邊說要拿起神所賜的全副軍裝
[00:02:26.240 --> 00:02:30.800]  不但是要拿起軍裝是神所賜的軍裝
[00:02:30.800 --> 00:02:32.200]  不但是神所賜的軍裝
[00:02:32.200 --> 00:02:34.200]  是要全副的軍裝
[00:02:34.200 --> 00:02:36.400]  還不能只是半套而已
[00:02:36.400 --> 00:02:38.960]  為什麼要穿戴全副軍裝呢
[00:02:38.960 --> 00:02:43.000]  因為會有磨難的日子
[00:02:43.000 --> 00:02:46.280]  好在磨難的日子我們可以度過
[00:02:46.280 --> 00:02:47.800]  為什麼要穿全副軍裝
[00:02:47.800 --> 00:02:52.480]  因為有屬靈征戰才能夠抵擋仇敵
[00:02:52.480 --> 00:02:53.880]  為什麼穿上全副軍裝
[00:02:53.880 --> 00:02:57.440]  因為這邊說要成就一切
[00:02:57.440 --> 00:02:58.520]  弟兄姊妹你知道嗎
[00:02:58.520 --> 00:03:01.600]  神在我們生命當中有極豐富的計畫
[00:03:01.600 --> 00:03:03.120]  極榮美的計畫
[00:03:03.120 --> 00:03:07.600]  祂期待我們能夠去成就一切
[00:03:07.600 --> 00:03:10.160]  你這一生不是注定一事無成
[00:03:10.160 --> 00:03:13.840]  你這一生上帝要你成就一切
[00:03:13.840 --> 00:03:16.880]  因此要穿戴全副的軍裝
[00:03:16.880 --> 00:03:21.280]  可是這一次當我在一直背聖經的時候呢
[00:03:21.280 --> 00:03:24.120]  最觸動我的卻是最後一句話
[00:03:24.120 --> 00:03:29.320]  成就了一切還能夠站立的住
[00:03:29.320 --> 00:03:32.600]  這段時間我們聽見有一些神所
[00:03:32.600 --> 00:03:36.120]  重用的僕人跌倒了
[00:03:36.120 --> 00:03:38.640]  一些很有影響力的機構
[00:03:38.640 --> 00:03:40.360]  也出了問題
[00:03:40.360 --> 00:03:45.920]  成就了一切卻是沒有辦法站立的住
[00:03:45.920 --> 00:03:48.840]  當我在讀這段經文的時候
[00:03:48.840 --> 00:03:50.880]  我向神深深的呼求
[00:03:50.880 --> 00:03:52.760]  吶喊 抓
[00:03:52.760 --> 00:03:57.400]  但願我不但能夠因著你成就一切
[00:03:57.400 --> 00:04:01.360]  更能夠靠著你還能夠站立的住
[00:04:01.360 --> 00:04:03.080]  Amen
[00:04:03.080 --> 00:04:07.240]  事實上神國的道路
[00:04:07.240 --> 00:04:08.720]  在各種不同的季節
[00:04:08.720 --> 00:04:12.360]  都有不同的挑戰和屬靈征戰
[00:04:12.360 --> 00:04:18.840]  而屬靈的詩題常常是在意想不到的時候
[00:04:18.840 --> 00:04:20.720]  我們來看一下這個圖
[00:04:20.720 --> 00:04:24.720]  就是一個神國道路不同季節的一些挑戰
