
[00:00:00.000 --> 00:00:04.000]  人與人之間的相處是一門藝術,
[00:00:04.000 --> 00:00:07.000]  要保持美好的人際關係,
[00:00:07.000 --> 00:00:12.000]  要記得不要計較,也不要比較。
[00:00:12.000 --> 00:00:15.000]  所以羅馬書第十二章保羅告訴我們說,
[00:00:15.000 --> 00:00:18.000]  不要看自己過於所單看的,
[00:00:18.000 --> 00:00:22.000]  要照神分給個人信心的大小,
[00:00:22.000 --> 00:00:25.000]  看得合乎中道。
[00:00:25.000 --> 00:00:30.000]  有一天,四位太太在他們畢業後三十年的
[00:00:30.000 --> 00:00:33.000]  餐會里面聊天。
[00:00:33.000 --> 00:00:35.000]  當陳太太去拿食物的時候,
[00:00:35.000 --> 00:00:37.000]  三位太太就開始來討論
[00:00:37.000 --> 00:00:40.000]  他們的兒子是何等的成功。
[00:00:40.000 --> 00:00:44.000]  王太太就說,我的兒子他是學經濟學的,
[00:00:44.000 --> 00:00:48.000]  是個銀行家,非常的富有也很大方,
[00:00:48.000 --> 00:00:54.000]  曾經送給他最好的女朋友一輛法拉利的跑車。
[00:00:54.000 --> 00:00:56.000]  劉太太聽了以後也說,
[00:00:56.000 --> 00:00:58.000]  我的兒子是個飛行員,
[00:00:58.000 --> 00:01:01.000]  自己開了一個航空公司,
[00:01:01.000 --> 00:01:07.000]  他曾經也送給他最要好的女朋友一架噴射飛機。
[00:01:07.000 --> 00:01:09.000]  張太太聽了以後也不甘忍後,
[00:01:09.000 --> 00:01:11.000]  說我的兒子是工程師,
[00:01:11.000 --> 00:01:14.000]  他自己開創了一個工程發展公司,
[00:01:14.000 --> 00:01:15.000]  非常的富有,
[00:01:15.000 --> 00:01:22.000]  他曾經也爲他最愛的女朋友建了一座城堡。
[00:01:22.000 --> 00:01:26.000]  然後陳太太拿了食物就回到座位,
[00:01:26.000 --> 00:01:29.000]  問他們說,你們在討論什麼呢?
[00:01:29.000 --> 00:01:35.000]  這三個太太就帶着傲氣的來向陳太太說,
[00:01:35.000 --> 00:01:38.000]  我們在討論我們的兒子是如何的成功。
[00:01:38.000 --> 00:01:42.000]  然後他們就以另外的眼光就看着陳太太說,
[00:01:42.000 --> 00:01:44.000]  那你兒子的狀況如何?
[00:01:44.000 --> 00:01:48.000]  陳太太就回答說,我沒有兒子,只有一個女兒,
[00:01:48.000 --> 00:01:50.000]  也是在酒吧裏面上班。
[00:01:50.000 --> 00:01:54.000]  這三個人聽了以後用憐憫的眼光看着陳太太說,
[00:01:54.000 --> 00:01:56.000]  那你不是很失望嗎?
[00:01:56.000 --> 00:02:01.000]  陳太太就回答說,不會啦,我的女兒過得非常的精彩,
[00:02:01.000 --> 00:02:04.000]  上個禮拜她在她的生日宴會里面,
[00:02:04.000 --> 00:02:10.000]  她三個最要好的男朋友送給她三件非常豐盛的禮物,
[00:02:10.000 --> 00:02:16.000]  一輛法拉利跑車,一架噴射飛機,一座城堡。
[00:02:16.000 --> 00:02:20.000]  三個人聽了以後幾乎暈了過去,
[00:02:20.000 --> 00:02:23.000]  到頭來沒有人說不要比較。
[00:02:23.000 --> 00:02:26.000]  特別是當你知道你的身份是什麼,
[00:02:26.000 --> 00:02:32.000]  當你知道說你是神重駕埋屬回來的兒女,
[00:02:32.000 --> 00:02:35.000]  你乃是天上附身的兒女,有這樣的尊貴的身份,
