
[00:00:00.000 --> 00:00:02.000]  弟子們,稍後一日
[00:00:02.000 --> 00:00:05.000]  生命樹又跟大家看聖經人、聖經事
[00:00:05.000 --> 00:00:07.000]  爺爺和華發怒
[00:00:07.000 --> 00:00:09.000]  嘩!怎麼搞的
[00:00:09.000 --> 00:00:11.000]  仍然是《士斯記》歷史書
[00:00:11.000 --> 00:00:14.000]  是講述聖經的事的
[00:00:14.000 --> 00:00:16.000]  《士斯記》第二章
[00:00:16.000 --> 00:00:20.000]  從前約書亞打發以色列百姓去的時候
[00:00:20.000 --> 00:00:23.000]  令到他們進了迦南地
[00:00:23.000 --> 00:00:26.000]  然後各歸自己的地業
[00:00:26.000 --> 00:00:28.000]  佔據土地
[00:00:28.000 --> 00:00:30.000]  第六節就說
[00:00:30.000 --> 00:00:32.000]  他們進去
[00:00:32.000 --> 00:00:34.000]  拿了十二支牌
[00:00:34.000 --> 00:00:36.000]  拿了他們的地
[00:00:36.000 --> 00:00:38.000]  各歸自己的地業
[00:00:38.000 --> 00:00:40.000]  佔據了
[00:00:40.000 --> 00:00:42.000]  拿了
[00:00:42.000 --> 00:00:44.000]  第七節約書亞在世
[00:00:44.000 --> 00:00:46.000]  還有很重要的
[00:00:46.000 --> 00:00:48.000]  紫色字,重要的
[00:00:48.000 --> 00:00:50.000]  約書亞死後
[00:00:50.000 --> 00:00:52.000]  他在世與死後
[00:00:52.000 --> 00:00:54.000]  還有
[00:00:54.000 --> 00:00:56.000]  那些見爺和華
[00:00:56.000 --> 00:00:59.000]  為以色列人所行大事的長老
[00:00:59.000 --> 00:01:01.000]  還在的時候
[00:01:01.000 --> 00:01:03.000]  先是摩西
[00:01:03.000 --> 00:01:04.000]  然後到約書亞
[00:01:04.000 --> 00:01:06.000]  約書亞在那裡帶領著他們
[00:01:06.000 --> 00:01:08.000]  很順服,很好
[00:01:08.000 --> 00:01:10.000]  很強,信心很好
[00:01:10.000 --> 00:01:12.000]  領袖很好
[00:01:12.000 --> 00:01:15.000]  然後約書亞一百一十歲死了
[00:01:15.000 --> 00:01:18.000]  當時那些
[00:01:18.000 --> 00:01:21.000]  在曠野出世的那一代人
