
[00:00:00.000 --> 00:00:02.000]  請我們祈禱
[00:00:02.000 --> 00:00:05.000]  如我口中言語
[00:00:05.000 --> 00:00:08.000]  弟兄姊妹的心懷意念
[00:00:08.000 --> 00:00:12.000]  都蒙上主的圓 阿們
[00:00:12.000 --> 00:00:14.000]  各位
[00:00:14.000 --> 00:00:16.000]  我們今天所讀的經課
[00:00:16.000 --> 00:00:21.000]  《路加福音》七章三十六到五十節
[00:00:21.000 --> 00:00:24.000]  和八章一至到三節
[00:00:24.000 --> 00:00:27.000]  在這一段經課裏
[00:00:27.000 --> 00:00:31.000]  是比較少提及一個角度
[00:00:31.000 --> 00:00:35.000]  就是獨排眾議
[00:00:35.000 --> 00:00:37.000]  這個思想
[00:00:37.000 --> 00:00:40.000]  獨排眾議
[00:00:40.000 --> 00:00:42.000]  自古到今
[00:00:42.000 --> 00:00:44.000]  每一個人在社群裏面
[00:00:44.000 --> 00:00:48.000]  我們都會掙扎著一個問題
[00:00:48.000 --> 00:00:51.000]  我們要做一個跟風的人
[00:00:51.000 --> 00:00:53.000]  做一個有性格的人
[00:00:53.000 --> 00:00:57.000]  還是要走群眾路線
[00:00:57.000 --> 00:01:02.000]  到底是群眾的路線
[00:01:02.000 --> 00:01:05.000]  還是走自己的路
[00:01:05.000 --> 00:01:09.000]  可能有人會說我只不過是一個小人物
[00:01:09.000 --> 00:01:12.000]  可能我走群眾的路線
[00:01:12.000 --> 00:01:15.000]  是會比較安全的
[00:01:15.000 --> 00:01:17.000]  但是如果我是一個大人物
[00:01:17.000 --> 00:01:19.000]  是領袖
[00:01:19.000 --> 00:01:22.000]  我就應該獨排眾議
[00:01:22.000 --> 00:01:24.000]  走自己的路
[00:01:24.000 --> 00:01:29.000]  但是如果走群眾的路線
[00:01:29.000 --> 00:01:32.000]  往往很容易跟風
[00:01:32.000 --> 00:01:34.000]  失去了個人的風格
[00:01:34.000 --> 00:01:38.000]  失去了個人的理想
[00:01:38.000 --> 00:01:39.000]  個性
[00:01:39.000 --> 00:01:40.000]  個人
[00:01:40.000 --> 00:01:42.000]  是會被忽略的
[00:01:42.000 --> 00:01:46.000]  如果走群眾的路線
[00:01:46.000 --> 00:01:49.000]  可能會失去自己
[00:01:49.000 --> 00:01:52.000]  但是走自己的路的人
[00:01:52.000 --> 00:01:55.000]  可能是會不被接受
[00:01:55.000 --> 00:01:58.000]  又會失去群眾
[00:01:58.000 --> 00:02:00.000]  很明顯
[00:02:00.000 --> 00:02:02.000]  一個機構的主管
[00:02:02.000 --> 00:02:05.000]  經常都會掙扎一個問題
[00:02:05.000 --> 00:02:09.000]  我是應該堅持我要走的理想
[00:02:09.000 --> 00:02:10.000]  我的路
[00:02:10.000 --> 00:02:15.000]  還是我要顧及我下屬的看法
[00:02:15.000 --> 00:02:17.000]  我們處事為人
[00:02:17.000 --> 00:02:21.000]  往往很多時候在這兩者裡面
[00:02:21.000 --> 00:02:24.000]  我們需要作出取捨
[00:02:24.000 --> 00:02:27.000]  我們思想怎樣去平衡
[00:02:27.000 --> 00:02:31.000]  很盼望今天我們所讀的經課
[00:02:31.000 --> 00:02:34.000]  能夠給我們一些提示
[00:02:34.000 --> 00:02:36.000]  或者是亮光
[00:02:36.000 --> 00:02:38.000]  我們來看一看
[00:02:38.000 --> 00:02:40.000]  這一段的經課
[00:02:40.000 --> 00:02:42.000]  大概我們可以分開
[00:02:42.000 --> 00:02:47.000]  有三段三幕
[00:02:47.000 --> 00:02:49.000]  第一幕是說耶穌
[00:02:49.000 --> 00:02:52.000]  和那個有罪的女人
[00:02:52.000 --> 00:02:54.000]  這位有罪的女人
[00:02:54.000 --> 00:02:58.000]  在一個法利塞人的家裡
[00:02:58.000 --> 00:03:03.000]  有一個法利塞人請耶穌和她吃飯
[00:03:03.000 --> 00:03:06.000]  耶穌通常都不會拒絕的
[00:03:06.000 --> 00:03:08.000]  有飯吃我也不拒絕
[00:03:08.000 --> 00:03:10.000]  而且是法利塞人
[00:03:10.000 --> 00:03:12.000]  有地位
[00:03:12.000 --> 00:03:14.000]  也有尊嚴的人
[00:03:14.000 --> 00:03:16.000]  更加要去
[00:03:16.000 --> 00:03:18.000]  耶穌就去助席
[00:03:18.000 --> 00:03:20.000]  在助席期間
[00:03:20.000 --> 00:03:22.000]  在城裡面有個女人
[00:03:22.000 --> 00:03:25.000]  聖經特別提她是罪人
[00:03:25.000 --> 00:03:27.000]  很多色經學者就說
[00:03:27.000 --> 00:03:30.000]  這位應該可能是妓女
[00:03:30.000 --> 00:03:32.000]  知道耶穌在這個
[00:03:32.000 --> 00:03:36.000]  有頭有面的法利塞人家裡助席
