
[00:00:00.000 --> 00:00:04.440]  在南加州一箇中產階級的一個小鎮裏面
[00:00:04.440 --> 00:00:06.720]  有一個小學五年級的老師
[00:00:06.720 --> 00:00:10.000]  有一次他給了一個作文題目給那些學生
[00:00:10.000 --> 00:00:12.680]  我最渴望得到些什麼
[00:00:12.680 --> 00:00:16.520]  他想想那些學生一定會得到一些
[00:00:16.520 --> 00:00:21.000]  超人啊、玩具啊、平板電腦啊、iPad 6啊
[00:00:21.000 --> 00:00:23.720]  或者是寵物啊、或者是夏威夷旅行
[00:00:23.720 --> 00:00:27.720]  誰知道他批閱那些學生的作文的時候
[00:00:27.720 --> 00:00:28.680]  嚇了一跳
[00:00:28.680 --> 00:00:33.800]  三十個學生當中,二十個都很渴望有個溫暖的家
[00:00:33.800 --> 00:00:37.000]  其中有些學生說
[00:00:37.000 --> 00:00:39.920]  我很希望我爸爸媽媽不再吵架
[00:00:39.920 --> 00:00:43.400]  我何等渴望我爸爸早點回家
[00:00:43.400 --> 00:00:45.800]  我希望我能夠成績好一點
[00:00:45.800 --> 00:00:49.160]  以至爸爸媽媽可以接納我,和愛我
[00:00:49.160 --> 00:00:52.680]  我只希望只有一個爸爸,一個媽媽
[00:00:52.680 --> 00:00:55.080]  以至我同學不會再取笑我
[00:00:55.400 --> 00:01:02.920]  我真的很希望有一支槍,恨不得將所有取笑我的人置於死命
[00:01:02.920 --> 00:01:06.160]  難怪美國校園有那麼多槍殺案
[00:01:06.160 --> 00:01:08.960]  在今天的社會里面
[00:01:08.960 --> 00:01:11.160]  最大的死症
[00:01:11.160 --> 00:01:15.520]  不是伊波拉,不是艾滋病,不是心臟病
[00:01:15.520 --> 00:01:17.560]  不是癌病
[00:01:17.560 --> 00:01:22.120]  今天社會最大的問題也不是政改、佔中、反佔中等等
[00:01:22.120 --> 00:01:24.680]  是個家庭的崩潰
[00:01:25.160 --> 00:01:28.640]  我們不要以爲只有歐美纔會有這樣的事情發生
[00:01:28.640 --> 00:01:30.600]  在今天的香港的家庭裏面
[00:01:30.600 --> 00:01:32.600]  暴力的問題,第三者的問題
[00:01:32.600 --> 00:01:36.040]  婚姻的問題,空殼有名無實的婚姻
