
[00:00:00.000 --> 00:00:03.300]  我現在就要和你說史詩記了
[00:00:03.300 --> 00:00:06.020]  因為史詩記更複雜、更精彩
[00:00:06.020 --> 00:00:10.200]  如果《路德記》的題目是大衛才是賢君幫大衛買廣告
[00:00:10.200 --> 00:00:14.860]  史詩記就是要抹黑、要畫黑蘇羅
[00:00:14.860 --> 00:00:16.900]  蘇羅實非皆算
[00:00:16.900 --> 00:00:25.660]  我想你看回史詩記的開頭和約書亞記開頭的相似
[00:00:25.660 --> 00:00:27.660]  那個相對
[00:00:27.660 --> 00:00:31.160]  約書亞開始的時候是摩西死了
[00:00:31.160 --> 00:00:35.800]  接著他的助手亂的兒子約書亞起來
[00:00:35.800 --> 00:00:40.640]  如果你去到史詩記的開始是說約書亞死了
[00:00:40.640 --> 00:00:43.500]  一個是摩西死了,一個是約書亞死了
[00:00:43.500 --> 00:00:47.500]  那麼史詩記就不是那麼肯定了
[00:00:47.500 --> 00:00:49.000]  約書亞死了
[00:00:49.000 --> 00:00:51.000]  那麼誰去打仗呢?
[00:00:51.000 --> 00:00:52.260]  誰應該先上去呢?
[00:00:52.260 --> 00:00:56.040]  那麼接著第一章第二次就說尤大先上去
[00:00:56.040 --> 00:00:58.200]  當然尤大不是唯一去打仗
[00:00:58.200 --> 00:01:00.200]  其他還有每個支牌也有人去
[00:01:00.200 --> 00:01:02.200]  我們現在要飛了
[00:01:02.200 --> 00:01:04.200]  史詩記說什麼呢?
[00:01:04.200 --> 00:01:06.200]  史詩記就是講史詩的
[00:01:06.200 --> 00:01:09.200]  但是它講得史詩之餘
[00:01:09.200 --> 00:01:11.200]  很有性格的
[00:01:11.200 --> 00:01:15.200]  我不知道你有沒有數過有多少個史詩
[00:01:15.200 --> 00:01:17.200]  答案是12個
[00:01:17.200 --> 00:01:23.200]  而12個史詩裡面有6個叫做大史詩
[00:01:23.200 --> 00:01:25.200]  6個叫做小史詩
[00:01:25.200 --> 00:01:29.200]  那麼大就是說的篇幅是大一點的
[00:01:29.200 --> 00:01:33.200]  所謂小就是一句,那就搞定了
[00:01:33.200 --> 00:01:35.200]  那就小
[00:01:35.200 --> 00:01:41.200]  那麼這12個大和小的史詩
[00:01:41.200 --> 00:01:43.200]  有一個很特別的編排的方法
[00:01:43.200 --> 00:01:45.200]  就是這樣的編排
[00:01:45.200 --> 00:01:48.200]  那些有顏色的就是大史詩
[00:01:48.200 --> 00:01:50.200]  沒有顏色的就是小史詩
[00:01:50.200 --> 00:01:52.200]  那麼原來聖經學者說
[00:01:52.200 --> 00:01:54.200]  你去研究的時候你發現
[00:01:54.200 --> 00:01:56.200]  他用了一個formula
