
[00:00:00.000 --> 00:00:02.000]  在接下來幾個月
[00:00:02.000 --> 00:00:05.000]  惠明和我會在講道當中
[00:00:05.000 --> 00:00:08.000]  和大家講教會生活的七個範疇
[00:00:08.000 --> 00:00:13.000]  上個禮拜大家記得惠明和大家講到敬拜
[00:00:13.000 --> 00:00:16.000]  今天我和大家講到禱告
[00:00:16.000 --> 00:00:20.000]  禱告這個題目我們基督徒就有點尷尬
[00:00:20.000 --> 00:00:23.000]  因爲我們講的多做的少
[00:00:23.000 --> 00:00:27.000]  你每天的WhatsApp用了多少個祈禱的手來告訴別人
[00:00:27.000 --> 00:00:32.000]  如果你每一個祈禱手就祈禱一分鐘的話
[00:00:32.000 --> 00:00:35.000]  你的頭頂可能已經有光圈了
[00:00:35.000 --> 00:00:39.000]  我們還有心裏面有個困惑
[00:00:39.000 --> 00:00:41.000]  爲什麼要祈禱呢
[00:00:41.000 --> 00:00:43.000]  爲什麼別人祈禱好像比我好聽呢
[00:00:43.000 --> 00:00:47.000]  爲什麼有些牧師出來祈禱可以提升八度
[00:00:47.000 --> 00:00:49.000]  爲什麼羅牧師又不會這樣做呢
[00:00:49.000 --> 00:00:58.000]  今天我要和大家討論幾個很重要的關於禱告的問題
[00:00:58.000 --> 00:01:02.000]  很切實的可以改變你的生活
[00:01:02.000 --> 00:01:05.000]  第一我們要看看爲什麼基督徒需要禱告
[00:01:05.000 --> 00:01:09.000]  究竟禱告的動機和推動在哪裏
[00:01:09.000 --> 00:01:10.000]  目的在哪裏
[00:01:10.000 --> 00:01:14.000]  第二有哪些禱告是上帝聽的
[00:01:14.000 --> 00:01:16.000]  有哪些是不聽的
[00:01:16.000 --> 00:01:18.000]  哪些是靈的哪些是不靈的
[00:01:18.000 --> 00:01:22.000]  第三究竟禱告是長好還是短好
[00:01:22.000 --> 00:01:24.000]  是不是一定要長才好
[00:01:24.000 --> 00:01:28.000]  第四禱告有沒有正確的方法和態度
[00:01:28.000 --> 00:01:31.000]  我們會用主禱文來做個典範
