
[00:00:00.000 --> 00:00:03.580]  各位弟兄姊妹,早晨,新年快樂
[00:00:03.580 --> 00:00:08.440]  我想我們每個人都有一個特性
[00:00:08.440 --> 00:00:11.260]  很喜歡聽故事
[00:00:11.260 --> 00:00:14.580]  我想在座的弟兄姊妹都不例外
[00:00:14.580 --> 00:00:18.420]  特別那些很感人的故事
[00:00:18.420 --> 00:00:22.260]  結局很出人意外的故事
[00:00:22.260 --> 00:00:25.860]  我們全部豎起耳朵來聽
[00:00:27.140 --> 00:00:30.220]  所以故事真的很吸引人
[00:00:30.220 --> 00:00:36.100]  耶穌是一個講故事的高手
[00:00:36.100 --> 00:00:40.460]  因為他講到很喜歡用比喻
[00:00:40.460 --> 00:00:42.500]  有一個人
[00:00:42.500 --> 00:00:46.600]  出去殺種,他把種子殺在田裡
[00:00:46.600 --> 00:00:49.160]  有四種不同土地
[00:00:49.160 --> 00:00:52.740]  有個爸爸,他有兩個兒子
[00:00:53.260 --> 00:00:59.140]  小兒子要分家產,提早分家產,反正遲些你都要給我
[00:00:59.140 --> 00:01:01.700]  就是很出名的
[00:01:01.700 --> 00:01:05.040]  浪子回家的故事
[00:01:05.040 --> 00:01:08.620]  這個故事真的太出名了
[00:01:08.620 --> 00:01:12.980]  很多世界出名的文學家
[00:01:12.980 --> 00:01:16.820]  都說這個故事是聖經裡面
[00:01:16.820 --> 00:01:18.600]  最出色
[00:01:18.600 --> 00:01:23.220]  最感人的短篇小說
[00:01:24.240 --> 00:01:27.560]  所以有很多電影的情節
[00:01:27.560 --> 00:01:31.920]  都是抄浪子回頭的
[00:01:31.920 --> 00:01:34.480]  一個家庭
[00:01:34.480 --> 00:01:38.580]  有些反叛的兒子
[00:01:38.580 --> 00:01:40.880]  不知怎樣跟家人吵架
[00:01:40.880 --> 00:01:43.180]  離家出走
[00:01:43.180 --> 00:01:46.500]  這個兒子在外面很多遭遇
[00:01:46.500 --> 00:01:48.300]  然後
[00:01:48.300 --> 00:01:49.580]  最後
[00:01:49.580 --> 00:01:51.640]  他竟然說
[00:01:51.640 --> 00:01:52.900]  想起
[00:01:53.420 --> 00:01:55.980]  家裡有個爸爸
[00:01:55.980 --> 00:01:58.280]  不如我回去看看他
[00:01:58.280 --> 00:02:01.860]  他就想好了台詞
[00:02:01.860 --> 00:02:05.700]  他說我不配做你的兒子,我做你的傭人
[00:02:05.700 --> 00:02:08.260]  我服侍你等等
[00:02:08.260 --> 00:02:14.380]  誰知這個爸爸竟然無條件接納他
[00:02:14.380 --> 00:02:17.740]  而且用很大很深
[00:02:17.740 --> 00:02:19.780]  很特別的愛
[00:02:19.780 --> 00:02:21.580]  來愛他
[00:02:22.600 --> 00:02:25.160]  我不知道在座各位弟兄姊妹
[00:02:25.160 --> 00:02:27.460]  你信耶穌
[00:02:27.460 --> 00:02:31.300]  有沒有因為這個浪子回頭的故事
[00:02:31.300 --> 00:02:36.160]  如果有教會請我去講報道會
