
[00:00:00.000 --> 00:00:03.460]  由上星期開始已經開始講羅馬書
[00:00:03.460 --> 00:00:05.480]  如果你上星期不在這裏旅行的話
[00:00:05.480 --> 00:00:06.660]  我鼓勵你上網去聽
[00:00:06.660 --> 00:00:13.420]  因爲我們整個羅馬書的思維是很連貫性的
[00:00:13.420 --> 00:00:18.300]  我們昨天下午的講座都講了基督神人異性的重要性
[00:00:18.300 --> 00:00:23.560]  亦都要補充在羅馬書講道里面第一章第三和第四節
[00:00:23.560 --> 00:00:27.240]  本來要提及到關於基督神性和人性的問題
[00:00:27.240 --> 00:00:31.080]  我們今天要進入到羅馬書一章十六節到三十二節
[00:00:31.080 --> 00:00:32.780]  非常之長的經文
[00:00:32.780 --> 00:00:38.040]  但是在羅馬書難講或難預備的原因在哪裏,弟兄姊妹
[00:00:38.040 --> 00:00:45.120]  羅馬書的註釋書差不多是任何一本聖經的註釋書最多的註釋書
[00:00:45.120 --> 00:00:51.060]  亦都是神學的問題最深的一個課題
[00:00:51.060 --> 00:00:54.820]  我們今天要面對的整個羅馬書
[00:00:54.820 --> 00:01:01.120]  亦都是我們信仰裏面最基要最基本的一些信仰的基礎
[00:01:01.120 --> 00:01:04.820]  但是這個最基本的基礎裏面牽涉的問題非常之多
[00:01:04.820 --> 00:01:08.180]  保羅不斷要回答問題不斷回答問題不斷回答問題
[00:01:08.180 --> 00:01:13.560]  因爲這個是他的思考整個福音裏面所碰到的問題
[00:01:13.560 --> 00:01:19.520]  我們生存越久就會發覺我們全方位的動力就越小
[00:01:19.520 --> 00:01:21.420]  很奇怪,是不是?
[00:01:21.420 --> 00:01:26.220]  保羅在另一卷的書信裏面說今天我們能夠傳福音
[00:01:26.220 --> 00:01:31.580]  或者我們的生命有見證或者我們有生命力的動力來自
[00:01:31.580 --> 00:01:36.220]  跟你姐弟說一聲,是基督的愛
[00:01:36.220 --> 00:01:41.960]  因爲神的愛激勵我以至我能夠去侍奉這位上帝
[00:01:41.960 --> 00:01:46.960]  從感性上的層面,保羅這個說法是非常之正確的
[00:01:46.960 --> 00:01:51.840]  我們不是因爲律法不是因爲要負責任所以我們要傳福音
