
[00:00:00.000 --> 00:00:03.640]  今天我和大家要思想一個題目
[00:00:03.640 --> 00:00:05.940]  回到我們今年的主題
[00:00:05.940 --> 00:00:08.320]  我們二十二十的視野
[00:00:08.320 --> 00:00:09.840]  今天我們在看什麼呢?
[00:00:09.840 --> 00:00:12.420]  什麼是神所希望我們看到
[00:00:12.420 --> 00:00:16.200]  希望和祂能夠同心 同一個看見
[00:00:16.200 --> 00:00:18.860]  就是耶穌在《馬太福音》
[00:00:18.860 --> 00:00:22.460]  很簡單這幾節 九章35到38節
[00:00:22.460 --> 00:00:25.860]  所指示我們所看的
[00:00:25.860 --> 00:00:29.000]  「舉目向田觀看」
[00:00:29.000 --> 00:00:35.440]  相信大家對聖經節不會陌生
[00:00:35.440 --> 00:00:38.720]  和我們的宣教月、宣教年
[00:00:38.720 --> 00:00:40.080]  是很息息相關的
[00:00:40.080 --> 00:00:44.660]  因為我們今天就是為了要遵行主的吩咐
[00:00:44.660 --> 00:00:47.140]  來學校耶穌的榜樣
[00:00:47.140 --> 00:00:52.860]  所以今天我們看見在《馬太福音》第九章裏面
[00:00:52.860 --> 00:00:55.800]  耶穌是有一個屬靈的視野
[00:00:55.800 --> 00:00:59.320]  祂看見當時這些禾田的時候
[00:00:59.320 --> 00:01:02.080]  祂就有一個屬靈的看見
[00:01:02.080 --> 00:01:04.720]  不單止看見這些物質的表面
[00:01:04.720 --> 00:01:06.920]  待會兒我們會再詳細說說
[00:01:06.920 --> 00:01:10.060]  祂更加看見這些禾田
[00:01:10.060 --> 00:01:12.360]  叫我們來看見
[00:01:12.360 --> 00:01:15.860]  是需要來修改
[00:01:15.860 --> 00:01:18.380]  所以我們今天來看看《馬太福音》第九章
[00:01:18.380 --> 00:01:20.600]  這幾節的經文
[00:01:20.600 --> 00:01:25.340]  大家可以一起來讀出
[00:01:25.340 --> 00:01:28.280]  《馬太福音》第九章三十五節
[00:01:28.280 --> 00:01:31.340]  「耶穌走遍各城各鄉
[00:01:31.340 --> 00:01:33.720]  在會堂裏教訓人
[00:01:33.720 --> 00:01:36.380]  宣講天國的福音
[00:01:36.380 --> 00:01:39.500]  又醫治各樣的病症
[00:01:39.500 --> 00:01:43.340]  他看見許多的人就憐憫他們
[00:01:43.340 --> 00:01:45.820]  因為他們困苦流離
[00:01:45.820 --> 00:01:49.280]  如同羊沒有牧人一般」
[00:01:49.280 --> 00:01:50.980]  第三十七節
[00:01:50.980 --> 00:01:55.500]  「於是對門徒說要收的莊稼多
[00:01:55.500 --> 00:01:57.240]  作工的人少
[00:01:57.240 --> 00:02:00.520]  所以你們當求莊稼的主
[00:02:00.520 --> 00:02:08.460]  打發工人出去收他的莊稼」
[00:02:08.460 --> 00:02:12.120]  主耶穌當時來到走遍各城各鄉
[00:02:12.120 --> 00:02:18.160]  這是祂來到進行祂的賦神
[00:02:18.160 --> 00:02:21.240]  所差遣祂來到世上的使命
[00:02:21.240 --> 00:02:24.780]  同樣的今天我們也是來奉行
[00:02:24.780 --> 00:02:28.200]  主所差遣給我們的使命
[00:02:28.200 --> 00:02:29.640]  我們很熟悉的
[00:02:29.640 --> 00:02:34.800]  是《馬太福音》第28章的大使命
