
[00:00:00.000 --> 00:00:02.000]  親愛的姐妹們早安
[00:00:02.000 --> 00:00:04.000]  願你們平安
[00:00:04.000 --> 00:00:08.000]  從上一次我在這裡講道
[00:00:08.000 --> 00:00:10.000]  到今天在這裡
[00:00:10.000 --> 00:00:12.000]  再講道已經
[00:00:12.000 --> 00:00:14.000]  有一段日子了
[00:00:14.000 --> 00:00:16.000]  在這段時間裏面
[00:00:16.000 --> 00:00:18.000]  你們的世界
[00:00:18.000 --> 00:00:20.000]  或者
[00:00:20.000 --> 00:00:22.000]  應該沒有什麼大的變化
[00:00:22.000 --> 00:00:24.000]  但我的世界
[00:00:24.000 --> 00:00:26.000]  它已經不能夠再一樣了
[00:00:26.000 --> 00:00:28.000]  大家都知道
[00:00:28.000 --> 00:00:30.000]  都知道我在這段時間裏面
[00:00:30.000 --> 00:00:34.000]  我太太忽然離開了這個世界
[00:00:34.000 --> 00:00:36.000]  回到天父的懷抱那裏
[00:00:36.000 --> 00:00:38.000]  你們的生活
[00:00:38.000 --> 00:00:42.000]  大致都是依舊
[00:00:42.000 --> 00:00:44.000]  都是這樣
[00:00:44.000 --> 00:00:46.000]  早上起來
[00:00:46.000 --> 00:00:48.000]  你們會吃早餐
[00:00:48.000 --> 00:00:50.000]  早餐不是A餐就是B餐
[00:00:50.000 --> 00:00:52.000]  之後就開始工作
[00:00:52.000 --> 00:00:54.000]  工作的情景
[00:00:54.000 --> 00:00:56.000]  大致都是這樣
[00:00:56.000 --> 00:00:58.000]  之後就回家
[00:00:58.000 --> 00:01:00.000]  和家人吃飯
[00:01:00.000 --> 00:01:02.000]  再之後就睡覺
[00:01:02.000 --> 00:01:04.000]  做的夢都是差不多
[00:01:04.000 --> 00:01:08.000]  但我整個生活都變了
[00:01:08.000 --> 00:01:10.000]  早上起來
[00:01:10.000 --> 00:01:12.000]  三十年來
[00:01:12.000 --> 00:01:14.000]  我太太煮的早餐
[00:01:14.000 --> 00:01:16.000]  就再沒有了
[00:01:16.000 --> 00:01:18.000]  之後就開始工作
[00:01:18.000 --> 00:01:20.000]  但工作的時候
[00:01:20.000 --> 00:01:22.000]  某些感覺都不再一樣
