
[00:00:00.000 --> 00:00:05.720]  今日能夠繼續和大家講哥羅西書
[00:00:05.720 --> 00:00:11.560]  上次我們講了第一個講
[00:00:11.560 --> 00:00:14.620]  是一章一至十一節
[00:00:14.620 --> 00:00:17.420]  今日是講十二至二十三節
[00:00:17.420 --> 00:00:19.380]  上次
[00:00:19.380 --> 00:00:22.320]  上次講的
[00:00:22.320 --> 00:00:26.080]  是問我們是否真的知道神呢?
[00:00:26.080 --> 00:00:29.100]  是否真的認識神呢?
[00:00:30.980 --> 00:00:33.040]  如果我們真的認識神
[00:00:33.040 --> 00:00:38.300]  我們就必定會在生活上活出主的樣式
[00:00:38.300 --> 00:00:41.140]  經文說「對得起主」
[00:00:41.140 --> 00:00:44.620]  如果我們這樣做我們會「蒙主喜悅」
[00:00:44.620 --> 00:00:47.080]  「對得起主」是甚麼意思呢?
[00:00:47.080 --> 00:00:48.480]  就是我們要成長
[00:00:48.480 --> 00:00:51.200]  要培養出好的屬靈品格
[00:00:51.200 --> 00:00:53.060]  要傳福音
[00:00:53.060 --> 00:00:55.720]  和要更深地去認識神
[00:00:56.160 --> 00:01:00.700]  這樣我們就可以享受到救恩所帶來的各種福氣
[00:01:00.700 --> 00:01:03.200]  是神已經預了給我們的福氣
[00:01:03.200 --> 00:01:06.340]  這是上次所講的主題
[00:01:06.340 --> 00:01:10.920]  今日要講的就是
[00:01:10.920 --> 00:01:15.100]  為甚麼我們要這麼認真去對我們的信仰
[00:01:15.100 --> 00:01:18.840]  為甚麼我們要這麼認真去對我們的主呢?
[00:01:18.840 --> 00:01:23.080]  今日的經文告訴我們
[00:01:23.080 --> 00:01:28.040]  因為耶穌基督是超越一切的神和救主
[00:01:28.040 --> 00:01:29.560]  這一點很重要
[00:01:29.560 --> 00:01:34.040]  耶穌基督是超越一切的神和救主
[00:01:34.040 --> 00:01:37.840]  另外很重要的就是
[00:01:37.840 --> 00:01:41.520]  祂這麼超然
[00:01:41.520 --> 00:01:44.720]  但祂和我們人有甚麼關係呢?
[00:01:44.720 --> 00:01:49.920]  祂的愛
[00:01:49.920 --> 00:01:52.760]  也是超越一切
[00:01:53.280 --> 00:01:55.600]  祂對人、對我們人的愛
[00:01:55.600 --> 00:01:57.000]  也超越一切
[00:01:57.000 --> 00:02:00.640]  今日我就是想和大家一起去
[00:02:00.640 --> 00:02:03.720]  更深地去認識清楚
[00:02:03.720 --> 00:02:06.540]  耶穌基督對我們人
[00:02:06.540 --> 00:02:08.840]  對我們有甚麼影響
[00:02:08.840 --> 00:02:16.080]  讓我們一起去認識這位超越一切的耶穌基督
[00:02:16.080 --> 00:02:20.640]  在開始講,再講下去之前
[00:02:20.640 --> 00:02:22.440]  就和大家講一個故事
[00:02:24.080 --> 00:02:26.480]  這個故事是講有一個爸爸
[00:02:26.480 --> 00:02:30.560]  他有一天正在書房裏面工作的時候
[00:02:30.560 --> 00:02:34.520]  他就聽到廳外傳來
[00:02:34.520 --> 00:02:40.560]  他太太和他小兒子的一些對話的聲音
[00:02:40.560 --> 00:02:43.800]  他這個兒子很小,在讀幼稚園
[00:02:43.800 --> 00:02:46.840]  不知道是甚麼原因
[00:02:46.840 --> 00:02:53.960]  他太太就很大聲地去教訓他小兒子
[00:02:53.960 --> 00:02:56.960]  這個太太就說
[00:02:56.960 --> 00:02:58.960]  不理那麼多
[00:02:58.960 --> 00:03:02.320]  總之你就要聽我的吩咐去做
[00:03:02.320 --> 00:03:05.680]  我是這間屋的第一總司令
[00:03:05.680 --> 00:03:07.680]  是number one in charge
[00:03:07.680 --> 00:03:15.360]  這個爸爸聽到這裏的時候
[00:03:15.360 --> 00:03:20.960]  就停下來不做事,聽聽他們的對話
[00:03:20.960 --> 00:03:26.240]  誰知他這個小孩子就這樣回答
[00:03:26.240 --> 00:03:28.880]  他說媽媽不是
[00:03:28.880 --> 00:03:31.880]  你不是number one,你不是排第一
[00:03:31.880 --> 00:03:36.680]  你不是number one in charge
[00:03:36.680 --> 00:03:38.680]  你是number two
[00:03:38.680 --> 00:03:40.680]  排第二而已
[00:03:40.680 --> 00:03:46.480]  爸爸聽到這裏,更加豎起耳朵要聽
[00:03:46.480 --> 00:03:51.240]  他心想,我是不是number one是我呢?
[00:03:51.240 --> 00:03:53.240]  兒子和我關係都不錯
[00:03:53.240 --> 00:03:57.000]  可能我是number one
[00:03:57.000 --> 00:04:00.200]  誰知兒子繼續講下去
[00:04:00.200 --> 00:04:04.200]  他說主耶穌是number one
[00:04:04.200 --> 00:04:08.920]  主耶穌是我們這間的第一個總司令,排第一
[00:04:08.920 --> 00:04:12.920]  這個故事就講完了
[00:04:12.920 --> 00:04:20.920]  這個故事讓我們想了很多東西
[00:04:20.920 --> 00:04:23.920]  當然我也很希望我們的弟兄
[00:04:23.920 --> 00:04:25.920]  每一個做爸爸的
[00:04:25.920 --> 00:04:28.920]  在屋裏面,在你的家裏面
[00:04:28.920 --> 00:04:32.920]  在屬靈的事上
[00:04:32.920 --> 00:04:34.920]  在人生的道路上
[00:04:34.920 --> 00:04:37.920]  你都能夠做一個number one的領導
[00:04:37.920 --> 00:04:41.920]  帶領一家人走在主的路上
[00:04:41.920 --> 00:04:50.920]  主耶穌的確是我們每一個人生命上的number one in charge
[00:04:50.920 --> 00:04:54.920]  他是我們生命上的第一總司令
[00:04:54.920 --> 00:04:57.920]  而且他是配得的
[00:04:57.920 --> 00:05:03.920]  因為他是超越一切的救主和神
[00:05:03.920 --> 00:05:08.920]  他超越一切,也是掌管一切的主宰
[00:05:08.920 --> 00:05:13.920]  我們現在一起看看今天的經文
[00:05:13.920 --> 00:05:20.920]  第一段的經文是哥羅西書一章十二至十四節
[00:05:20.920 --> 00:05:28.920]  這裡是講使徒保羅繼續為哥羅西教會的信徒感恩
[00:05:28.920 --> 00:05:32.920]  是為了神在他們身上做了五件大事而感恩
[00:05:32.920 --> 00:05:37.920]  根據經文裏面,可以有五件事而感恩
[00:05:37.920 --> 00:05:40.920]  其實他這樣說
[00:05:40.920 --> 00:05:44.920]  他雖然說在禱告為他們感恩,其實是甚麼意思呢?
