
[00:00:00.000 --> 00:00:03.000]  (主席)親愛的大英姐妹,親愛的朋友,平安
[00:00:03.000 --> 00:00:08.000]  今天是講下集,邁向成熟的下集
[00:00:08.000 --> 00:00:13.000]  不知道你還記不記得上集是幾多時候講的
[00:00:13.000 --> 00:00:15.000]  還是不記得是正常的
[00:00:15.000 --> 00:00:21.000]  因為上上個禮拜你吃了甚麼你都可能未必記得
[00:00:21.000 --> 00:00:26.000]  我們上集其實原來已經在12月30號講
[00:00:26.000 --> 00:00:29.000]  所以很抱歉,因為車務調動的關係
[00:00:29.000 --> 00:00:32.000]  所以到今天先講下集
[00:00:32.000 --> 00:00:36.000]  都有時候大英姐妹問我何時講下集
[00:00:36.000 --> 00:00:38.000]  都有大英姐妹記得,真的很感動
[00:00:38.000 --> 00:00:42.000]  上集我們提到如果我們要邁向成熟
[00:00:42.000 --> 00:00:48.000]  我們需要有四個指引來為自己做一個檢測
[00:00:48.000 --> 00:00:52.000]  究竟自己是屬靈還是屬肉體
[00:00:52.000 --> 00:00:56.000]  是吃奶還是吃乾糧
[00:00:56.000 --> 00:00:58.000]  頭兩個指引不知道你還記不記得
[00:00:58.000 --> 00:01:02.000]  第一是甚麼?紮根
[00:01:02.000 --> 00:01:06.000]  首先我們的心靈要預備好土
[00:01:06.000 --> 00:01:09.000]  去領受所栽種的稻
[00:01:09.000 --> 00:01:14.000]  植物很需要水,水源很重要
[00:01:14.000 --> 00:01:17.000]  那哪裡是我們的溪水旁呢?
[00:01:17.000 --> 00:01:20.000]  就是神的話
[00:01:20.000 --> 00:01:24.000]  詩篇第一篇是最好的詮釋
[00:01:24.000 --> 00:01:27.000]  第二是建造
[00:01:27.000 --> 00:01:30.000]  要建造在獨一的根基
[00:01:30.000 --> 00:01:34.000]  就是耶穌基督的身上
[00:01:34.000 --> 00:01:36.000]  除了這個別無根基
[00:01:36.000 --> 00:01:40.000]  但是又要建造在肢體的相交裏面
[00:01:40.000 --> 00:01:42.000]  所以你回來尖針
[00:01:42.000 --> 00:01:44.000]  我不希望你只回來崇拜
[00:01:44.000 --> 00:01:46.000]  好像看一場戲一樣
[00:01:46.000 --> 00:01:49.000]  完了我們又去吃飯去飲茶
[00:01:49.000 --> 00:01:52.000]  應該有一個好的肢體的生活
[00:01:52.000 --> 00:01:55.000]  特別找一個適合你的小組
[00:01:55.000 --> 00:01:57.000]  找一個適合你的團契
[00:01:57.000 --> 00:01:59.000]  我們有這麼多小組這麼多團契
[00:01:59.000 --> 00:02:02.000]  我相信總有一個會適合你
[00:02:02.000 --> 00:02:06.000]  所以我們弟兄姊妹是要通過相交
[00:02:06.000 --> 00:02:11.000]  我們來親近神來服侍祂
[00:02:11.000 --> 00:02:14.000]  今天我們繼續講餘下的兩個指引
[00:02:14.000 --> 00:02:17.000]  因為我們先同心祈禱
[00:02:17.000 --> 00:02:21.000]  賜給人愛的天父
[00:02:21.000 --> 00:02:26.000]  祢的話語一解開就有亮光
[00:02:26.000 --> 00:02:30.000]  要使如夢人得智慧
[00:02:30.000 --> 00:02:33.000]  祢的話語又好像祢的恩典
[00:02:33.000 --> 00:02:35.000]  好像祢的權能
[00:02:35.000 --> 00:02:38.000]  覆蓋我們在在每一個
[00:02:38.000 --> 00:02:40.000]  進到我們每一個人的內心
[00:02:40.000 --> 00:02:45.000]  提醒我們要行在正道裏面
[00:02:45.000 --> 00:02:47.000]  靠祢撫聽我們的祈禱
[00:02:47.000 --> 00:02:51.000]  靠賴耶穌基督的成名球
[00:02:51.000 --> 00:02:56.000]  我們再一次讀哥羅西書2章6到7節
[00:02:56.000 --> 00:03:04.000]  你們既然接受了主基督耶穌
[00:03:18.000 --> 00:03:22.000]  第三個指引是堅固
[00:03:22.000 --> 00:03:24.000]  堅固這個詞
[00:03:24.000 --> 00:03:30.000]  事態都是要繼續不斷堅固下去
[00:03:30.000 --> 00:03:31.000]  不是一天
[00:03:31.000 --> 00:03:33.000]  是持續這樣做
[00:03:33.000 --> 00:03:34.000]  怎樣堅固呢
[00:03:34.000 --> 00:03:37.000]  史圖保羅說用信心來堅固
[00:03:37.000 --> 00:03:40.000]  但這個信心不是指我們對主的信心
