
[00:00:00.000 --> 00:00:07.500]  實在不知道疫情如何,但是求主給我們一份平安的心,並且有智慧的心來為他而活。
[00:00:07.500 --> 00:00:15.500]  在這兩年,我想香港有定期、定時,吹很多智慧的說話。
[00:00:15.500 --> 00:00:18.500]  有一句潮語,不知道大家有沒有說呢?
[00:00:18.500 --> 00:00:22.500]  「阿媽,我好亂呀!」
[00:00:22.500 --> 00:00:24.500]  有沒有說呢?
[00:00:24.500 --> 00:00:27.500]  或者多數在什麼時候會說這句說話?
[00:00:27.500 --> 00:00:28.500]  「媽,我好亂呀!」
[00:00:28.500 --> 00:00:33.500]  就是一些突發的事情,或者其他人的言論,甚至可能一些的措施、政策,
[00:00:33.500 --> 00:00:37.500]  好像一時一樣,前後矛盾,又此時如非。
[00:00:37.500 --> 00:00:42.500]  令我們覺得混亂,覺得很困惑,覺得很迷茫。
[00:00:42.500 --> 00:00:48.500]  於是,我們就像子女一樣,向媽來對呼,「媽,我好亂呀!」
[00:00:48.500 --> 00:00:51.500]  就來請他幫忙,或者我們慨嘆。
[00:00:51.500 --> 00:00:58.000]  今天我們身處的社會,充斥著很多令你摸不著頭腦的政策和措施。
[00:00:58.000 --> 00:01:03.500]  又有很多是非對錯的標準,不知從何而來的事情。
[00:01:03.500 --> 00:01:11.500]  還有,不單是香港,甚至世界各地都充斥著不同的思想和資訊。
[00:01:11.500 --> 00:01:16.500]  那些黑白對錯的界線,越來越模糊。
[00:01:16.500 --> 00:01:22.500]  歪理,它變成真理,或者真理、真相,有時沒有真相。
[00:01:22.500 --> 00:01:27.500]  我們做主的門徒,有時難免都陷入其中。
[00:01:27.500 --> 00:01:34.500]  不過我們是要保持清醒,學懂何謂分別,何謂是非黑白,何謂是真假對錯。
[00:01:34.500 --> 00:01:38.500]  所以我們近期又出現另一個「唔好慣」。
[00:01:38.500 --> 00:01:41.000]  「唔好慣」接著要怎樣?
[00:01:41.000 --> 00:01:46.000]  越亂,我們就越要保持清醒。
[00:01:46.000 --> 00:01:52.000]  是呀,「唔好慣」越亂,是越要保持清醒。
[00:01:52.000 --> 00:01:57.000]  上個月講「亞國書」,原來已經是上年九月的事。
[00:01:57.000 --> 00:02:02.000]  所以在這裏再和大家交代一下經文的背景。
[00:02:02.000 --> 00:02:06.000]  「亞國書」經文的背景,一章一節告訴我們,
[00:02:06.000 --> 00:02:13.000]  「則臣和主耶穌基督僕人的亞國,請散住十二國之派之人的安。」
[00:02:13.000 --> 00:02:16.000]  這個亞國,相信應該是耶穌的弟弟。
[00:02:16.000 --> 00:02:20.000]  他寫信給散居在猶太的信徒。
