
[00:00:00.000 --> 00:00:02.000]  各位來賓,大軒師妹,早晨
[00:00:02.000 --> 00:00:06.000]  感謝主,我們又很快到感恩節的期間
[00:00:06.000 --> 00:00:10.000]  感恩節的期間都會想起主耶穌基督的信實慈愛
[00:00:10.000 --> 00:00:14.500]  都會想起主耶穌為我們預備的成就福音的計劃
[00:00:14.500 --> 00:00:20.000]  我們在前一個主日就從司徒行傳開始說
[00:00:20.000 --> 00:00:23.500]  我們看到司徒行傳當中十二章至十三章的時候
[00:00:23.500 --> 00:00:26.500]  我們看到馬可成長的路程
[00:00:26.500 --> 00:00:32.000]  看到原來馬可是藉著巴拿巴
[00:00:32.000 --> 00:00:37.500]  透過彼得的口中去明白到當時主耶穌基督
[00:00:37.500 --> 00:00:43.500]  在彼得其他門徒身上所教導的當中
[00:00:43.500 --> 00:00:45.500]  就寫了《馬可福音》這本書卷
[00:00:45.500 --> 00:00:48.500]  是分享福音的信息
[00:00:48.500 --> 00:00:51.000]  我們看到剛才大家所讀的經文當中
[00:00:51.000 --> 00:00:53.000]  是福音有個起頭
[00:00:53.000 --> 00:00:58.000]  "From the beginning"好像一個創世紀的開頭開場白
[00:00:58.000 --> 00:01:03.000]  還有看到我們自己小時候就錯失了
[00:01:03.000 --> 00:01:05.500]  我那時候太小了,看《星球大戰》
[00:01:05.500 --> 00:01:08.500]  那時候七七年我就小了一點
[00:01:08.500 --> 00:01:12.000]  不過這個是很經典的經典
[00:01:12.000 --> 00:01:15.000]  因為提到原來我們無論是任何人裡面
[00:01:15.000 --> 00:01:18.500]  都有種正邪的觀念
[00:01:18.500 --> 00:01:21.000]  什麼是美善,什麼是邪惡
[00:01:21.000 --> 00:01:24.000]  就算是一個未信主的朋友
[00:01:24.000 --> 00:01:25.500]  都有這樣的觀念
[00:01:25.500 --> 00:01:27.000]  一個小朋友也有這樣的觀念
[00:01:27.000 --> 00:01:30.000]  我小時候也有看日本卡通動畫
[00:01:30.000 --> 00:01:33.500]  有機械人,有高達,各方面
[00:01:33.500 --> 00:01:36.000]  有正邪的對立在當中
[00:01:36.000 --> 00:01:40.000]  就算我們現在這套經典的電影
[00:01:40.000 --> 00:01:46.000]  你去到LEGO店也仍然有
[00:01:46.000 --> 00:01:48.000]  因為我小時候很喜歡砌LEGO
[00:01:48.000 --> 00:01:52.000]  原來LEGO的架是經常換的
[00:01:52.000 --> 00:01:53.500]  換一些新的東西
[00:01:53.500 --> 00:01:57.000]  有些砌車,有些砌堡壘,有些砌芭比
[00:01:57.000 --> 00:01:58.000]  各方面都有
[00:01:58.000 --> 00:02:00.000]  但是不斷換款
[00:02:00.000 --> 00:02:06.000]  但是這套的玩具長期都有
[00:02:06.000 --> 00:02:08.500]  所謂這個飛船是很正義的
[00:02:08.500 --> 00:02:09.500]  代表正義
[00:02:09.500 --> 00:02:12.500]  長期都在LEGO的店裡面
[00:02:12.500 --> 00:02:15.000]  都會看到有這個模型
[00:02:15.000 --> 00:02:19.000]  這款的LEGO在這裡可以買
[00:02:19.000 --> 00:02:22.000]  我們生活上真的面對了很多
[00:02:22.000 --> 00:02:24.000]  對與錯的事情
[00:02:24.000 --> 00:02:26.000]  就算是無論是各方面
[00:02:26.000 --> 00:02:28.000]  又說移民潮
[00:02:28.000 --> 00:02:30.000]  又覺得怎樣不對,怎樣對
[00:02:30.000 --> 00:02:34.000]  會引發各方面的社會情況出現
[00:02:34.000 --> 00:02:37.000]  就算自己也會搬家,移民
[00:02:37.000 --> 00:02:40.000]  各方面都會有這樣的決定而產生
[00:02:40.000 --> 00:02:43.500]  我們生活上真的有很多類似的決定
[00:02:43.500 --> 00:02:47.000]  對與錯究竟我們怎樣去選擇
[00:02:47.000 --> 00:02:49.000]  我們是否真的可以依靠
[00:02:49.000 --> 00:02:52.000]  信靠上帝去幫助我們
[00:02:52.000 --> 00:02:54.000]  就算我們自己的生命
[00:02:54.000 --> 00:02:56.000]  有時真的是一塌糊塗
[00:02:56.000 --> 00:03:00.000]  有時明明我知道那件事是對的
[00:03:00.000 --> 00:03:03.000]  但是沒有辦法,為了生活
[00:03:03.000 --> 00:03:04.500]  不用吃嗎?
[00:03:04.500 --> 00:03:08.000]  子女不用怎樣處理一些事情
[00:03:08.000 --> 00:03:11.000]  家人處理的關係
[00:03:11.000 --> 00:03:14.000]  你知道有些是對的,但是沒有辦法
[00:03:14.000 --> 00:03:16.000]  感覺上是沒有辦法
[00:03:16.000 --> 00:03:18.000]  怎樣會有一條出路
[00:03:18.000 --> 00:03:21.000]  所以我們今天的主題就會問一件事
[00:03:21.000 --> 00:03:23.000]  我們從《馬可福音》可以看到
[00:03:23.000 --> 00:03:26.000]  這是上一次跟大家分享的時候
[00:03:26.000 --> 00:03:28.000]  《馬可福音》的中心思想
[00:03:28.000 --> 00:03:31.000]  在《馬可福音》第十章四十五節那裡
[00:03:31.000 --> 00:03:33.000]  原來主耶穌來的時候
[00:03:33.000 --> 00:03:36.000]  不是要人去服侍,是要服侍人
[00:03:36.000 --> 00:03:38.000]  還有他要捨去自己的生命
[00:03:38.000 --> 00:03:42.000]  一個無罪的生命,因為愛的緣故
[00:03:42.000 --> 00:03:46.000]  為我們還清我們所有的罪責
[00:03:46.000 --> 00:03:49.000]  所以我們今天看的時候就說
[00:03:49.000 --> 00:03:52.000]  我們生命既然是一塌糊塗的時候
[00:03:52.000 --> 00:03:54.000]  面對各樣的挑戰
[00:03:54.000 --> 00:03:56.000]  我們可否真的信靠耶穌
[00:03:56.000 --> 00:03:59.000]  走出這條出路呢?
[00:03:59.000 --> 00:04:01.000]  我們會看看究竟我們
