
[00:00:00.000 --> 00:00:06.460]  偉大的甘地曾經被人問到他對基督教的看法
[00:00:06.460 --> 00:00:08.260]  偉大的甘地就這樣回答
[00:00:08.260 --> 00:00:12.620]  他說:我對基督教抱著一個極大的尊敬
[00:00:12.620 --> 00:00:16.260]  我經常去讀聖經,特別是登山補訓
[00:00:16.260 --> 00:00:19.660]  而且從中獲益都是非常之多
[00:00:19.660 --> 00:00:26.400]  我知道沒有任何一個能夠讓耶穌對人類有更大的貢獻
[00:00:26.400 --> 00:00:29.800]  事實上,基督教本身沒有甚麼錯誤的
[00:00:29.800 --> 00:00:35.660]  但問題是出於基督徒的身上
[00:00:35.660 --> 00:00:40.660]  因為基督徒始終沒有活到耶穌基督的教導
[00:00:40.660 --> 00:00:44.660]  是的,其中的一個教導就是彼此相愛的教導
[00:00:44.660 --> 00:00:49.660]  彼此相愛其實肯定是其中一個最難做到的功課
[00:00:49.660 --> 00:00:52.960]  難怪耶穌在離開世界的時候
[00:00:52.960 --> 00:00:59.960]  在背十字架之前就講了兩節很重要的說話
[00:00:59.960 --> 00:01:05.760]  就是記載在約翰坊第十三章十三章三十四節到三十五節
[00:01:05.760 --> 00:01:07.860]  不如我們一起讀這兩節經文出來,好嗎?
[00:01:07.860 --> 00:01:09.660]  一起讀,請讀
[00:01:09.660 --> 00:01:12.460]  我賜給你們一條新命令
[00:01:12.460 --> 00:01:15.360]  乃是叫你們彼此相愛
[00:01:15.360 --> 00:01:19.660]  我怎樣愛你們,你們也要怎樣相愛
[00:01:19.660 --> 00:01:22.360]  你們若有彼此相愛的心
[00:01:22.360 --> 00:01:27.560]  眾人因此就認出你們是我的門徒了
[00:01:27.560 --> 00:01:33.460]  三十四節,就提到耶穌賜給門徒一條新的命令
[00:01:33.460 --> 00:01:35.760]  有新即是有舊,是吧?
[00:01:35.760 --> 00:01:38.160]  什麼叫做新命令,即是一條舊的命令
[00:01:38.160 --> 00:01:39.960]  或者叫舊的命令存在
[00:01:39.960 --> 00:01:42.460]  根據網上的資料顯示
[00:01:42.460 --> 00:01:47.160]  中國人你知不知道最喜歡買的是什麼車?
[00:01:47.160 --> 00:01:48.760]  網上的資料顯示
[00:01:48.760 --> 00:01:52.560]  中國人最喜歡買的是哪些牌子的車?
