
[00:00:00.000 --> 00:00:02.000]  保證節目讓我們聽神的道理
[00:00:02.000 --> 00:00:03.720]  先讓我們同心的祈禱
[00:00:03.720 --> 00:00:05.120]  弟子們讓我們聽神的道理
[00:00:05.120 --> 00:00:06.580]  先同心禱告
[00:00:06.580 --> 00:00:10.040]  親愛的父神,多謝禰
[00:00:10.040 --> 00:00:13.520]  讓我們可以再次回到禰的說話
[00:00:13.520 --> 00:00:17.080]  讓禰的話語成為我們
[00:00:17.080 --> 00:00:21.240]  生命上去明白、認識禰的途徑
[00:00:21.240 --> 00:00:23.080]  我們再次獻上感恩
[00:00:23.080 --> 00:00:25.520]  願禰的話語
[00:00:25.520 --> 00:00:27.840]  能夠真的幫助我們
[00:00:28.480 --> 00:00:31.880]  能夠成為一個像禰的子民
[00:00:31.880 --> 00:00:35.600]  活像禰的兒子耶穌基督一樣
[00:00:35.600 --> 00:00:37.360]  求禰的幫助
[00:00:37.360 --> 00:00:40.040]  親愛的父神,多謝禰
[00:00:40.040 --> 00:00:43.120]  讓我們能夠再次打開禰的話語
[00:00:43.120 --> 00:00:46.280]  讓我們能夠再次體會
[00:00:46.280 --> 00:00:47.800]  禰是怎樣的一位主
[00:00:47.800 --> 00:00:50.760]  我們也再次獻上感謝
[00:00:50.760 --> 00:00:52.600]  禰能夠給我們
[00:00:52.600 --> 00:00:54.720]  一切禰的話語
[00:00:54.720 --> 00:00:57.800]  讓我們證明禰是怎樣的一位神
[00:00:58.200 --> 00:01:01.240]  使我們學習怎樣成為一個
[00:01:01.240 --> 00:01:03.320]  贖神禰的子民
[00:01:03.320 --> 00:01:06.560]  像禰的兒子耶穌一樣
[00:01:06.560 --> 00:01:09.480]  活出有神的樣子
[00:01:09.480 --> 00:01:11.240]  求禰的幫助
[00:01:11.240 --> 00:01:13.400]  願在這段時間
[00:01:13.400 --> 00:01:14.720]  恭敬交賞
[00:01:14.720 --> 00:01:16.280]  隨著禰的帶領
[00:01:16.280 --> 00:01:17.480]  我們禱告
[00:01:17.480 --> 00:01:19.160]  奉主耶穌的名臣
[00:01:19.160 --> 00:01:20.240]  Amen
[00:01:20.240 --> 00:01:23.880]  中國人有句說話叫做
[00:01:23.880 --> 00:01:27.560]  人之將死,其言也善
[00:01:27.880 --> 00:01:29.360]  中國人有句說話叫做
[00:01:29.360 --> 00:01:31.680]  人之將死,其言也善
[00:01:31.680 --> 00:01:36.760]  其實在我做目者的生活中
[00:01:36.760 --> 00:01:40.560]  經常無法離開的就是死亡
[00:01:40.560 --> 00:01:44.240]  在中國有一個事情是無法避免的
[00:01:44.240 --> 00:01:45.480]  那就是死亡
[00:01:45.480 --> 00:01:47.200]  講道講死亡
[00:01:47.200 --> 00:01:49.440]  講道要講死亡
[00:01:49.440 --> 00:01:51.200]  出入醫院要見死亡
[00:01:51.200 --> 00:01:53.440]  出醫院要見死亡
[00:01:53.440 --> 00:01:54.640]  我曾經記得有一次
[00:01:54.640 --> 00:01:57.400]  有一位老人家我去探訪他的時候
[00:01:57.400 --> 00:01:59.400]  因為他的家人在海外
[00:01:59.400 --> 00:02:01.080]  因為他的家人在海外
[00:02:01.080 --> 00:02:04.560]  我和他家人都頗為緊密聯絡
[00:02:04.560 --> 00:02:07.600]  因為我和他家人的聯絡比較緊密
[00:02:07.600 --> 00:02:09.400]  於是乎我去探訪他的時候
[00:02:09.400 --> 00:02:12.080]  我還帶了一部手提電腦
[00:02:12.080 --> 00:02:14.000]  我去的時候還帶了一部手提電腦
[00:02:14.000 --> 00:02:15.520]  應該叫平板電腦
[00:02:15.520 --> 00:02:17.400]  準確地說應該是平板電腦
[00:02:17.400 --> 00:02:19.880]  想著去探訪他的時候
[00:02:19.880 --> 00:02:21.720]  想到探訪的時候
[00:02:21.720 --> 00:02:24.400]  就和他聯想他去探訪
[00:02:24.400 --> 00:02:28.840]  探訪的時候就和他聯想他在海外的家人
[00:02:28.840 --> 00:02:32.000]  就是能夠聯繫上他海外的家人
[00:02:32.000 --> 00:02:36.400]  然後就希望人到都養到
[00:02:36.400 --> 00:02:37.520]  聲音到
[00:02:37.520 --> 00:02:40.040]  人到聲音也會到
[00:02:40.040 --> 00:02:42.840]  但是當我去探訪這位老人家的時候
[00:02:42.840 --> 00:02:44.840]  當我去探訪這位老人家的時候
[00:02:44.840 --> 00:02:46.640]  這位老人家跟我說
[00:02:46.640 --> 00:02:48.040]  這位老人家跟我說
[00:02:48.040 --> 00:02:48.840]  不用了
[00:02:48.840 --> 00:02:49.680]  不用了
[00:02:49.680 --> 00:02:52.160]  我真的好不明白
[00:02:52.160 --> 00:02:53.680]  我真的好不明白
[00:02:53.680 --> 00:02:58.040]  我說你家人在海外很想見到你
[00:02:58.040 --> 00:03:01.160]  你家人在海外很想見到你
[00:03:01.160 --> 00:03:03.280]  不是等到人死才見
[00:03:03.280 --> 00:03:05.640]  而是真的想人仍在世的時候
[00:03:05.640 --> 00:03:06.760]  想和你聊聊天
[00:03:06.760 --> 00:03:08.960]  就說不是說當你死了想見
[00:03:08.960 --> 00:03:12.760]  而是當你再生的時候想跟你傾談一下
[00:03:12.760 --> 00:03:13.520]  他說沒有
[00:03:13.520 --> 00:03:14.720]  他說不用
[00:03:14.720 --> 00:03:15.600]  不需要
[00:03:15.600 --> 00:03:16.520]  不需要
[00:03:16.520 --> 00:03:19.120]  他那一刻我很不明白
[00:03:19.120 --> 00:03:21.280]  他那一刻我很不明白
[00:03:21.280 --> 00:03:23.840]  當我大約去年的時間
