
[00:00:00.000 --> 00:00:02.000]  今年是羊年
[00:00:02.000 --> 00:00:05.500]  我記得年初一劉牧師問過大家
[00:00:05.500 --> 00:00:08.500]  想到羊 你們會想到什麼呢
[00:00:08.500 --> 00:00:11.000]  我自己會想到
[00:00:11.000 --> 00:00:13.000]  信良的羊
[00:00:13.000 --> 00:00:15.000]  信服的羊
[00:00:15.000 --> 00:00:17.000]  得意的羊
[00:00:17.000 --> 00:00:19.000]  迷途的羔羊
[00:00:19.000 --> 00:00:21.000]  待罪的羔羊
[00:00:21.000 --> 00:00:24.000]  以及被殺的羔羊
[00:00:24.000 --> 00:00:27.000]  羊真是很可愛 是不是
[00:00:27.000 --> 00:00:29.000]  但是又很膽小
[00:00:29.000 --> 00:00:31.000]  又很容易迷路
[00:00:31.000 --> 00:00:33.000]  所以牠需要牧羊人
[00:00:33.000 --> 00:00:36.000]  或者領羊犬來帶領
[00:00:36.000 --> 00:00:39.000]  羊都是沒有智慧能力的
[00:00:39.000 --> 00:00:43.000]  所以很容易被其他野獸作為食物
[00:00:43.000 --> 00:00:46.000]  更加成為人類的美食
[00:00:46.000 --> 00:00:48.000]  作為基督徒
[00:00:48.000 --> 00:00:50.000]  我們真的要像羊一樣
[00:00:50.000 --> 00:00:55.000]  有那份信服 信良 可愛的一面
[00:00:55.000 --> 00:00:58.000]  但是我們千萬不要像羊一樣
[00:00:58.000 --> 00:01:00.000]  那麼膽小
[00:01:00.000 --> 00:01:03.000]  甚至容易迷失方向
[00:01:03.000 --> 00:01:06.000]  人叫我做什麼 我就做什麼
[00:01:06.000 --> 00:01:08.000]  今天我很願意藉著一段
[00:01:08.000 --> 00:01:11.000]  初期教會的里程碑
[00:01:11.000 --> 00:01:14.000]  我們彼此勉勵
[00:01:14.000 --> 00:01:18.000]  一同學習 做一個勇敢的基督徒
[00:01:18.000 --> 00:01:20.000]  從所讀的一段經文
[00:01:20.000 --> 00:01:22.000]  我們可以看到
[00:01:22.000 --> 00:01:24.000]  一個勇敢的基督徒
[00:01:24.000 --> 00:01:27.000]  至少有四個特徵
[00:01:27.000 --> 00:01:29.000]  第一個特徵
[00:01:29.000 --> 00:01:32.000]  請大家一起翻開聖經第十一章第十九節
[00:01:57.000 --> 00:01:59.000]  「不怕逼迫」
[00:01:59.000 --> 00:02:04.000]  繼續持守這個傳福音的使命
[00:02:04.000 --> 00:02:06.000]  第十九節
[00:02:06.000 --> 00:02:10.000]  其實是延續八章一至四節的背景
[00:02:10.000 --> 00:02:12.000]  那裡說到從此日起
[00:02:12.000 --> 00:02:15.000]  耶路撒冷教會大遭逼迫
[00:02:15.000 --> 00:02:17.000]  除了使徒之外
[00:02:17.000 --> 00:02:22.000]  門徒都分散在猶太和撒瑪尼亞各處
[00:02:22.000 --> 00:02:26.000]  那些分散的人就往各處去傳道
[00:02:26.000 --> 00:02:29.000]  史提反被石榴扔死
[00:02:29.000 --> 00:02:31.000]  教會就遭逼迫
[00:02:31.000 --> 00:02:33.000]  於是門徒四散
[00:02:33.000 --> 00:02:36.000]  去到各處傳福音
[00:02:36.000 --> 00:02:38.000]  這班被迫迫
[00:02:38.000 --> 00:02:42.000]  以至逃離到安提阿的信徒
[00:02:42.000 --> 00:02:45.000]  他們未必是很有錢的
[00:02:45.000 --> 00:02:48.000]  不是坐名車穿名貴衣服的人
[00:02:48.000 --> 00:02:50.000]  但他們有一個共同特質
[00:02:50.000 --> 00:02:53.000]  就是他們是毫無畏縮
[00:02:53.000 --> 00:02:57.000]  他們不會因為自己受到信仰的迫迫
[00:02:57.000 --> 00:02:59.000]  或者去到安提阿城
[00:02:59.000 --> 00:03:01.000]  這個這麼友善的城市
[00:03:01.000 --> 00:03:03.000]  他們沉默
[00:03:03.000 --> 00:03:04.000]  不出聲
[00:03:04.000 --> 00:03:05.000]  這麼難得走出來
[00:03:05.000 --> 00:03:07.000]  做什麼都不要說
[00:03:07.000 --> 00:03:11.000]  不要忘記當時的安提阿
[00:03:11.000 --> 00:03:13.000]  是一個第三大城市
[00:03:13.000 --> 00:03:15.000]  在羅馬帝國裡面
[00:03:15.000 --> 00:03:19.000]  它僅次於羅馬和亞歷山大這兩個城市
[00:03:19.000 --> 00:03:22.000]  成為第三大羅馬的城市
[00:03:22.000 --> 00:03:25.000]  而這個城市根據學者
[00:03:25.000 --> 00:03:27.000]  聖經學者布魯士
[00:03:27.000 --> 00:03:29.000]  他曾經說過
