
[00:00:00.000 --> 00:00:05.120]  徒長千輝,讓我們在聆聽主的說話,意思就是同心低頭禱告。
[00:00:05.120 --> 00:00:13.400]  父神多謝祢,讓我們再次回來,在祢的說話的根前,一同去仰望在祢的裏面。
[00:00:13.400 --> 00:00:23.760]  求祢的靈與我們同在,帶領我們能夠在今天,在祢的啟示當中,讓我們能夠更準確、拿捏。
[00:00:23.760 --> 00:00:33.400]  上帝祢怎樣去牧養我們,要讓我們怎樣去辨明,真正在上帝祢裏面的教導,
[00:00:33.400 --> 00:00:38.800]  以及我們應當帶著一份甚麼的心智,在祢的當中去侍奉。
[00:00:38.800 --> 00:00:44.760]  求祢的帶領幫助,讓我們能夠一同在聆聽主的說話裏得以成長,
[00:00:44.760 --> 00:00:49.400]  好使我們能夠更加、更尊敬上上帝祢。
[00:00:49.400 --> 00:00:56.560]  多謝祢給我們這段時間,無論善上善下的每一個,都讓我們的身心靈在聖靈引導之下,
[00:00:56.560 --> 00:01:04.960]  能夠去看到怎樣走這條屬靈的人生路,禱告奉靠主耶穌基督,得勝名自求,阿門。
[00:01:04.960 --> 00:01:17.560]  在我牧養這麼多年的裏面,有不少不是以馬來華人浸信會的會友,都曾經和我聯絡過。
[00:01:17.560 --> 00:01:25.560]  我想這個可能是上帝給我在侍奉當中的其中一個主要的環節。
[00:01:25.560 --> 00:01:33.560]  因為很多這些弟兄姊妹,雖然他們不是以馬來的會眾,
[00:01:33.560 --> 00:01:41.560]  但是透過網絡的事供,他們能夠和我聯絡得到,或者認識得到,然後主動來聯絡。
[00:01:41.560 --> 00:01:50.560]  他們無獨有偶都分享到一件事,就是說他們在靈性的上面,曾經經歷過不同程度上的傷害。
[00:01:50.560 --> 00:01:55.560]  他們對我很多時候的發問都問到一個問題,
[00:01:55.560 --> 00:02:06.560]  就是我怎樣才找到一個真正能夠是上帝所委任的牧者來牧養,或者帶領我們一同侍奉呢?
[00:02:06.560 --> 00:02:12.560]  我覺得這條問題可以說是有點奇怪,
[00:02:12.560 --> 00:02:18.560]  因為上帝給我們不是因為我們要去跟某一個人來侍奉,
[00:02:18.560 --> 00:02:24.560]  但是事實上他們所留意到的是一個真真實實的情況。
[00:02:24.560 --> 00:02:31.560]  很多時候在教會當中,我們見到的牧者,大大小小不同的堂會的牧者,
[00:02:31.560 --> 00:02:38.560]  有出名的,有不出名的,有些搞到自己很出名的,有些不出名的,
[00:02:38.560 --> 00:02:42.560]  都利用很多各樣的方法去吸引人。
[00:02:42.560 --> 00:02:49.560]  究竟怎樣才辨認到一個傳道人,甚至簡單到一個基督徒,
[00:02:49.560 --> 00:02:55.560]  是不是真的有上帝的呼召,或者有上帝的委任呢?
[00:02:55.560 --> 00:03:01.560]  這個題目我相信不單止很多這些弟兄姊妹有的問題,
[00:03:01.560 --> 00:03:07.560]  或者可能甚至是你的問題,連我自己在侍奉的過程當中,
[00:03:07.560 --> 00:03:14.560]  都不斷地去問我自己,上帝你的呼召我能不能夠準確去拿捏。
[00:03:14.560 --> 00:03:21.560]  因此,去辨別一個真正的傳道人,
[00:03:21.560 --> 00:03:33.560]  或者一個真正的信徒,其實的確是需要一些原則性的教導來讓他們明白,
[00:03:33.560 --> 00:03:39.560]  辨認清楚,好使他們所聽的道理,能夠知道怎樣去接受。
[00:03:39.560 --> 00:03:51.560]  有我在這裡加插一點點,學習真理是不一定由一個很好的傳道人身上才學得到的。
[00:03:51.560 --> 00:03:55.560]  你說牧師這句話何以見得呢?
[00:03:55.560 --> 00:04:03.560]  在聖經裡面,甚至我們知道撒旦都講聖經的,
[00:04:03.560 --> 00:04:10.560]  一個成熟的基督徒,或者有上帝呼召的基督徒,
[00:04:10.560 --> 00:04:17.560]  其實他們是能夠辨別到錯謀的教導的,
[00:04:17.560 --> 00:04:24.560]  即是說是撒旦傳異道,異樣的道,不是上帝的道,
[00:04:24.560 --> 00:04:31.560]  但是用聖經的說話來包裝也好,信徒是聞到那一股味道的。
[00:04:31.560 --> 00:04:38.560]  我記得在神學院的時候,特別我去學到所謂經文批判學,
[00:04:38.560 --> 00:04:45.560]  一個被譽為很新派的神學,識經技巧的一個環節。
[00:04:45.560 --> 00:04:50.560]  我問到我的教授,我的教授他八十幾歲了,
[00:04:50.560 --> 00:04:56.560]  我說你用了八十幾年,因為他從出世沒多久,
[00:04:56.560 --> 00:05:04.560]  所以他父母已經將他放在一間修道院裡面,去學做一個傳道人。
[00:05:04.560 --> 00:05:09.560]  他在修道院裡面長大,我問他,
[00:05:09.560 --> 00:05:19.560]  你這八十幾年裡面,你怎樣學會辨別你做的識經是合上帝的心意?
[00:05:19.560 --> 00:05:28.560]  他沒有說過答案給我聽,他只是拿起手指一指著鼻子,然後他吸了一口氣,
[00:05:28.560 --> 00:05:34.560]  他說我一聞就聞到了,其實當他這樣說的時候,
[00:05:34.560 --> 00:05:40.560]  就讓我想起我有個同學的珠寶鑒證專家,
[00:05:40.560 --> 00:05:46.560]  或者可能對珠寶、金器有研究的人都會知道,
[00:05:46.560 --> 00:05:52.560]  其實你怎樣才辨別到真的珠寶、真的金銀呢?
[00:05:52.560 --> 00:06:01.560]  其實當你長期對著真的時候,你一摸下去,一看下去就知道哪些是真,哪些是假。
[00:06:01.560 --> 00:06:11.560]  所以今天在這段聖經裡面,保羅特爾在透過哥羅西書裡面,
[00:06:11.560 --> 00:06:21.560]  首先不單止將自己介紹給他知道,並且同時間告訴哥羅西的教會知道,
[00:06:21.560 --> 00:06:28.560]  你應該怎樣去辨別真正有神所委任的目者,
[00:06:28.560 --> 00:06:39.560]  而從這個委任開始的辨明,你就可以知道應該怎樣去接收他們所說的話。
[00:06:39.560 --> 00:06:46.560]  或許他未必真是神的僕人,你辨別得到,他是一個假的傳道人,
[00:06:46.560 --> 00:06:52.560]  但是你也能夠從他辨別他講假的道理的過程當中,
[00:06:52.560 --> 00:06:58.560]  能夠更準確知道上帝真正的啟示是什麼。
[00:06:58.560 --> 00:07:02.560]  為什麼我覺得這段聖經是很值得我們去思想,
[00:07:02.560 --> 00:07:09.560]  因為尤其是在這近二十多年,我不敢講其他世界國家的地方,
[00:07:09.560 --> 00:07:24.560]  我只講在多倫多,我認識在多倫多現在有很多很多很多的聲稱自己是自由傳道宣教的目者,
[00:07:24.560 --> 00:07:32.560]  流傳在宗教會當中,你不要問我他究竟因為什麼原因流傳在,
[00:07:32.560 --> 00:07:40.560]  隱藏在不同的教會裡面,但是當他們傳流在你和我身邊的時候,
[00:07:40.560 --> 00:07:50.560]  我們應該要學會一件事,能夠辨別到究竟他是傳真正的道理,
[00:07:50.560 --> 00:07:55.560]  還是只不過是混在其中想吃教飯的呢?
[00:07:55.560 --> 00:08:03.560]  更可怕的可能是今天很流行的一個說法,是不是一種滲透呢?
[00:08:03.560 --> 00:08:12.560]  這些等等的事情,讓我們去好好辨別,從而準確去領受神的教導。
