
[00:00:00.000 --> 00:00:05.200]  剛才我們的題目是「一個都不忘記」
[00:00:05.200 --> 00:00:08.440]  就是在《馬太福音》第十章
[00:00:08.440 --> 00:00:11.600]  《路加福音》第十二章提到
[00:00:11.600 --> 00:00:15.440]  稍後我們會詳細讀讀那段經文
[00:00:15.440 --> 00:00:19.040]  現在我先做一個好像引言一樣
[00:00:19.040 --> 00:00:22.680]  天父造出各樣的飛鳥
[00:00:22.680 --> 00:00:26.320]  因為這是天父的世界
[00:00:26.320 --> 00:00:31.520]  我最近越來越把注意力放在
[00:00:31.520 --> 00:00:34.760]  神所創造的天地萬物裏面
[00:00:34.760 --> 00:00:38.600]  所以大家記得上個月我和你們思想的
[00:00:38.600 --> 00:00:42.440]  就是從那些很小的活物裏面
[00:00:42.440 --> 00:00:46.120]  看到原來神祂創造的智慧
[00:00:46.120 --> 00:00:48.200]  再對上一次
[00:00:48.200 --> 00:00:50.000]  我和大家看看就是
[00:00:50.000 --> 00:00:52.360]  從聖誕樹裏面去看看
[00:00:52.360 --> 00:00:56.120]  神所給我們創造的樹木
[00:00:56.120 --> 00:00:58.320]  你看到分別在哪裏
[00:00:58.320 --> 00:01:01.640]  所以這次會講到飛鳥
[00:01:01.640 --> 00:01:07.040]  下次會講在神創造的世界裏面
[00:01:07.040 --> 00:01:10.120]  有什麼我們可以更加認識神的
[00:01:10.120 --> 00:01:13.480]  《創世紀》第一章二十節說
[00:01:13.480 --> 00:01:18.280]  神說:「誰要多多之生有生命的物
[00:01:18.280 --> 00:01:23.680]  要有雀鳥飛在地面以上天空之中」
[00:01:23.680 --> 00:01:28.080]  所以當神創造天地萬物的時候
[00:01:28.080 --> 00:01:30.320]  祂擺一些東西在天
[00:01:30.320 --> 00:01:32.920]  也做一些東西在地面
[00:01:32.920 --> 00:01:35.920]  但是地面上的東西有些會飛的
[00:01:35.920 --> 00:01:38.320]  又會飛回天空
[00:01:38.320 --> 00:01:40.520]  真的很奇妙
[00:01:40.520 --> 00:01:46.280]  《創世紀》第一章二十一節到二十二、二十三節
[00:01:46.280 --> 00:01:48.200]  大家和我一起讀一下好不好
[00:01:48.200 --> 00:01:51.280]  你看看神做了些什麼出來
[00:01:51.280 --> 00:01:59.080]  神就造出大魚和水中所滋生各樣有生命的動物
[00:01:59.080 --> 00:02:00.880]  各蟲其類
[00:02:00.880 --> 00:02:05.480]  又造出各樣飛鳥各蟲其類
[00:02:05.480 --> 00:02:08.080]  神看著是好的
[00:02:08.080 --> 00:02:11.720]  神就賜福給這一切雪
[00:02:11.720 --> 00:02:13.720]  滋生繁多
[00:02:13.720 --> 00:02:16.280]  充滿海中的水
[00:02:16.280 --> 00:02:20.040]  雀鳥也要多生在地上
[00:02:20.040 --> 00:02:25.280]  有晚上有早晨是第五日
[00:02:25.280 --> 00:02:28.480]  這裡我故意用一些「雄」字
[00:02:28.480 --> 00:02:30.880]  highlight出來給大家看
[00:02:30.880 --> 00:02:32.480]  因為這次我不是講魚
[00:02:32.480 --> 00:02:33.880]  不是講海裡面的東西
[00:02:33.880 --> 00:02:38.280]  所以我想大家留心一下那些「雄」的字
[00:02:38.280 --> 00:02:42.840]  又造出各樣的飛鳥各蟲其類
[00:02:42.840 --> 00:02:45.040]  神看著是好的
[00:02:45.040 --> 00:02:48.480]  原來神造雀鳥是有很多類的
[00:02:48.480 --> 00:02:50.080]  有時候你問我這隻什麼鳥
[00:02:50.080 --> 00:02:51.480]  我都不懂得告訴你
[00:02:51.480 --> 00:02:54.680]  我只知道有一隻叫做Hummingbird
[00:02:54.680 --> 00:02:56.080]  牠是很小隻的
[00:02:56.080 --> 00:02:57.880]  其實是很小隻
[00:02:57.880 --> 00:03:00.280]  但是在我家門口的駕駛道
[00:03:00.280 --> 00:03:04.080]  我隔壁那間和我自己那裡的Front Yard
[00:03:04.080 --> 00:03:07.880]  有些地方牠可以去在那裡唱歌
[00:03:07.880 --> 00:03:10.080]  唱得很好聽和震一下震一下
[00:03:10.080 --> 00:03:12.680]  牠那個動作是很吸引我的
[00:03:12.680 --> 00:03:14.080]  很小隻
[00:03:14.080 --> 00:03:17.080]  但是當我每天早上出去街走的時候
[00:03:17.080 --> 00:03:18.680]  就是在那裡走
[00:03:18.680 --> 00:03:21.080]  我走到Newtown那裡
[00:03:21.080 --> 00:03:24.880]  那條街整天都有一群鳥
[00:03:24.880 --> 00:03:26.480]  我不知道是什麼鳥
[00:03:26.480 --> 00:03:30.680]  牠們大概一群十幾二十隻左右
[00:03:30.680 --> 00:03:32.480]  但是有一隻帶頭的
[00:03:32.480 --> 00:03:35.680]  然後永遠都是用V字形這樣來飛的
[00:03:35.680 --> 00:03:36.680]  不會走失的
[00:03:36.680 --> 00:03:39.680]  也很直的那條線
[00:03:39.680 --> 00:03:42.680]  但是有一次我出去看
[00:03:42.680 --> 00:03:43.880]  多了這麼多
[00:03:43.880 --> 00:03:45.680]  原來兩群一起
