
[00:00:00.000 --> 00:00:03.500]  2025年的教會的主題是什麼呢?
[00:00:03.500 --> 00:00:08.500]  一上來就考試
[00:00:08.500 --> 00:00:13.500]  如果是回到那個週報的報告事項
[00:00:13.500 --> 00:00:17.000]  報告事項第一項就是講到了
[00:00:17.000 --> 00:00:19.000]  2025年主題
[00:00:19.000 --> 00:00:21.500]  神的使命我們的參與
[00:00:21.500 --> 00:00:25.000]  不過可能這個不是那麼重要吧?
[00:00:25.500 --> 00:00:30.000]  大家還有沒有新年的感受還沒開始一年
[00:00:30.000 --> 00:00:32.000]  所以未必知道
[00:00:32.000 --> 00:00:34.000]  我忘記了
[00:00:34.000 --> 00:00:47.000]  可能新年的氣氛還沒過
[00:00:47.000 --> 00:00:49.000]  所以我們還沒預備好
[00:00:49.000 --> 00:00:51.000]  2025年
[00:00:51.000 --> 00:00:53.000]  今年的教會主題就是
[00:00:56.000 --> 00:00:58.000]  中文就是翻譯神的使命
[00:00:58.000 --> 00:01:00.000]  其實這個字
[00:01:00.000 --> 00:01:02.000]  Mission這個字
[00:01:02.000 --> 00:01:05.000]  有很多不同的翻譯在不同的場合
[00:01:05.000 --> 00:01:07.000]  有時候我們翻譯為目的
[00:01:07.000 --> 00:01:09.000]  或者是任務
[00:01:09.000 --> 00:01:11.000]  大家如果看過電影
[00:01:11.000 --> 00:01:13.000]  Mission Impossible
[00:01:13.000 --> 00:01:15.000]  不可能的任務
[00:01:15.000 --> 00:01:17.000]  要做一個任務
[00:01:17.000 --> 00:01:19.000]  耶穌基督來到這個世界
[00:01:19.000 --> 00:01:22.000]  他自己很清楚自己的使命是什麼
[00:01:22.000 --> 00:01:26.000]  人子來為要尋找拯救失常的人
[00:01:26.000 --> 00:01:28.000]  耶穌是自命人子
[00:01:28.000 --> 00:01:30.000]  人子來不是要受人的服侍
[00:01:30.000 --> 00:01:32.000]  乃是要服侍人
[00:01:32.000 --> 00:01:35.000]  並且要捨命作多人的屬家
[00:01:35.000 --> 00:01:38.000]  還有一段在約翰福音第十章十節的
[00:01:38.000 --> 00:01:40.000]  我來了要叫陽
[00:01:40.000 --> 00:01:42.000]  或者叫人
[00:01:42.000 --> 00:01:44.000]  得生命並且得的更豐盛
[00:01:44.000 --> 00:01:47.000]  所以我們將這幾節的經文
[00:01:47.000 --> 00:01:49.000]  串在一起的時候
[00:01:49.000 --> 00:01:51.000]  就很清楚
[00:01:51.000 --> 00:01:53.000]  耶穌來到這個世界
[00:01:53.000 --> 00:01:55.000]  他的使命就是尋找失常的人
[00:01:55.000 --> 00:01:57.000]  服侍人
[00:01:57.000 --> 00:01:59.000]  為要贖去他們的罪
[00:01:59.000 --> 00:02:01.000]  捨命在十字架上
[00:02:01.000 --> 00:02:05.000]  為要讓他們得到更豐盛的生命
[00:02:05.000 --> 00:02:07.000]  這是耶穌來到這個世界
[00:02:07.000 --> 00:02:09.000]  主要的原因
[00:02:09.000 --> 00:02:11.000]  是他的使命
[00:02:11.000 --> 00:02:14.000]  因為這樣來到這個世界
[00:02:14.000 --> 00:02:16.000]  那麼
[00:02:16.000 --> 00:02:18.000]  耶穌基督離開這個世界之後
[00:02:18.000 --> 00:02:21.000]  留給教會的是什麼使命呢
[00:02:21.000 --> 00:02:23.000]  我相信就是最前面
[00:02:23.000 --> 00:02:25.000]  那兩個字
[00:02:25.000 --> 00:02:29.000]  尋找失常的人
[00:02:29.000 --> 00:02:31.000]  拯救就不是我們了
[00:02:31.000 --> 00:02:33.000]  拯救的功夫
[00:02:33.000 --> 00:02:35.000]  就是留給主耶穌基督
[00:02:35.000 --> 00:02:37.000]  所以他留給
[00:02:37.000 --> 00:02:39.000]  耶穌離開世界之後
[00:02:39.000 --> 00:02:42.000]  他留給世界的大使命
[00:02:42.000 --> 00:02:44.000]  也就是我們的使命
[00:02:44.000 --> 00:02:46.000]  很多人都會背
[00:02:46.000 --> 00:02:48.000]  我們要去
[00:02:48.000 --> 00:02:50.000]  洗萬民作我的門徒
[00:02:50.000 --> 00:02:52.000]  奉聖父聖子聖靈的名
[00:02:52.000 --> 00:02:54.000]  給他們施洗
[00:02:54.000 --> 00:02:56.000]  凡我所吩咐你們的
[00:02:56.000 --> 00:02:58.000]  都教導他們遵守
[00:02:58.000 --> 00:03:00.000]  所以我們要去接觸人
[00:03:00.000 --> 00:03:02.000]  傳揚耶穌
[00:03:02.000 --> 00:03:04.000]  為他們施行洗禮
[00:03:04.000 --> 00:03:06.000]  加入教會
[00:03:06.000 --> 00:03:08.000]  教導信徒
[00:03:08.000 --> 00:03:10.000]  彼此鼓勵來活出信仰
[00:03:10.000 --> 00:03:12.000]  所以我相信
[00:03:12.000 --> 00:03:16.000]  是有耶穌基督的使命
[00:03:16.000 --> 00:03:18.000]  我們也希望在每個崇拜
[00:03:18.000 --> 00:03:20.000]  或者諸學或者團契裏面
[00:03:20.000 --> 00:03:23.000]  慢慢會更加明白
[00:03:23.000 --> 00:03:25.000]  並且是能夠執行
[00:03:25.000 --> 00:03:27.000]  去尋找人
[00:03:27.000 --> 00:03:28.000]  接觸人
[00:03:28.000 --> 00:03:30.000]  這個是第一步
[00:03:30.000 --> 00:03:32.000]  我們先去接觸人
[00:03:32.000 --> 00:03:35.000]  也是今天要和大家講解的
[00:03:35.000 --> 00:03:38.000]  我們今天講的就是一個
[00:03:38.000 --> 00:03:42.000]  聖經上沒有說什麼名字的人
[00:03:42.000 --> 00:03:44.000]  但是很清楚地說
[00:03:44.000 --> 00:03:47.000]  是一個瓦割井旁的女人
[00:03:47.000 --> 00:03:49.000]  我們要效法她
[00:03:49.000 --> 00:03:51.000]  和耶穌有過一個對話
[00:03:51.000 --> 00:03:53.000]  或者有一個接觸之後
[00:03:53.000 --> 00:03:55.000]  她怎樣向她的鄰舍
[00:03:55.000 --> 00:03:58.000]  她的朋友來傳講
[00:03:58.000 --> 00:04:00.000]  就是說我們接觸親友的時候
[00:04:00.000 --> 00:04:02.000]  說些什麼
[00:04:02.000 --> 00:04:06.000]  她和耶穌談過之後
[00:04:06.000 --> 00:04:08.000]  她的反應就是說
[00:04:08.000 --> 00:04:12.000]  她要承認自己的過去
[00:04:12.000 --> 00:04:14.000]  其實她的過去
[00:04:14.000 --> 00:04:17.000]  有些所謂不見得光
[00:04:17.000 --> 00:04:21.000]  耶穌請她回到她家
[00:04:21.000 --> 00:04:24.000]  叫她的丈夫來的時候
[00:04:24.000 --> 00:04:26.000]  她說我沒有丈夫
[00:04:26.000 --> 00:04:28.000]  她以為這樣一句話
[00:04:28.000 --> 00:04:30.000]  就是輕輕帶過
[00:04:30.000 --> 00:04:33.000]  耶穌不會再問她什麼
[00:04:33.000 --> 00:04:37.000]  但是耶穌還將她的過去講出來
[00:04:37.000 --> 00:04:41.000]  耶穌說你沒有說錯
[00:04:41.000 --> 00:04:43.000]  你已經有過五個丈夫
[00:04:43.000 --> 00:04:49.000]  現在有的不是你的丈夫
[00:04:49.000 --> 00:04:51.000]  這個女人究竟
[00:04:51.000 --> 00:04:54.000]  和以前那五個男人有什麼關係呢
