
[00:00:00.000 --> 00:00:02.320]  接著我們一同在下禱告
[00:00:30.000 --> 00:00:35.200]  天父讓我們在新一年裏面
[00:00:35.200 --> 00:00:37.200]  中國人的新年裏面
[00:00:37.200 --> 00:00:40.480]  昨天有聚會 今天我們又有聚會
[00:00:40.480 --> 00:00:46.800]  我們不單止知道神是一位滿有榮耀的神
[00:00:46.800 --> 00:00:51.200]  祂的創造的目的就是要榮耀祂
[00:00:51.200 --> 00:00:56.960]  被造之物 被造之物只有一個目的
[00:00:56.960 --> 00:01:00.400]  就是榮耀神
[00:01:00.400 --> 00:01:03.920]  剛才我們聽師哥我們讀的經文
[00:01:03.920 --> 00:01:05.600]  我們都有些領受
[00:01:05.600 --> 00:01:10.800]  就是世人空虛不得到滿足
[00:01:10.800 --> 00:01:13.280]  他們想尋求滿足
[00:01:13.280 --> 00:01:17.360]  在新一年的時候他們希望有改變
[00:01:17.360 --> 00:01:20.480]  我想很多時候各地的政府都是
[00:01:20.480 --> 00:01:22.480]  新上台都希望改變
[00:01:22.480 --> 00:01:25.280]  因為舊的不好 希望新的
[00:01:25.280 --> 00:01:29.920]  但是每一次改變之後都不外如是
[00:01:29.920 --> 00:01:33.600]  人心裏面不斷希望有更新 有改變
[00:01:33.600 --> 00:01:38.080]  因為這個裏面本身來說是無限的
[00:01:38.080 --> 00:01:40.480]  是滿足不到的
[00:01:40.480 --> 00:01:44.880]  神所造的萬物 被造之物
[00:01:44.880 --> 00:01:49.440]  主要目的不是去滿足人的慾望
[00:01:49.440 --> 00:01:52.320]  不是滿足人的渴想
[00:01:52.320 --> 00:01:56.160]  他們被造主要就是想榮耀神
[00:01:56.160 --> 00:01:59.440]  所以如果世人
[00:01:59.440 --> 00:02:02.560]  今天我相信包括一大部份的基督徒
[00:02:02.560 --> 00:02:06.640]  希望在這個受造的世界裏面
[00:02:06.640 --> 00:02:09.200]  希望這些被造之物中間
[00:02:09.200 --> 00:02:11.680]  來找到滿足的話
[00:02:11.680 --> 00:02:14.800]  我可以給大家知道一個幾標準的答案
[00:02:14.800 --> 00:02:16.800]  是失望
[00:02:16.800 --> 00:02:21.840]  因為只有這位造物的主宰 創造者
[00:02:21.840 --> 00:02:27.840]  他才可以滿足人心靈的無限的需要
[00:02:27.840 --> 00:02:32.480]  而這位創造者本身就是
[00:02:32.480 --> 00:02:34.960]  道成肉身的耶穌基督
[00:02:34.960 --> 00:02:38.320]  這位創造者當他創造世界的時候
[00:02:38.320 --> 00:02:40.320]  我們人很難明白
[00:02:40.320 --> 00:02:43.600]  為什麼叫做創世紀第一章第一句話
[00:02:43.600 --> 00:02:46.160]  神的靈伏在水面上面
[00:02:46.160 --> 00:02:47.760]  祂是一個靈
[00:02:47.760 --> 00:02:50.320]  而這個靈也是神的話語
[00:02:50.320 --> 00:02:53.840]  所以祂說有就有 明立就立
[00:02:53.840 --> 00:02:56.320]  諸天述說神的榮耀
[00:02:56.320 --> 00:03:00.400]  因為耶和華神吩咐說有的時候就出現了
[00:03:00.400 --> 00:03:04.960]  還有神吩咐所有被造的星體
[00:03:04.960 --> 00:03:07.760]  要按著軌道而運行
[00:03:07.760 --> 00:03:11.120]  那些星球星體就按軌道而運行
[00:03:11.120 --> 00:03:13.120]  詩篇十九篇第一節所講
[00:03:13.120 --> 00:03:15.440]  諸天述說神的榮耀
[00:03:15.440 --> 00:03:20.560]  但很可惜到了羅馬書第三章第二十三節
[00:03:20.560 --> 00:03:23.680]  世人卻規決了神的榮耀
