
[00:00:00.000 --> 00:00:03.360]  根據《公元二世紀》一份文獻記載
[00:00:03.360 --> 00:00:06.460]  史陶寶洛是一個怎樣的人呢?
[00:00:06.460 --> 00:00:09.720]  原來他是一個個子相當矮小
[00:00:09.720 --> 00:00:10.920]  禿頭
[00:00:10.920 --> 00:00:13.360]  我都差不多了
[00:00:13.360 --> 00:00:14.660]  弓形腳
[00:00:14.660 --> 00:00:18.080]  即是說一隻腳好像這樣彎彎的
[00:00:18.080 --> 00:00:19.160]  一字眉
[00:00:19.160 --> 00:00:25.120]  亦都長有一個又大又紅的鷹鼻
[00:00:25.120 --> 00:00:27.760]  鷹鷗鼻,對不起,鷹鷗鼻的人
[00:00:27.760 --> 00:00:30.000]  雖然他有這樣的外表
[00:00:30.000 --> 00:00:33.600]  但是在馬友祖牧師的形容裡面
[00:00:33.600 --> 00:00:38.600]  他說寶羅是教會史中最神奇的人物
[00:00:38.600 --> 00:00:41.640]  他說他這個人擁有三種文化背景
[00:00:41.640 --> 00:00:44.840]  包括龍口淵博的猶太文化
[00:00:44.840 --> 00:00:46.720]  活潑的希臘文化
[00:00:46.720 --> 00:00:50.280]  以及淑寧的基督徒文化
[00:00:50.280 --> 00:00:52.280]  其實寶羅的父親
[00:00:52.280 --> 00:00:54.280]  或者蘇羅的父親
[00:00:54.280 --> 00:00:55.760]  是一個法利賽人
[00:00:55.760 --> 00:01:03.360]  蘇羅從小嚴格接受律法教育
[00:01:03.360 --> 00:01:06.600]  並且在當時最著名的拉比
[00:01:06.600 --> 00:01:09.360]  那個拉比的名字叫做加瑪烈
[00:01:09.360 --> 00:01:11.360]  門下受教
[00:01:11.360 --> 00:01:14.240]  另一方面,寶羅從年輕的時候
[00:01:14.240 --> 00:01:17.400]  他已經開始學習織象棚
[00:01:17.400 --> 00:01:21.720]  這個很重要,因為到他之後出去傳道的時候
[00:01:21.720 --> 00:01:24.600]  他就一直靠織象棚這個手藝
[00:01:24.600 --> 00:01:26.600]  來賺錢養活自己
[00:01:26.600 --> 00:01:28.960]  以致他能夠用那些錢
[00:01:28.960 --> 00:01:32.640]  在地中海區宣教
[00:01:32.640 --> 00:01:38.360]  同時也不需要承受太大的經濟壓力
[00:01:38.360 --> 00:01:40.360]  這些豐富的背景
[00:01:40.360 --> 00:01:48.920]  就能夠將他成為一個有力的護教者
[00:01:48.920 --> 00:01:53.360]  更加使他能夠成為在歷史上
[00:01:53.360 --> 00:01:56.680]  可以說是最罕有的神學家
[00:01:56.680 --> 00:01:59.760]  甚至聖經新約裡面
[00:01:59.760 --> 00:02:04.040]  大部分的書信都是出自寶羅的手筆
[00:02:04.040 --> 00:02:06.640]  不過在成為基督徒之前
[00:02:06.640 --> 00:02:09.240]  蘇羅他最初認為
[00:02:09.240 --> 00:02:11.800]  傳耶穌是基督這件事
[00:02:11.800 --> 00:02:16.200]  是違背了傳統的猶太信仰
[00:02:16.200 --> 00:02:17.600]  是異端來的
[00:02:17.600 --> 00:02:22.120]  於是他作為一個熱心的信徒
[00:02:22.120 --> 00:02:24.600]  他就極力迫害基督徒
[00:02:24.600 --> 00:02:26.760]  但是在大馬士革路上
[00:02:26.760 --> 00:02:31.480]  這一次的經歷扭轉了蘇羅的一生
[00:02:31.480 --> 00:02:35.960]  蘇羅這一段既徹底又迅速的蛻變
[00:02:35.960 --> 00:02:40.920]  不單止為他的生命帶來一個完全的改變
[00:02:40.920 --> 00:02:43.040]  更加為基督教的宣教史
[00:02:43.040 --> 00:02:45.880]  帶來突破性的發展
[00:02:45.880 --> 00:02:46.800]  可想而知
[00:02:46.800 --> 00:02:48.560]  剛才大家讀出的這一段
[00:02:48.560 --> 00:02:50.680]  在大馬士革發生的經歷
[00:02:50.680 --> 00:02:53.600]  是多麼關鍵的時刻
[00:02:53.600 --> 00:02:57.440]  或許對在座當中部分的弟兄姊妹來說
[00:02:57.440 --> 00:02:59.440]  剛才讀出的那一段經文
