
[00:00:00.000 --> 00:00:02.000]  先做個祈禱
[00:00:02.000 --> 00:00:06.180]  抽氣神我多謝祢
[00:00:06.180 --> 00:00:09.960]  主啊 因為祢給我們的供應是足夠的
[00:00:09.960 --> 00:00:11.460]  祢給我們的恩典是足夠的
[00:00:11.460 --> 00:00:15.700]  足以去承托我們生活裏面大小的風浪
[00:00:15.700 --> 00:00:17.700]  不同的際遇
[00:00:17.700 --> 00:00:20.240]  和我們所遇到的悲傷喜樂
[00:00:20.240 --> 00:00:22.740]  主啊 祢都足以能夠承托我們
[00:00:22.740 --> 00:00:23.880]  我們多謝祢
[00:00:23.880 --> 00:00:27.200]  祢賜給我們的生命是很豐盛的
[00:00:27.200 --> 00:00:29.760]  祢給我們有很多的禮物
[00:00:29.760 --> 00:00:34.580]  主啊 當中的禮物都包括著我們遇到的一些艱難
[00:00:34.580 --> 00:00:35.580]  主啊 多謝祢
[00:00:35.580 --> 00:00:38.620]  因為無論我們開心或者喜樂
[00:00:38.620 --> 00:00:40.620]  或者遇到艱難的時間
[00:00:40.620 --> 00:00:42.120]  祢沒有離開我們
[00:00:42.120 --> 00:00:44.120]  祢都繼續同行與我們
[00:00:44.120 --> 00:00:45.820]  祢都繼續去幫助我們
[00:00:45.820 --> 00:00:48.820]  更加盡心去明白祢的真理
[00:00:48.820 --> 00:00:51.320]  讓我們繼續跟從祢的時間
[00:00:51.320 --> 00:00:55.020]  讓我們明白究竟行上的一條是什麼道路
[00:00:55.020 --> 00:00:58.320]  主啊 幫助我們更加去學懂
[00:00:58.320 --> 00:01:00.320]  我們在這裏祈禱奉耶穌命求
[00:01:00.320 --> 00:01:01.320]  阿門
[00:01:01.320 --> 00:01:08.320]  好 我們先來看一位來自教會的廣告
[00:01:08.320 --> 00:01:11.320]  我們一起看一小小的海報
[00:01:11.320 --> 00:01:13.320]  不知道大家看不看得到
[00:01:13.320 --> 00:01:16.320]  教會名我已經查了
[00:01:16.320 --> 00:01:18.320]  免得讓大家看不見
[00:01:18.320 --> 00:01:20.320]  很有特別的廣告
[00:01:20.320 --> 00:01:22.820]  情債 流債 錢債 罪債
[00:01:22.820 --> 00:01:25.820]  信耶穌 什麼都幫你處理好
[00:01:25.820 --> 00:01:26.820]  很吸引的
[00:01:26.820 --> 00:01:28.820]  我心想 哇 這麼好
[00:01:28.820 --> 00:01:32.820]  比找尼加城還要好
[00:01:32.820 --> 00:01:37.820]  多少的債 多少的問題 多少的重疊
[00:01:37.820 --> 00:01:39.320]  總之我們去找耶穌
[00:01:39.320 --> 00:01:42.820]  祂全部幫我們處理好
[00:01:42.820 --> 00:01:43.820]  很吸引的
[00:01:43.820 --> 00:01:47.820]  想起來 如果這樣看這個廣告的話
[00:01:47.820 --> 00:01:50.820]  真的很好 很想相信耶穌
[00:01:50.820 --> 00:01:53.820]  其實我們都很希望神
[00:01:53.820 --> 00:01:56.320]  可以幫我們解決我們的問題
[00:01:56.320 --> 00:01:57.820]  或者可能
[00:01:57.820 --> 00:02:01.820]  這也是我們當初去信耶穌的起點
[00:02:01.820 --> 00:02:02.820]  信耶穌的原因
[00:02:02.820 --> 00:02:03.820]  因為我們發覺
[00:02:03.820 --> 00:02:06.320]  我們的生命 我們的生活
[00:02:06.320 --> 00:02:09.820]  有很多我們要解決的問題
[00:02:09.820 --> 00:02:12.820]  我們很想尋求一些答案 一些方向
[00:02:12.820 --> 00:02:16.820]  我們很想主耶穌幫我們
[00:02:16.820 --> 00:02:20.820]  告訴我們究竟我們前行的路應該怎樣走
[00:02:20.820 --> 00:02:25.820]  要怎樣給我們一些祝福 安慰
[00:02:25.820 --> 00:02:29.820]  沒錯的 這是我們很多時候信仰的起點
[00:02:29.820 --> 00:02:32.820]  或者我們一直信仰的路途裡
[00:02:32.820 --> 00:02:37.820]  我們不停地很想在神裡得到這份幫助
[00:02:37.820 --> 00:02:38.820]  這份安慰
[00:02:38.820 --> 00:02:41.820]  是很正常的 也是應該的
[00:02:41.820 --> 00:02:44.820]  因為在耶穌裡面是有恩典 有盼望
[00:02:44.820 --> 00:02:47.820]  祂也有能力去幫助我們 承托我們
[00:02:47.820 --> 00:02:49.820]  而在初代的時間
[00:02:49.820 --> 00:02:51.820]  也有很多有需要的人
[00:02:51.820 --> 00:02:54.820]  也找到耶穌基督來幫助
[00:02:54.820 --> 00:02:57.820]  因為耶穌祂真的有這份大能
[00:02:57.820 --> 00:02:59.820]  因為祂是神的兒子
[00:02:59.820 --> 00:03:02.820]  所以你看到有很多人患病的 被鬼附的
[00:03:02.820 --> 00:03:06.820]  或者是他生命裡有需要的
[00:03:06.820 --> 00:03:09.820]  想去尋問永生之道的
[00:03:09.820 --> 00:03:11.820]  也來找耶穌基督
[00:03:11.820 --> 00:03:15.820]  耶穌基督也會為他們一一去幫助
[00:03:15.820 --> 00:03:17.820]  今天看這段經文
[00:03:17.820 --> 00:03:20.820]  耶穌跟我們講了關於
[00:03:20.820 --> 00:03:23.820]  一件更加深的 更進深的事情
[00:03:23.820 --> 00:03:25.820]  我們在跟從耶穌基督
[00:03:25.820 --> 00:03:28.820]  去得著恩典 得到幫助和平安
[00:03:28.820 --> 00:03:31.820]  或者得到永生的福音之餘
[00:03:31.820 --> 00:03:33.820]  我們還有一些東西我們知道
[00:03:33.820 --> 00:03:35.820]  我們一定要去知道的
[00:03:35.820 --> 00:03:39.820]  讓我們今天對於我們跟隨基督
[00:03:39.820 --> 00:03:41.820]  對於我們去作主門徒
[00:03:41.820 --> 00:03:44.820]  我們有更深切的反省
[00:03:44.820 --> 00:03:47.820]  讓我們看這段經文
[00:03:47.820 --> 00:03:49.820]  《福音9章23節》
[00:03:49.820 --> 00:03:51.820]  耶穌又對眾人說
