
[00:00:00.000 --> 00:00:09.200]  我們今天跟弟兄姊妹一同來看這個《石頭經傳》第十八章
[00:00:09.200 --> 00:00:14.500]  我們信息的題目是《在四峯中成長》
[00:00:14.500 --> 00:00:19.400]  我們要從十八章跟十九章前面這半章
[00:00:19.400 --> 00:00:24.700]  我們要看到這個信息這些內容
[00:00:24.700 --> 00:00:28.600]  這些話語給我們一些什麼的提醒
[00:00:28.600 --> 00:00:32.500]  這段經文裏頭沒有保羅的講道
[00:00:32.500 --> 00:00:39.200]  但是有很多記載說是很多人信主的事情
[00:00:39.200 --> 00:00:45.300]  教會的興旺也能看到這個福音繼續地往傳
[00:00:45.300 --> 00:00:48.400]  主的工作繼續地往前
[00:00:48.400 --> 00:00:55.200]  看到在服事主的人在傳福音中間成長了
[00:00:55.200 --> 00:00:58.500]  因爲這個服事主是一個生命的服事
[00:00:58.500 --> 00:01:01.100]  不是單單是有一些才能
[00:01:01.100 --> 00:01:04.400]  是從生命裏頭出來的服事
[00:01:04.400 --> 00:01:13.600]  所以一個服事主的人必須在服事中間成長
[00:01:13.600 --> 00:01:17.600]  如果不服事就不會成長
[00:01:17.600 --> 00:01:22.800]  因爲服事中間你就有很多生命上的學習
[00:01:22.800 --> 00:01:26.400]  當你這樣按照主的意思來服事
[00:01:26.400 --> 00:01:29.400]  把你的心思都擺上的話
[00:01:29.400 --> 00:01:32.300]  你就看見你的生命上有長大
[00:01:32.300 --> 00:01:38.900]  你的服事上也能夠學到很多東西
[00:01:38.900 --> 00:01:42.700]  所以這個服事主是生命的服事
[00:01:42.700 --> 00:01:46.800]  所以中國古人說
[00:01:46.800 --> 00:01:50.500]  他學而習之其事不曰樂乎
[00:01:50.500 --> 00:01:52.800]  這個樂乎就是說
[00:01:52.800 --> 00:01:57.700]  不曰說乎這個說在英應該念樂
[00:01:57.700 --> 00:01:59.400]  喜樂的樂
[00:01:59.400 --> 00:02:04.900]  因爲在古代的樂子跟說子是同一個字
[00:02:04.900 --> 00:02:10.100]  意思就是說服事主要常常學習
[00:02:10.100 --> 00:02:15.100]  不是一天兩天一生中間都來學習
[00:02:15.100 --> 00:02:18.600]  在這樣的服事中間去學習的話
[00:02:18.600 --> 00:02:22.300]  就慢慢就能夠成長了
[00:02:22.300 --> 00:02:25.500]  我們從這個新墓裏頭看到有幾件事情
[00:02:25.500 --> 00:02:30.900]  第一件就是保羅剪髮還院
[00:02:30.900 --> 00:02:33.900]  把頭髮剪掉
[00:02:33.900 --> 00:02:40.200]  我們剛纔讀到第十八章
[00:02:40.200 --> 00:02:43.700]  十八章第十八節的時候
[00:02:43.700 --> 00:02:50.100]  就說到他就坐船要到敘利亞去
[00:02:50.100 --> 00:02:54.500]  那麼擺基拉跟雅居拉跟他同去
[00:02:54.500 --> 00:02:57.300]  底下說他因爲許過願
[00:02:57.300 --> 00:03:01.000]  就在尖閣裏剪了頭髮
[00:03:01.000 --> 00:03:04.900]  這個他就剪頭髮還願
[00:03:04.900 --> 00:03:12.100]  這裏沒有說前面後面都沒有說到他還什麼願
[00:03:12.100 --> 00:03:16.300]  所以讀《聖經》人就會分析了和猜想了
[00:03:16.300 --> 00:03:23.200]  或許比較接近的就是在前面第十八章
[00:03:23.200 --> 00:03:30.700]  當他在格陵多服事的時候碰到一些困難
[00:03:30.700 --> 00:03:33.900]  猶太人他不接受福音
[00:03:33.900 --> 00:03:41.100]  那麼有一天夜間主在異鄉中對保羅就說了
[00:03:41.100 --> 00:03:46.600]  不要怕喫官獎不要閉口有我與你同在
[00:03:46.600 --> 00:03:49.500]  必定沒有人下手害你
[00:03:49.500 --> 00:03:54.700]  他說神說因爲在這個城裏我有許多百姓
[00:03:54.700 --> 00:03:57.700]  所以保羅就是在那裏
[00:03:57.700 --> 00:04:03.300]  格陵多又住了一年一年半
[00:04:03.300 --> 00:04:09.000]  把神的道來教訓格陵多的這些弟兄姊妹
[00:04:09.000 --> 00:04:12.500]  或許有人說就是因爲神保守
[00:04:12.500 --> 00:04:19.200]  所以他就有這樣的一個時間
[00:04:19.200 --> 00:04:24.600]  有一年多還能夠繼續的來服事
[00:04:24.600 --> 00:04:31.900]  另外在《聖經》其他地方都沒有講到保羅在說什麼還願
[00:04:31.900 --> 00:04:35.600]  《聖經》說到他還願就是這麼一次
[00:04:35.600 --> 00:04:38.800]  因爲這個還願是猶太人的習俗
[00:04:38.800 --> 00:04:43.100]  猶太人爲了一件事情向神許願
[00:04:43.100 --> 00:04:48.500]  然後這個事情做成了以後他向神還願
[00:04:48.500 --> 00:04:53.000]  那麼這個是猶太人的習俗
[00:04:53.000 --> 00:04:55.200]  那有些人就批評保羅了
