
[00:00:00.000 --> 00:00:01.240]  各位警匪平安
[00:00:01.240 --> 00:00:05.280]  我們今天這個題目叫「擴展主的角度」
[00:00:05.280 --> 00:00:06.640]  你覺得熟不熟面口
[00:00:06.640 --> 00:00:08.800]  「擴展主的角度」
[00:00:08.800 --> 00:00:09.920]  那你想起了甚麼
[00:00:09.920 --> 00:00:11.760]  「擴展主的角度」
[00:00:11.760 --> 00:00:13.440]  是你想起了甚麼
[00:00:13.440 --> 00:00:14.400]  見沒有人有反應
[00:00:14.400 --> 00:00:15.520]  想不起任何東西
[00:00:15.520 --> 00:00:16.800]  一片空白
[00:00:16.800 --> 00:00:18.400]  猜出來
[00:00:18.400 --> 00:00:19.440]  還沒有想起甚麼
[00:00:19.440 --> 00:00:21.520]  原來我們真的不是很成功
[00:00:21.520 --> 00:00:23.040]  我們有四個使命
[00:00:23.040 --> 00:00:24.800]  四個使命
[00:00:24.800 --> 00:00:26.320]  其中一個「擴展主的角度」
[00:00:26.320 --> 00:00:27.680]  證明不成功
[00:00:27.680 --> 00:00:29.120]  還有其他那些是甚麼
[00:00:29.120 --> 00:00:31.200]  還有「優化屬靈土樣」
[00:00:31.200 --> 00:00:32.400]  還有呢
[00:00:32.400 --> 00:00:35.280]  真的一般般成功
[00:00:35.280 --> 00:00:37.120]  還有甚麼
[00:00:37.120 --> 00:00:38.640]  「回應世界轉變」
[00:00:38.640 --> 00:00:41.200]  還有「倍增衛生門徒」
[00:00:41.200 --> 00:00:42.480]  我們四個使命
[00:00:42.480 --> 00:00:45.760]  所以要提醒牧師加倍努力
[00:00:45.760 --> 00:00:47.520]  暫時大家還沒有很記得
[00:00:47.520 --> 00:00:50.400]  我們這幾個禮拜的講道
[00:00:50.400 --> 00:00:51.920]  其實都逐個逐個使命
[00:00:51.920 --> 00:00:53.120]  希望可以講解一下
[00:00:53.120 --> 00:00:54.720]  讓大家有初步認識
[00:00:54.720 --> 00:00:57.440]  其實我們整年都會圍繞著
[00:00:57.440 --> 00:01:00.400]  不同的使命去講解
[00:01:00.400 --> 00:01:02.240]  下個禮拜開始
[00:01:02.240 --> 00:01:04.320]  我們會透過馬太福音
[00:01:04.320 --> 00:01:06.800]  去講兩個使命
[00:01:06.800 --> 00:01:10.800]  就是「優化屬靈土樣」
