
[00:00:00.000 --> 00:00:10.000]  頂子媒,早晨,第一次託練來到你們當中,都要和大家賀一賀年
[00:00:10.000 --> 00:00:15.000]  所以,希望和大家一起看一看一首打油詩
[00:00:15.000 --> 00:00:20.000]  這首打油詩,我是年初一,凌晨四點就醒了
[00:00:20.000 --> 00:00:26.000]  醒了的時候,年初一,都應該要和欣福的頂子媒拜一拜年
[00:00:26.000 --> 00:00:31.000]  因為那天,我在欣福堂中講到
[00:00:31.000 --> 00:00:39.000]  那就將這個賀年的打油詩,都會送給大家,我們一起讀一讀它,好嗎?
[00:00:39.000 --> 00:00:54.000]  神恩遂領,苦苦過,吐有三分,彈性多,扎根真理,莫頹墮,依靠聖靈,福音播,送給大家
[00:00:54.000 --> 00:00:59.000]  過去一年,是否容易過,頂子媒?
[00:00:59.000 --> 00:01:03.000]  不容易,是不是?是一點都不容易過
[00:01:03.000 --> 00:01:09.000]  但是,我都會看得到,無論你是苦苦生威的一年也好,這個就是苦年,去年
[00:01:09.000 --> 00:01:17.000]  或者你有一種逆境重重,很多不同的苦難的經歷也好
[00:01:17.000 --> 00:01:19.000]  但是都過了
[00:01:19.000 --> 00:01:24.000]  接下來這個套,對我們有什麼提醒,我自己本身有一種感覺
[00:01:24.000 --> 00:01:31.000]  就說,無論順境也好,逆境也好,我們需要經常繼續不斷學會一樣東西
[00:01:31.000 --> 00:01:34.000]  就是彈性
[00:01:34.000 --> 00:01:41.000]  這個彈性,還要有一個正面的一種思想
[00:01:41.000 --> 00:01:47.000]  每一個危機的裏面,不要只看那些危,你要看那些機
[00:01:47.000 --> 00:01:51.000]  我告訴大家,在這麽多年裏面,我從來沒有試過
[00:01:51.000 --> 00:01:57.000]  在過去一年,這麽多在電話裏,跟別人缺字禱告
[00:01:57.000 --> 00:02:02.000]  這麽多在網上的講道,有人缺字信耶穌
[00:02:02.000 --> 00:02:07.000]  然後就寫回一些回應給我,說多謝我這些信息
[00:02:07.000 --> 00:02:10.000]  是讓他看得見,他需要神
[00:02:10.000 --> 00:02:18.000]  我覺得這是一個好的開始,就是當人在苦難裏面看到他需要神的時候
[00:02:18.000 --> 00:02:26.000]  傳福音,讓他信主的機會,是比他在順境當中多很多的
[00:02:26.000 --> 00:02:30.000]  我順便在這個時候,跟大家講講
[00:02:30.000 --> 00:02:35.000]  政府都很恩待我們這些講道的人
[00:02:35.000 --> 00:02:42.000]  今天應該是星期四開始,凡是講道的人都不用戴口罩
[00:02:42.000 --> 00:02:47.000]  但是講完就要戴,我都很感恩
[00:02:47.000 --> 00:02:53.000]  今天我就很想跟大家分享一個信息
[00:02:53.000 --> 00:03:00.000]  這個信息就是信心之父,也是一個平凡的人,逆常人
[00:03:00.000 --> 00:03:09.000]  我想問問大家,過去苦年,我經常都很少會提到這些事情
[00:03:09.000 --> 00:03:14.000]  一提到巴西,你會想到誰?
[00:03:14.000 --> 00:03:17.000]  嘩,這麽多都會講
[00:03:17.000 --> 00:03:22.000]  提到巴西,你會想到比利,是不是?的確是的
[00:03:22.000 --> 00:03:30.000]  球王比利,就在去年年底的時候離世,八十二歲
[00:03:30.000 --> 00:03:35.000]  我想為什麽這麽多人一提到他,就會想到巴西呢?
[00:03:35.000 --> 00:03:44.000]  因為世界上從來沒有一個足球員,是能夠自己參加過五屆世界盃
[00:03:44.000 --> 00:03:49.000]  而其中有三屆,他拿到冠軍
[00:03:49.000 --> 00:03:58.000]  比利是唯一的一個,能夠奪得三屆世界盃冠軍的人
[00:03:58.000 --> 00:04:03.000]  十七歲開始,1956年,已經是冠軍隊
[00:04:03.000 --> 00:04:07.000]  然後62年,再拿到冠軍
[00:04:07.000 --> 00:04:15.000]  66年,就因為被人踢傷了,所以沒辦法再奪冠
[00:04:15.000 --> 00:04:21.000]  大家知道那一年是在英國,結果英國就奪了,大家知道
[00:04:21.000 --> 00:04:28.000]  但是70年,再過一屆,他再一次以隊長的身份,能夠拿到世界盃
[00:04:28.000 --> 00:04:36.000]  所以我們看得見,這個球員能夠奪得三屆,一屆都很厲害
[00:04:36.000 --> 00:04:40.000]  能夠拿到三屆,這個是更加厲害上的厲害
[00:04:40.000 --> 00:04:43.000]  是沒有一個人能夠做得到,就是他
[00:04:43.000 --> 00:04:48.000]  第二,他的入球紀錄,到現在為止,沒有人能夠破得到
[00:04:48.000 --> 00:04:53.000]  包括聯賽,包括國際賽事,他的入球
[00:04:53.000 --> 00:04:57.000]  到現在為止,沒有人能夠破得到
[00:04:57.000 --> 00:05:01.000]  另一方面,也很想讓大家知道
[00:05:01.000 --> 00:05:06.000]  一般人懷念他,和一提到巴西,都會想到他
