
[00:00:00.000 --> 00:00:02.080]  到弟兄姊妹不能愛的愛都是愛
[00:00:02.080 --> 00:00:03.400]  愛到分離都是愛
[00:00:03.400 --> 00:00:11.080]  受傷的戀人
[00:00:11.080 --> 00:00:15.000]  各位弟兄姊妹 你們有沒有受傷過
[00:00:15.000 --> 00:00:17.720]  有沒有
[00:00:17.720 --> 00:00:19.400]  有
[00:00:19.400 --> 00:00:21.200]  誰沒有的 這麼厲害
[00:00:21.200 --> 00:00:25.360]  你有沒有經歷過一段的關係決裂
[00:00:25.360 --> 00:00:28.920]  無論是男女分手
[00:00:29.920 --> 00:00:31.160]  家人吵架
[00:00:31.160 --> 00:00:32.960]  朋友絕交
[00:00:32.960 --> 00:00:37.720]  有時你經歷這些決裂關係的時候
[00:00:37.720 --> 00:00:40.640]  有時自己都忍不住
[00:00:40.640 --> 00:00:44.720]  很容易就會去數對方的不對
[00:00:44.720 --> 00:00:46.800]  發洩自己裏面的不滿
[00:00:46.800 --> 00:00:50.240]  告訴其他人自己是多麼受委屈
[00:00:50.240 --> 00:00:51.760]  自己的內心多麼痛苦
[00:00:51.760 --> 00:00:56.560]  甚至有時希望這些說話能夠左傳右傳
[00:00:56.560 --> 00:00:59.240]  傳回當時人的耳裏
[00:00:59.920 --> 00:01:01.120]  讓他聽完之後
[00:01:01.120 --> 00:01:05.080]  他會有內疚 後悔 痛苦
[00:01:05.080 --> 00:01:06.480]  或者
[00:01:06.480 --> 00:01:10.360]  心裏仍然有一絲絲的希望
[00:01:10.360 --> 00:01:13.240]  希望能夠復合和好
[00:01:13.240 --> 00:01:15.840]  愛到分離仍是愛
[00:01:15.840 --> 00:01:18.600]  何西亞先知
[00:01:18.600 --> 00:01:20.680]  今次我們第二講
[00:01:20.680 --> 00:01:22.440]  他是奉神的命令
[00:01:22.440 --> 00:01:26.000]  去娶一個淫婦 叫做戈敏
[00:01:26.000 --> 00:01:28.240]  這個淫婦
[00:01:30.560 --> 00:01:32.360]  他娶的時候已經知道她是淫婦
[00:01:32.360 --> 00:01:34.080]  娶完她之後
[00:01:34.080 --> 00:01:37.280]  又經歷被大綠帽
[00:01:37.280 --> 00:01:41.400]  但是仍然聽神的吩咐
[00:01:41.400 --> 00:01:44.680]  去接受這個妻子
[00:01:44.680 --> 00:01:46.000]  再一次接受她
[00:01:46.000 --> 00:01:50.640]  神是藉著先知這個個人婚姻上的慘痛經歷
[00:01:50.640 --> 00:01:51.720]  做一個比喻
[00:01:51.720 --> 00:01:54.520]  所以何西亞很明白神的心情
[00:01:54.520 --> 00:01:56.040]  來比喻甚麼呢
[00:01:56.040 --> 00:02:01.960]  就比喻到說明以色列人對神不忠
[00:02:01.960 --> 00:02:05.120]  其實以色列人就是那個淫婦
[00:02:05.120 --> 00:02:08.640]  以色列人不斷地
[00:02:08.640 --> 00:02:10.000]  如果我們看看以色列史
[00:02:10.000 --> 00:02:16.680]  以色列人是不斷重複重複地背叛上帝
[00:02:16.680 --> 00:02:20.240]  上帝一次一次地原諒他 給他機會
[00:02:20.240 --> 00:02:22.320]  神仍然抱有希望
[00:02:22.320 --> 00:02:24.960]  用不變的愛去接納以色列
[00:02:25.240 --> 00:02:26.760]  希望他能夠回轉
[00:02:26.760 --> 00:02:31.000]  這也是神愛到分離仍然是愛的表現
[00:02:31.000 --> 00:02:35.480]  上一次我們說到
[00:02:35.480 --> 00:02:37.480]  記不記得
[00:02:37.480 --> 00:02:40.520]  如何可以再愛他
[00:02:40.520 --> 00:02:43.400]  怎樣愛呢
[00:02:43.400 --> 00:02:46.360]  人們一次又一次地傷害你
[00:02:46.360 --> 00:02:49.400]  上一次我們說因為有神的命令
[00:02:49.400 --> 00:02:51.800]  有神的愛帶動我們之下
