
[00:00:00.000 --> 00:00:09.440]  我們已經讀經計劃七個月了
[00:00:09.440 --> 00:00:14.500]  我們今天進入《保羅第二卷書信》
[00:00:14.500 --> 00:00:16.500]  在《聖經牌序》裏面
[00:00:16.500 --> 00:00:18.500]  《哥林多前書》
[00:00:18.500 --> 00:00:22.500]  大家知道以《保羅書信》來講
[00:00:22.500 --> 00:00:28.000]  為何我們在聖經目錄看到的次序
[00:00:28.000 --> 00:00:29.500]  為何第一卷是《羅馬書》
[00:00:29.500 --> 00:00:30.500]  第二卷是《哥林多前書》
[00:00:30.500 --> 00:00:32.500]  第三卷是《後書》
[00:00:32.500 --> 00:00:35.500]  這樣排下去
[00:00:35.500 --> 00:00:38.500]  最後一卷是《肥理門書》
[00:00:38.500 --> 00:00:40.500]  為何這樣排法呢
[00:00:40.500 --> 00:00:44.500]  是否最早寫的是《羅馬書》
[00:00:44.500 --> 00:00:46.500]  最遲寫的是《肥理門書》
[00:00:46.500 --> 00:00:47.500]  所以這樣排法
[00:00:47.500 --> 00:00:55.500]  又或是用希臘文書名的次序去排
[00:00:55.500 --> 00:01:00.500]  誰認為是用次序排的
[00:01:00.500 --> 00:01:02.500]  即是先寫《羅馬書》
[00:01:02.500 --> 00:01:04.500]  最後是《肥理門書》
[00:01:04.500 --> 00:01:06.500]  有人覺得是這樣嗎
[00:01:06.500 --> 00:01:08.500]  沒有
[00:01:08.500 --> 00:01:11.500]  有人覺得是用希臘文字母排的嗎
[00:01:11.500 --> 00:01:13.500]  所以第一個是《羅馬》
[00:01:13.500 --> 00:01:14.500]  最後是《肥理門》
[00:01:14.500 --> 00:01:15.500]  有沒有
[00:01:15.500 --> 00:01:16.500]  都沒有
[00:01:16.500 --> 00:01:18.500]  那是甚麼
[00:01:18.500 --> 00:01:20.500]  不知道
[00:01:20.500 --> 00:01:21.500]  誰不知道的
[00:01:21.500 --> 00:01:25.500]  真好,大家都不知道
[00:01:25.500 --> 00:01:26.500]  有些應該知道
[00:01:26.500 --> 00:01:28.500]  上過我的課有說過
[00:01:28.500 --> 00:01:30.500]  不記得,不過
[00:01:30.500 --> 00:01:32.500]  很簡單
[00:01:32.500 --> 00:01:34.500]  是用長度計算的
[00:01:34.500 --> 00:01:36.500]  是用長度計算的
[00:01:36.500 --> 00:01:38.500]  《羅馬》書多少張
[00:01:38.500 --> 00:01:39.500]  16張
[00:01:39.500 --> 00:01:41.500]  《哥林多前書》15張
[00:01:41.500 --> 00:01:44.500]  一直數到《肥理門書》只有一張
[00:01:44.500 --> 00:01:47.500]  所以你記住
[00:01:47.500 --> 00:01:50.500]  記住這個聖經冷知識
[00:01:50.500 --> 00:01:53.500]  即是《羅馬》書信是用長度計算的
[00:01:53.500 --> 00:01:57.500]  這樣就排好了
[00:01:57.500 --> 00:02:01.500]  我們不如開始認識一下哥林多教會
[00:02:01.500 --> 00:02:04.500]  我們今天看哥林多前書
[00:02:04.500 --> 00:02:07.500]  哥林多是在希臘的中部
[00:02:07.500 --> 00:02:11.500]  它的地理位置很獨特
[00:02:11.500 --> 00:02:14.500]  先看看有沒有看到
[00:02:14.500 --> 00:02:16.500]  希臘的地圖
[00:02:16.500 --> 00:02:20.500]  希臘現在經常看新聞
[00:02:20.500 --> 00:02:22.500]  希臘人很慘
[00:02:22.500 --> 00:02:24.500]  因為他們沒有錢
[00:02:24.500 --> 00:02:27.500]  所以他們每一次只可以按
[00:02:27.500 --> 00:02:30.500]  60歐羅
[00:02:30.500 --> 00:02:31.500]  即是多少錢
[00:02:31.500 --> 00:02:33.500]  五百多元
[00:02:33.500 --> 00:02:35.500]  即是有錢都不能按
[00:02:35.500 --> 00:02:37.500]  就是希臘
[00:02:37.500 --> 00:02:39.500]  但你想想
[00:02:39.500 --> 00:02:41.500]  第一世紀這麼風光
