
[00:00:00.000 --> 00:00:06.880]  這個世界是一個貧乏、困難的世界。
[00:00:06.880 --> 00:00:13.160]  根據世界銀行的統計,
[00:00:13.160 --> 00:00:21.000]  世上有三分一的人住在貧民乏,
[00:00:21.000 --> 00:00:27.640]  即是那裏沒有清水,沒有新鮮的空氣。
[00:00:27.640 --> 00:00:34.200]  而世界上有一半的人口,基本生活都沒有保障。
[00:00:34.200 --> 00:00:40.520]  除了物質的貧窮,也有心靈的缺乏。
[00:00:40.520 --> 00:00:44.800]  很多有錢人都不快樂,大家知道。
[00:00:44.800 --> 00:00:47.600]  你猜香港人快不快樂呢?
[00:00:47.600 --> 00:00:50.920]  我記得上個星期康衛明牧師也說過,
[00:00:50.920 --> 00:00:54.320]  香港人的快樂指數是很差的。
[00:00:54.320 --> 00:01:02.680]  去年的統計,156個國家裏面,香港排名76,
[00:01:02.680 --> 00:01:07.640]  巴基斯坦比香港快樂,這些人多75,
[00:01:07.640 --> 00:01:09.960]  菲律賓還71。
[00:01:09.960 --> 00:01:14.960]  如果將世界上一半的人口、物質缺乏,
[00:01:14.960 --> 00:01:21.600]  和另一半的心靈缺乏,加起來100%的人都有缺乏。
[00:01:21.600 --> 00:01:26.320]  換句話說,整個世界都不太好,都不開心。
[00:01:26.320 --> 00:01:31.000]  爲何這個世界會搞成這樣呢?
[00:01:31.000 --> 00:01:34.520]  上帝起初創造人類時不是這樣的,
[00:01:34.520 --> 00:01:38.600]  他每一件事都是好的,爲何會變成那麼差呢?
[00:01:38.600 --> 00:01:45.200]  因爲罪惡進入了這個世界,人類的命運變壞了。
[00:01:45.200 --> 00:01:49.240]  罪惡進來後,人與神之間的關係就斷了,
[00:01:49.240 --> 00:01:51.720]  不僅是人與神之間的關係斷了,
[00:01:51.720 --> 00:01:55.640]  人與人之間的關係都隔膜了。
[00:01:55.640 --> 00:02:01.000]  甚至兄弟夫妻都因爲罪的緣故,
[00:02:01.000 --> 00:02:04.880]  因爲私心的緣故,甚至斷了。
[00:02:04.880 --> 00:02:11.200]  不僅如此,人與大自然的環境,
[00:02:11.200 --> 00:02:12.800]  關係都惡化了。
[00:02:13.560 --> 00:02:21.640]  所以人類是很需要在這個困境裏面被拯救出來。
[00:02:21.640 --> 00:02:27.520]  古往今來,由人類的歷史一直到現在,
[00:02:27.520 --> 00:02:31.320]  都是在等待着被拯救,
[00:02:31.320 --> 00:02:36.440]  都是在等待着一個好消息,我們重新再來過。
[00:02:36.440 --> 00:02:40.880]  耶穌來宣告了這個好消息,
[00:02:40.880 --> 00:02:46.960]  就是剛纔我們還在讀的《路加福音》第四章十四到二十一節,
[00:02:46.960 --> 00:02:49.480]  耶穌就宣告了這個好消息。
[00:02:49.480 --> 00:02:59.160]  有人說這一段經文是耶穌基督的使命宣言,
[00:02:59.160 --> 00:03:03.360]  Mission Statement,是尼賽亞的使命宣言,
[00:03:03.360 --> 00:03:07.440]  開宗明義講到尼賽亞降世的使命,
[00:03:07.440 --> 00:03:09.440]  就是宣告這個好消息。
[00:03:09.440 --> 00:03:12.720]  耶穌不單止自己宣告這個好消息,
[00:03:12.720 --> 00:03:17.840]  祂也委派所有跟隨祂的人來宣告這個好消息。
[00:03:17.840 --> 00:03:24.280]  今天是我們傳音堂猜傳月的第二個主日,
[00:03:24.280 --> 00:03:30.840]  我們講如何猜傳,如何宣教,如何宣告這個好消息。
[00:03:30.840 --> 00:03:33.120]  我們來看看這段經文。
[00:03:33.880 --> 00:03:39.760]  首先我們來看一下背景,其實每一段經文都有一個很有興趣的背景。
[00:03:39.760 --> 00:03:46.840]  耶穌基督的侍奉歷程大約三年多,可以分成四部分。
[00:03:46.840 --> 00:03:49.560]  第一年就是祂在猶大的地方,
[00:03:49.560 --> 00:03:52.960]  即是以色列的南部,大部分時間在那裏。
[00:03:52.960 --> 00:03:59.200]  祂是一個很低調,比較低調的,甚至可以說是直直無名,
[00:03:59.200 --> 00:04:02.640]  但是慢慢祂的聲音,祂的聲明就傳出來了。
[00:04:02.640 --> 00:04:06.120]  第二年,祂大部分時間在加利利,
[00:04:06.120 --> 00:04:13.640]  巴利利在北邊,那時候就鳴聲大噪,很多人都認識祂。
[00:04:13.640 --> 00:04:21.840]  第三年,祂四面樹敵,因爲太厲害,開始有很多的敵人,
[00:04:21.840 --> 00:04:27.760]  到最後一段時間,就是祂的死、復活和昇天,
[00:04:27.760 --> 00:04:31.400]  這個就是耶穌的侍奉歷程。
[00:04:31.400 --> 00:04:38.440]  剛纔那段經文講到祂回到拿撒勒自己的家鄉,
