
[00:00:00.000 --> 00:00:04.000]  今天來到是講道系列的第三講
[00:00:04.000 --> 00:00:07.000]  今天我們來到講道系列的第三講
[00:00:07.000 --> 00:00:09.000]  上個星期我們講到
[00:00:09.000 --> 00:00:11.000]  我們可以將我們的重擔
[00:00:11.000 --> 00:00:13.000]  交到主耶穌基督的身上
[00:00:13.000 --> 00:00:14.000]  上個星期我們講到
[00:00:14.000 --> 00:00:15.000]  我們可以將我們的重擔
[00:00:15.000 --> 00:00:16.000]  交到主耶穌身上
[00:00:16.000 --> 00:00:17.000]  不過雖然來說
[00:00:17.000 --> 00:00:20.000]  不代表我們不需要做任何事
[00:00:20.000 --> 00:00:22.000]  這並不代表我們不需要做任何事
[00:00:22.000 --> 00:00:24.000]  然後就等神蹟的出現
[00:00:24.000 --> 00:00:26.000]  然後等待神蹟的出現
[00:00:26.000 --> 00:00:27.000]  我們仍然需要
[00:00:27.000 --> 00:00:30.000]  知道清楚我們問題的真正原因
[00:00:30.000 --> 00:00:31.000]  我們需要知道
[00:00:31.000 --> 00:00:33.000]  我們的問題的真正原因
[00:00:33.000 --> 00:00:34.000]  然後去到神面前
[00:00:34.000 --> 00:00:35.000]  求問神
[00:00:35.000 --> 00:00:36.000]  然後來到神的面前
[00:00:36.000 --> 00:00:37.000]  求問神
[00:00:37.000 --> 00:00:38.000]  求神讓我們知道
[00:00:38.000 --> 00:00:40.000]  一個走出困局的方向
[00:00:40.000 --> 00:00:41.000]  求神讓我們知道
[00:00:41.000 --> 00:00:43.000]  有一個走出困局的方法
[00:00:43.000 --> 00:00:47.000]  然後就按著這個計劃去做
[00:00:47.000 --> 00:00:49.000]  然後按著這個計劃去行
[00:00:49.000 --> 00:00:50.000]  大家記得的話
[00:00:50.000 --> 00:00:52.000]  在我上一次的講道結束的時候
[00:00:52.000 --> 00:00:53.000]  大家還記得
[00:00:53.000 --> 00:00:55.000]  在我上一次講道結束前
[00:00:55.000 --> 00:00:58.000]  我都強調我們在整個過程裡面
[00:00:58.000 --> 00:01:00.000]  我們都需要依靠神
[00:01:00.000 --> 00:01:02.000]  我強調在整個過程中
[00:01:02.000 --> 00:01:03.000]  我們需要依靠神
[00:01:03.000 --> 00:01:06.000]  不過依靠神其實都挺抽象的
[00:01:06.000 --> 00:01:08.000]  其實依靠神很抽象
[00:01:08.000 --> 00:01:11.000]  究竟我們可以在具體的實踐上面
[00:01:11.000 --> 00:01:13.000]  其實我們在具體的實踐上
[00:01:13.000 --> 00:01:14.000]  什麼叫做依靠神
[00:01:14.000 --> 00:01:16.000]  什麼叫做依靠神呢
[00:01:16.000 --> 00:01:18.000]  今天希望通過這個故事
[00:01:18.000 --> 00:01:19.000]  尼西米的故事
