
[00:00:00.000 --> 00:00:03.440]  好耐之前我睇過一套嘅笑片
[00:00:03.440 --> 00:00:05.840]  唔記得個片名
[00:00:05.840 --> 00:00:08.440]  都唔知道大部份嘅內容
[00:00:08.440 --> 00:00:10.440]  不過我記得主角
[00:00:10.440 --> 00:00:14.440]  係一位已故嘅笑星 阿野峰
[00:00:14.440 --> 00:00:17.240]  佢有個情節好深刻嘅
[00:00:17.240 --> 00:00:20.240]  就講到野峰受聘係一間
[00:00:20.240 --> 00:00:23.240]  應該係非法賭檔嘅公司
[00:00:23.240 --> 00:00:25.840]  有一日上司叫佢去門口
[00:00:25.840 --> 00:00:27.440]  你去睇水啦
[00:00:27.440 --> 00:00:29.440]  咁佢就好忠心嘅
[00:00:29.440 --> 00:00:32.440]  去到公司門口裏面搵一盤水
[00:00:32.440 --> 00:00:35.040]  一直好忠心望住嗰盤水
[00:00:35.040 --> 00:00:37.440]  直至到警察嚟冚檔嘅時候
[00:00:37.440 --> 00:00:40.440]  佢都好忠心地去睇水
[00:00:40.440 --> 00:00:43.440]  我係記得呢個情節啦
[00:00:43.440 --> 00:00:48.440]  佢係咪忠於所託呢
[00:00:48.440 --> 00:00:50.440]  有個真實個案
[00:00:50.440 --> 00:00:52.440]  係講到一位職員
[00:00:52.440 --> 00:00:54.440]  佢受上司指派
[00:00:54.440 --> 00:00:59.440]  買指定一個牌子嘅食物返公司
[00:00:59.440 --> 00:01:01.440]  咁去到超市嗰度
[00:01:01.440 --> 00:01:04.440]  佢見到另一個牌子特價喎
[00:01:04.440 --> 00:01:07.440]  於是佢諗都唔使諗 問都唔使問
[00:01:07.440 --> 00:01:08.440]  就擅自買咗返嚟
[00:01:08.440 --> 00:01:11.440]  若無其事交畀佢上司
[00:01:11.440 --> 00:01:15.440]  結果當然受到上司嘅指責啦
[00:01:15.440 --> 00:01:17.440]  可能大家都覺得呢個同事
[00:01:17.440 --> 00:01:19.440]  真係好無辜係咪呀
[00:01:19.440 --> 00:01:22.440]  諗住一心慳錢
[00:01:22.440 --> 00:01:26.440]  佢係咪忠於所託呢
[00:01:26.440 --> 00:01:28.440]  咁好多人唔明白
[00:01:28.440 --> 00:01:30.440]  其實自己目前所擁有嘅嘢
[00:01:30.440 --> 00:01:33.440]  都好暫時係會有機會失去嘅
[00:01:33.440 --> 00:01:41.440]  包括任何嘅權力地位財物兒女學生
[00:01:41.440 --> 00:01:44.440]  所有嘢其實都會有機會失去
[00:01:44.440 --> 00:01:48.440]  甚至我哋唔明白呢一切嘅人與物
[00:01:48.440 --> 00:01:50.440]  其實我哋只不過係管理者
[00:01:50.440 --> 00:01:54.440]  係上帝畀我哋今日去管理
[00:01:54.440 --> 00:01:56.440]  或者去負責關心嘅
[00:01:56.440 --> 00:01:59.440]  我哋唔係真正擁有佢
[00:01:59.440 --> 00:02:01.440]  聖經錯世記一章二十八節
[00:02:01.440 --> 00:02:03.440]  大家睇螢幕
[00:02:03.440 --> 00:02:05.440]  神賜福給他們
[00:02:05.440 --> 00:02:06.440]  又對他們說
[00:02:06.440 --> 00:02:09.440]  要生養眾多片滿地面
