
[00:00:00.000 --> 00:00:05.000]  鼎永姊妹,感謝主我們現在晨島來到了馬可福音
[00:00:05.000 --> 00:00:08.000]  我們上個周的時候我們已經結束了馬太
[00:00:08.000 --> 00:00:09.000]  進到了馬可福音
[00:00:09.000 --> 00:00:12.000]  那我們已經查到了第一章
[00:00:12.000 --> 00:00:15.000]  所以我就着馬可福音第一章的內容
[00:00:15.000 --> 00:00:18.000]  今天想要跟大家分享關於施洗約翰
[00:00:18.000 --> 00:00:21.000]  有人曾經講過一個類似於笑話
[00:00:21.000 --> 00:00:24.000]  他說,他向上帝抱怨說
[00:00:24.000 --> 00:00:28.000]  上帝啊上帝,我和我妻子的關係非常不好
[00:00:28.000 --> 00:00:29.000]  常常吵架
[00:00:29.000 --> 00:00:31.000]  有的時候經常冷戰
[00:00:31.000 --> 00:00:32.000]  上帝就在說
[00:00:32.000 --> 00:00:34.000]  我的婚姻也不好
[00:00:34.000 --> 00:00:35.000]  也不幸福
[00:00:35.000 --> 00:00:36.000]  有一次我一吵架
[00:00:36.000 --> 00:00:39.000]  我四百年都沒跟他說話
[00:00:39.000 --> 00:00:41.000]  大家知道這是什麼
[00:00:41.000 --> 00:00:44.000]  就是當新舊約結束之後
[00:00:44.000 --> 00:00:46.000]  知道新約開始之前
[00:00:46.000 --> 00:00:48.000]  中間有四百年
[00:00:48.000 --> 00:00:50.000]  我們叫做沉默的時期
[00:00:50.000 --> 00:00:53.000]  四百年沒有先知
[00:00:53.000 --> 00:00:55.000]  四百年沒有上帝的話語
[00:00:55.000 --> 00:00:58.000]  經過了長達四百年以後呢
[00:00:58.000 --> 00:01:01.000]  上帝又一次興起了一位先知
[00:01:01.000 --> 00:01:04.000]  但這位先知不是要來延續舊約的
[00:01:04.000 --> 00:01:05.000]  相反
[00:01:05.000 --> 00:01:07.000]  他是要來給舊約打個結
[00:01:07.000 --> 00:01:09.000]  他是要把新約帶入
[00:01:09.000 --> 00:01:13.000]  這個先知我們把他叫做施洗約翰
[00:01:13.000 --> 00:01:15.000]  司福音書都有記載他的內容
[00:01:15.000 --> 00:01:19.000]  都把他叫一個名字叫做施洗約翰
[00:01:19.000 --> 00:01:22.000]  爲什麼稱之他爲施洗約翰呢
[00:01:22.000 --> 00:01:23.000]  我想啊
[00:01:23.000 --> 00:01:25.000]  一個人一生可能會幹很多的事
[00:01:25.000 --> 00:01:26.000]  對吧
[00:01:26.000 --> 00:01:28.000]  我們可能也會有很多不同的身份
[00:01:28.000 --> 00:01:29.000]  對吧
[00:01:29.000 --> 00:01:30.000]  但是呢
[00:01:30.000 --> 00:01:33.000]  聖經最後會選擇一件事情
[00:01:33.000 --> 00:01:37.000]  好像給你蓋棺定論一樣
[00:01:37.000 --> 00:01:39.000]  雖然約翰我相信他做了不同的事情
[00:01:39.000 --> 00:01:40.000]  但是呢
[00:01:40.000 --> 00:01:42.000]  他被稱爲施洗的約翰
[00:01:42.000 --> 00:01:44.000]  雖然尤大也做了不同的事情
[00:01:44.000 --> 00:01:48.000]  他叫什麼
[00:01:48.000 --> 00:01:49.000]  賣主的尤大
[00:01:49.000 --> 00:01:50.000]  對吧
[00:01:50.000 --> 00:01:51.000]  對吧
[00:01:51.000 --> 00:01:52.000]  弟兄姊妹
[00:01:52.000 --> 00:01:54.000]  將來有一天你到天上去
[00:01:54.000 --> 00:01:57.000]  會被稱爲什麼的宇康
[00:01:57.000 --> 00:01:59.000]  會被稱爲什麼的寶儀
[00:01:59.000 --> 00:02:01.000]  大家可以思想一下
[00:02:01.000 --> 00:02:03.000]  將來我到天上去
[00:02:03.000 --> 00:02:06.000]  上帝會稱我什麼什麼的張磊呢
[00:02:06.000 --> 00:02:08.000]  弟兄姊妹
[00:02:08.000 --> 00:02:09.000]  你會發現
[00:02:09.000 --> 00:02:11.000]  他是根據什麼呢
[00:02:11.000 --> 00:02:15.000]  根據你最光鮮的一個職稱
[00:02:15.000 --> 00:02:18.000]  根據你最有果孝的一個侍奉
[00:02:18.000 --> 00:02:19.000]  弟兄姊妹
[00:02:19.000 --> 00:02:20.000]  不是的
