
[00:00:00.000 --> 00:00:03.000]  一生姐妹平安
[00:00:03.000 --> 00:00:09.000]  剛才我們讀了羅馬書的經文
[00:00:09.000 --> 00:00:15.000]  講到新約裏面的羅馬書
[00:00:15.000 --> 00:00:20.000]  你會想到什麼呢?
[00:00:20.000 --> 00:00:24.000]  你可能會聯想到「神學」這兩個字
[00:00:29.000 --> 00:00:32.000]  而講到「神學」的時候
[00:00:32.000 --> 00:00:36.000]  可能你會覺得是冷冰冰的論述
[00:00:36.000 --> 00:00:46.000]  除了「神學」以外
[00:00:46.000 --> 00:00:50.000]  如果你讀過羅馬書
[00:00:50.000 --> 00:00:54.000]  或者你會聯想到「福音」這兩個字
[00:00:59.000 --> 00:01:02.000]  因為在羅馬書第一章第十六、第十七節
[00:01:02.000 --> 00:01:10.000]  作者保羅就直接提出了他要講的主題
[00:01:10.000 --> 00:01:20.000]  而這個主題就是「福音」
[00:01:20.000 --> 00:01:25.000]  講到「福音」你又會聯想到什麼呢?
[00:01:27.000 --> 00:01:30.000]  我們經常鼓勵人去傳「福音」
[00:01:30.000 --> 00:01:36.000]  我們其實想他傳些什麼呢?
[00:01:36.000 --> 00:01:42.000]  又怎樣去傳呢?
[00:01:42.000 --> 00:01:47.000]  對於「福音」保羅有這樣的說明
[00:01:47.000 --> 00:01:55.000]  保羅在第一章第十六節說「福音」
[00:01:58.000 --> 00:02:01.000]  是神的大能
[00:02:01.000 --> 00:02:06.000]  要救一切相信的
[00:02:06.000 --> 00:02:11.000]  先是猶太人
[00:02:11.000 --> 00:02:15.000]  後是希臘人
[00:02:15.000 --> 00:02:20.000]  因為神的義正在這福音上顯明出來
[00:02:20.000 --> 00:02:26.000]  這義是本於信
[00:02:28.000 --> 00:02:31.000]  簡單來說
[00:02:31.000 --> 00:02:36.000]  福音或者好消息在說的是
[00:02:36.000 --> 00:02:41.000]  神愛世人
[00:02:41.000 --> 00:02:45.000]  神愛所有的人
[00:02:45.000 --> 00:02:50.000]  不單只是愛他自己的選民猶太人
[00:02:50.000 --> 00:02:56.000]  也都愛不是猶太人的外邦人
[00:02:57.000 --> 00:03:00.000]  也都可以這樣說
[00:03:00.000 --> 00:03:04.000]  神不會按種族、國籍
[00:03:04.000 --> 00:03:09.000]  或者加上今天的講法
[00:03:09.000 --> 00:03:13.000]  政治理念
[00:03:13.000 --> 00:03:17.000]  來決定人是不是可愛
[00:03:17.000 --> 00:03:21.000]  神所愛的是人
[00:03:21.000 --> 00:03:25.000]  神要救的也是人
[00:03:27.000 --> 00:03:30.000]  所有被罪污染的人
[00:03:30.000 --> 00:03:35.000]  聖經很清楚地說
[00:03:35.000 --> 00:03:40.000]  我們每一個都需要神的拯救
[00:03:40.000 --> 00:03:45.000]  因為人人都是罪人
[00:03:45.000 --> 00:03:49.000]  沒有一個義人
