
[00:00:00.000 --> 00:00:02.680]  我們繼續講馬可福音第六章
[00:00:02.680 --> 00:00:08.320]  先看看之前那兩章耶穌做了些什麼
[00:00:08.320 --> 00:00:16.520]  在前文裡 馬可福音第五章和第四章裡
[00:00:16.520 --> 00:00:22.040]  耶穌在愛邦尼的地方和加伯隆行了很多神蹟
[00:00:22.040 --> 00:00:27.200]  在第四章裡 當祂平靜風浪的時候
[00:00:27.200 --> 00:00:36.960]  去平靜風浪的時候 那些門徒就問
[00:00:36.960 --> 00:00:40.760]  這個到底是誰來的
[00:00:40.760 --> 00:00:44.920]  連門徒都不知道耶穌是誰
[00:00:44.920 --> 00:00:47.880]  然後在第五章一至二十節
[00:00:47.880 --> 00:00:53.560]  祂就醫好了在格拉森一個長期被污淩附身的人
[00:00:53.560 --> 00:00:56.840]  當身邊的人見到這個人康復的時候
[00:00:56.840 --> 00:01:00.600]  他們的反應就是很驚訝
[00:01:00.600 --> 00:01:03.920]  然後在上個星期 如果大家記得
[00:01:03.920 --> 00:01:06.320]  我們看了兩個神蹟
[00:01:06.320 --> 00:01:08.560]  在二十一至四十三節裡
[00:01:08.560 --> 00:01:13.480]  耶穌醫治了一個十二年經血不止的女人
[00:01:13.480 --> 00:01:19.200]  同時也使得挨餓的十二歲女兒從死裡復活
[00:01:19.200 --> 00:01:21.640]  當耶穌行了這麼多奇妙的事
[00:01:21.640 --> 00:01:25.440]  身邊的人都覺得很驚訝 很驚奇
[00:01:25.440 --> 00:01:28.160]  耶穌在其他地方行了很多大事
[00:01:28.160 --> 00:01:30.680]  被人擁護著
[00:01:30.680 --> 00:01:34.080]  現在祂要回到祂成長的地方
[00:01:34.080 --> 00:01:37.360]  拿撒勒 祂的鄉下裡
[00:01:37.360 --> 00:01:39.200]  不知道作為讀者的你
[00:01:39.200 --> 00:01:42.560]  你會期待耶穌回到祂的家鄉
[00:01:42.560 --> 00:01:46.080]  會得到什麼禮遇呢?
[00:01:46.080 --> 00:01:48.240]  會不會有人拿著大橫額歡迎祂
[00:01:48.240 --> 00:01:52.440]  耶穌 耶穌 這樣去歡迎祂呢?
[00:01:52.440 --> 00:01:54.920]  我們在看下一節經文之前
[00:01:54.920 --> 00:01:57.840]  我們看回《馬學福音》三章
[00:01:57.840 --> 00:02:00.280]  當時耶穌也是風塵勃勃
[00:02:00.280 --> 00:02:02.640]  在加伯隆這個地方
[00:02:02.640 --> 00:02:05.000]  祂在房子裡很忙
[00:02:05.000 --> 00:02:09.320]  因為很多人在房子裡等祂醫治 等祂趕鬼
[00:02:09.320 --> 00:02:10.840]  耶穌進入房子裡
[00:02:10.840 --> 00:02:12.120]  很多人聚集
[00:02:12.120 --> 00:02:15.240]  祂忙到連飯都沒有時間吃
