
[00:00:00.000 --> 00:00:04.080]  各位電影節目早晨,下星期重返聚會,再和大家空中見面
[00:00:04.080 --> 00:00:07.340]  但是今天是真身來到當中,和大家見面
[00:00:07.340 --> 00:00:11.700]  今天我們繼續看河西亞書的訊息,鼓勵大家
[00:00:11.700 --> 00:00:17.520]  要河西亞的系列,未參與我們網上的河西亞書的運動
[00:00:17.520 --> 00:00:20.080]  你仍然可以繼續參與
[00:00:20.080 --> 00:00:24.740]  我希望這個運動能夠幫到大家,真的去看這本書
[00:00:24.740 --> 00:00:28.780]  明白當中的,了解當中的意義
[00:00:28.780 --> 00:00:33.780]  亦都聽到的時候,更多能夠容易明白當中的訊息
[00:00:33.780 --> 00:00:38.520]  我們今天進入河西亞書系列,就是荒漠金泉
[00:00:38.520 --> 00:00:43.520]  我們看看河西亞書十章,一至四節和十至十三節的經文
[00:00:43.520 --> 00:00:44.760]  請聽我讀出
[00:00:44.760 --> 00:00:49.060]  以色列是茂盛的葡萄樹,結果繁多
[00:00:49.060 --> 00:00:54.640]  果子越多就越爭添祭壇,土地越肥美就越見做美麗的處長
[00:00:54.640 --> 00:00:59.540]  他們深懷異議,現今要定為有罪,耶和華必拆毀他們的祭壇
[00:00:59.540 --> 00:01:01.540]  粉碎他們的處長
[00:01:01.540 --> 00:01:05.860]  現在他們要說,我們沒有王,因為我們不敬耶和華
[00:01:05.860 --> 00:01:08.220]  王又能為我們做什麼呢?
[00:01:08.220 --> 00:01:15.500]  他們講空話,以假誓立約,因此懲罰如苦菜滋生在田間的泥溝中
[00:01:15.500 --> 00:01:21.240]  我必隨己意懲罰他們,他們為雙重的罪所前
[00:01:21.240 --> 00:01:24.040]  萬民必聚集攻擊他們
[00:01:24.040 --> 00:01:27.500]  以法連是純良的母牛毒,喜愛犬穀
[00:01:27.500 --> 00:01:30.940]  我要將鴨套在他肥美的頸項上
[00:01:30.940 --> 00:01:36.620]  我要使以法連被套住,猶大必耕田,雅閣必爬地
[00:01:36.620 --> 00:01:39.720]  你們要為自己栽種公義,收割池外
