
[00:00:00.000 --> 00:00:03.500]  全印堂的大卿之愛主來平安
[00:00:03.500 --> 00:00:05.300]  新年快樂蒙福
[00:00:05.300 --> 00:00:08.460]  很開心今天和大家一起的敬拜神
[00:00:08.460 --> 00:00:10.780]  剛才朱定興選的三首詩歌
[00:00:10.780 --> 00:00:13.020]  都是敬拜大美的歌
[00:00:13.020 --> 00:00:15.900]  這些歌以前我在跨越的時候
[00:00:15.900 --> 00:00:18.500]  聽到的時候已經很震撼了
[00:00:18.500 --> 00:00:20.180]  今天再唱很有共鳴
[00:00:20.180 --> 00:00:22.260]  能夠一起的這樣去敬拜
[00:00:22.260 --> 00:00:26.220]  從年初到歲首各位信實的神
[00:00:26.220 --> 00:00:29.760]  今年我們剛剛開始新年一年
[00:00:29.760 --> 00:00:32.600]  我們會想其實新年無論是農曆新年
[00:00:32.600 --> 00:00:34.300]  或者是新曆新年
[00:00:34.300 --> 00:00:35.340]  其實中國人都很蒙福
[00:00:35.340 --> 00:00:36.860]  有兩次的新年
[00:00:36.860 --> 00:00:38.200]  可以彼此的祝福
[00:00:38.200 --> 00:00:41.100]  說一些好的說話
[00:00:41.100 --> 00:00:48.300]  當我們看到一些
[00:00:48.300 --> 00:00:51.660]  這些是教會的大卿姐妹寫的對聯
[00:00:51.660 --> 00:00:55.380]  在聽到的人或者看到的人都會很開心
[00:00:55.380 --> 00:00:57.300]  新年我們會想很多祝福的說話
[00:00:57.300 --> 00:00:59.380]  和身邊的人說
[00:00:59.380 --> 00:01:01.140]  但是我們平時很少的
[00:01:01.140 --> 00:01:03.420]  覺得中國人比較含蓄
[00:01:03.420 --> 00:01:05.100]  很少說一些稱讚的說話
[00:01:05.100 --> 00:01:06.700]  或者不習慣
[00:01:06.700 --> 00:01:09.260]  聽到的時候雖然心裡很開心
[00:01:09.260 --> 00:01:12.020]  但是口裡覺得很尷尬的
[00:01:12.020 --> 00:01:13.940]  原來在過去兩年多
[00:01:13.940 --> 00:01:16.260]  其實我們要說感恩讚美的話
[00:01:16.260 --> 00:01:18.220]  都是不容易的
[00:01:18.220 --> 00:01:20.420]  因為在困難在疫情裡面
[00:01:20.420 --> 00:01:22.620]  我們見面的機會少了
[00:01:22.620 --> 00:01:24.620]  也都心裡很多的擔憂
[00:01:24.620 --> 00:01:28.020]  很多的難處
[00:01:28.020 --> 00:01:30.300]  今天我們學習的就是在難處裡面
[00:01:30.300 --> 00:01:32.300]  我們仍然可以去讚美
[00:01:32.300 --> 00:01:33.420]  去感謝
[00:01:33.420 --> 00:01:35.180]  當中的對象是誰呢?
[00:01:35.180 --> 00:01:36.380]  就是我們的神
[00:01:36.380 --> 00:01:39.220]  讓我們開始的時候一起去禱告吧
[00:01:39.220 --> 00:01:42.820]  親愛的神我們感謝你
[00:01:42.820 --> 00:01:46.020]  因為你是那位聖父聖子聖靈的神
[00:01:46.020 --> 00:01:46.940]  三一的真神
[00:01:46.940 --> 00:01:50.780]  在我們人生無論在高處低處的時候
[00:01:50.780 --> 00:01:53.260]  你都與我們同在的神
[00:01:53.260 --> 00:01:54.700]  你為創造萬有
[00:01:54.700 --> 00:01:58.260]  也都是托育萬有、管理萬有的神
[00:01:58.260 --> 00:02:00.420]  安顧我們微小的人
[00:02:00.420 --> 00:02:01.300]  今天
[00:02:01.300 --> 00:02:04.540]  我們再一次在一年之初
[00:02:04.540 --> 00:02:06.620]  我們來到敬拜讚美你
[00:02:06.620 --> 00:02:07.820]  我們認定你
[00:02:07.820 --> 00:02:11.180]  是我們一生要侍奉敬拜讚美的神
[00:02:11.180 --> 00:02:13.900]  讓你就今天與我們說話
[00:02:13.900 --> 00:02:16.420]  讓我們能夠更從心裡面感受
[00:02:16.420 --> 00:02:18.580]  你的愛和偉大
[00:02:18.580 --> 00:02:20.060]  我們這樣禱告、交託
[00:02:20.060 --> 00:02:21.780]  奉耶穌基督名求
[00:02:21.780 --> 00:02:23.020]  阿們
[00:02:24.020 --> 00:02:27.020]  我用的版本是和合本的
[00:02:27.020 --> 00:02:31.620]  剛才主席也讀了頭六節的經文
[00:02:31.620 --> 00:02:33.980]  這一首詩很特別的
[00:02:33.980 --> 00:02:35.420]  無論開始第一節
[00:02:35.420 --> 00:02:37.980]  以及最後的第二十節
[00:02:37.980 --> 00:02:38.900]  都不同的一句說話
[00:02:38.900 --> 00:02:42.020]  就是你們要讚美耶和
[00:02:42.020 --> 00:02:43.300]  在希伯來文
[00:02:43.300 --> 00:02:46.940]  原來Hallelujah就是這個意思
[00:02:46.940 --> 00:02:49.980]  這邊分為三部分的
[00:02:49.980 --> 00:02:51.940]  第一節、第七節
[00:02:51.940 --> 00:02:54.060]  以及第十二節的開始
[00:02:54.060 --> 00:02:56.780]  我們看到都是命令的動詞
[00:02:56.780 --> 00:03:00.300]  無論是讚美、歌唱、歌頌、頌讚
[00:03:00.300 --> 00:03:01.940]  讚美都是命令式
[00:03:01.940 --> 00:03:04.060]  這是一定要做的
[00:03:04.060 --> 00:03:07.420]  是每一個屬神的子民都要做的事情
[00:03:07.420 --> 00:03:08.340]  原因是什麼?
[00:03:08.340 --> 00:03:10.260]  因為這件事情是美好的
[00:03:10.260 --> 00:03:11.260]  是俠義的
[00:03:11.260 --> 00:03:13.180]  為美為善
[00:03:13.180 --> 00:03:16.580]  而誰是邀請要讚美的對象
[00:03:16.580 --> 00:03:18.140]  就是這位神是誰呢?
[00:03:18.140 --> 00:03:19.700]  就是我們的神
[00:03:19.700 --> 00:03:21.700]  這個是我們的神
[00:03:21.700 --> 00:03:23.740]  而第三部分要讚美的
[00:03:23.740 --> 00:03:26.380]  就是整個耶路撒冷和石安城
[00:03:26.380 --> 00:03:29.620]  都要讚美耶和
[00:03:29.620 --> 00:03:32.580]  原來讚美本身是一件美好的事
[00:03:32.580 --> 00:03:34.900]  有一位信徒家斯托德
[00:03:34.900 --> 00:03:37.260]  他牧師是這麼說的
[00:03:37.260 --> 00:03:38.260]  在他的書裡面說
[00:03:38.260 --> 00:03:41.460]  他說全福音是屬於我們對鄰舍的義務
[00:03:41.460 --> 00:03:44.980]  而敬拜是我們對神所盡的義務
[00:03:44.980 --> 00:03:47.780]  我們必須將對神的義務
[00:03:47.780 --> 00:03:50.940]  立得高過對鄰舍的義務
