
[00:00:00.000 --> 00:00:02.000]  各位帶領智慧平安
[00:00:02.000 --> 00:00:08.000]  很高興能夠再次有機會在這裡和大家一同去思想上帝的說話
[00:00:08.000 --> 00:00:13.000]  今天的題目大概我們一看就有一個很熟悉的字眼
[00:00:13.000 --> 00:00:15.000]  就是愛
[00:00:15.000 --> 00:00:17.000]  我們在教會常常都講愛
[00:00:17.000 --> 00:00:19.000]  我們是一個愛心的群體
[00:00:19.000 --> 00:00:22.000]  所以這個題目好像很熟悉
[00:00:22.000 --> 00:00:26.000]  我相信今天的經文有一部份我們都是熟悉的
[00:00:26.000 --> 00:00:30.000]  但是今天想嘗試從一個我們在教會裏面
[00:00:30.000 --> 00:00:35.000]  我們在和人的相處上面的角度去思考這段經文
[00:00:35.000 --> 00:00:38.000]  就是除了一些我們很熟悉的場景以外
[00:00:38.000 --> 00:00:41.000]  我想我們明白愛是很重要
[00:00:41.000 --> 00:00:44.000]  因為我們講耶穌去拯救我們
[00:00:44.000 --> 00:00:46.000]  正正是因為祂對人的愛
[00:00:46.000 --> 00:00:48.000]  對我們的愛
[00:00:48.000 --> 00:00:50.000]  想到現實的場景
[00:00:50.000 --> 00:00:52.000]  我們不得不承認
[00:00:52.000 --> 00:00:54.000]  我們都是人
[00:00:54.000 --> 00:00:56.000]  我們有些界線
[00:00:56.000 --> 00:00:58.000]  我們有些限制
[00:00:58.000 --> 00:01:02.000]  甚至如果大家有時喜歡去看一些網上論壇
[00:01:02.000 --> 00:01:06.000]  或者看一些報紙的戀愛信箱
[00:01:06.000 --> 00:01:10.000]  很多時候會說一件事就是指涉離場
[00:01:10.000 --> 00:01:15.000]  我相信在座有投資的弟兄姊妹就會知道這個字的意思
[00:01:15.000 --> 00:01:17.000]  但是就算這樣看文字上的意思
[00:01:17.000 --> 00:01:20.000]  指涉離場都是指
[00:01:20.000 --> 00:01:22.000]  有些事我知道我不可以給太多
[00:01:22.000 --> 00:01:24.000]  我就要離場
[00:01:24.000 --> 00:01:27.000]  不要泥足深陷回不了頭
[00:01:27.000 --> 00:01:30.000]  這是一個比較正經的成語
[00:01:30.000 --> 00:01:33.000]  但是其實也有一個在近年
[00:01:33.000 --> 00:01:35.000]  甚至以我看來
[00:01:35.000 --> 00:01:38.000]  去年應該還是頗流行的用語
[00:01:38.000 --> 00:01:40.000]  這個流行的意思我指的
[00:01:40.000 --> 00:01:42.000]  一有目樣的是學青和職青
[00:01:42.000 --> 00:01:44.000]  我指的是我的年紀
[00:01:44.000 --> 00:01:46.000]  他們流行的用語
[00:01:46.000 --> 00:01:48.000]  讓大家猜一下
[00:01:48.000 --> 00:01:50.000]  有些頭腦的遊戲
[00:01:50.000 --> 00:01:53.000]  這個詞語叫「敢見婚」
[00:01:53.000 --> 00:01:55.000]  有些人猜到是什麼意思嗎?
[00:01:55.000 --> 00:01:57.000]  給一個提示
[00:01:57.000 --> 00:01:59.000]  這是縮寫來的
[00:01:59.000 --> 00:02:05.000]  我聽到有些答案類似的內容
[00:02:05.000 --> 00:02:07.000]  當然時間關係我要揭曉
[00:02:07.000 --> 00:02:09.000]  其實是一句很長的句子
[00:02:09.000 --> 00:02:10.000]  我讀一次
[00:02:10.000 --> 00:02:13.000]  句子就是關於感情的問題
[00:02:13.000 --> 00:02:16.000]  我一律建議分手
[00:02:16.000 --> 00:02:20.000]  當然很長
[00:02:20.000 --> 00:02:22.000]  所以大概
[00:02:22.000 --> 00:02:24.000]  我看到去年也有不少討論
[00:02:24.000 --> 00:02:26.000]  當然不是用類似的字眼
[00:02:26.000 --> 00:02:28.000]  但是我相信類似的意思
[00:02:28.000 --> 00:02:29.000]  我們會很明白
[00:02:29.000 --> 00:02:30.000]  特別為什麼會出現呢?
