
[00:00:00.000 --> 00:00:04.000]  各位屋伯堂大興姐妹
[00:00:04.000 --> 00:00:08.000]  恭賀大家四十六週年
[00:00:08.000 --> 00:00:11.000]  在過去的四十六年裏面
[00:00:11.000 --> 00:00:16.000]  有很多的大興姐妹參與建設這個堂會
[00:00:16.000 --> 00:00:21.000]  我也有幸在其中裏面服侍
[00:00:21.000 --> 00:00:25.000]  我昨晚就忘記了用這個機會去多謝
[00:00:25.000 --> 00:00:31.000]  每一位在七九年到九四年這段時間裏面
[00:00:31.000 --> 00:00:38.000]  和我同工的每一位大興姐妹和牧者同工
[00:00:38.000 --> 00:00:44.000]  沒有了各位的鼓勵、包容
[00:00:44.000 --> 00:00:49.000]  我能夠做的就是非常非常少
[00:00:49.000 --> 00:00:55.000]  同工和大興姐妹的包容和原諒、鼓勵
[00:00:55.000 --> 00:00:59.000]  令我繼續的侍奉下去
[00:00:59.000 --> 00:01:05.000]  今日想和大家思考當首的道
[00:01:05.000 --> 00:01:10.000]  這一段聖經是保羅寫給提摩太的
[00:01:10.000 --> 00:01:13.000]  或是現存最後一封信裏面
[00:01:13.000 --> 00:01:16.000]  差不多最後一段的說話
[00:01:16.000 --> 00:01:20.000]  他說在這段說話裏面
[00:01:20.000 --> 00:01:24.000]  他說他準備死了
[00:01:24.000 --> 00:01:30.000]  他知道上帝要接他離開了
[00:01:30.000 --> 00:01:35.000]  他就說那個美好的仗我已經打過了
[00:01:35.000 --> 00:01:38.000]  當跑的路我已經跑盡了
[00:01:38.000 --> 00:01:42.000]  所持守的信仰我已經守住了
[00:01:42.000 --> 00:01:46.000]  我記得很小的時候
[00:01:46.000 --> 00:01:49.000]  我爸爸和我說起他的信仰
[00:01:49.000 --> 00:01:54.000]  就是提這句說話就是守禮拜
[00:01:54.000 --> 00:01:56.000]  那時候我們很小的時候
[00:01:56.000 --> 00:02:02.000]  不是很喜歡他帶我們去他那邊的教會
[00:02:02.000 --> 00:02:06.000]  他就說我守禮拜了
[00:02:06.000 --> 00:02:11.000]  後來他就不再去守禮拜
[00:02:11.000 --> 00:02:16.000]  那時候我也不懂不懂發生甚麼事
[00:02:16.000 --> 00:02:18.000]  後來我相信他
[00:02:18.000 --> 00:02:21.000]  然後我就參與窩福堂的服侍
[00:02:21.000 --> 00:02:24.000]  我就邀請他來參一聚會
[00:02:24.000 --> 00:02:27.000]  他又來守禮拜
[00:02:27.000 --> 00:02:33.000]  我從旁邊很迂迴的路線裏面知道
[00:02:33.000 --> 00:02:36.000]  原來他不守禮拜的原因就是
[00:02:36.000 --> 00:02:39.000]  教會裏面出現了一些醜聞
[00:02:39.000 --> 00:02:43.000]  就是增產的醜聞
[00:02:43.000 --> 00:02:51.000]  他很失望所以他離開了那個團體
[00:02:51.000 --> 00:02:56.000]  對他來說信仰就是守禮拜
[00:02:56.000 --> 00:03:00.000]  很可能很多的弟兄姐妹都有著這個概念
[00:03:00.000 --> 00:03:05.000]  信仰就是守著一些規矩
[00:03:05.000 --> 00:03:11.000]  保羅說這個信我守著了
[00:03:11.000 --> 00:03:14.000]  有很多其他的日本人也有這個道
[00:03:14.000 --> 00:03:18.000]  當守的道我守著了
[00:03:18.000 --> 00:03:21.000]  保羅守了些甚麼呢
[00:03:21.000 --> 00:03:25.000]  究竟這個信或者這個道的內容是甚麼
[00:03:25.000 --> 00:03:30.000]  就決定了我們怎樣守法
[00:03:30.000 --> 00:03:35.000]  如果我們認為這個道或者這個信仰
[00:03:35.000 --> 00:03:38.000]  就是一個概念
[00:03:38.000 --> 00:03:40.000]  那麼你守著這個道
[00:03:40.000 --> 00:03:42.000]  就是你要清楚這個概念
[00:03:42.000 --> 00:03:47.000]  你記住這個概念
[00:03:47.000 --> 00:03:53.000]  年紀大了看到腦退化的人又多了
[00:03:53.000 --> 00:03:59.000]  現在我有些時候都不記得了一些東西
[00:03:59.000 --> 00:04:03.000]  我盼望主年末不要退得這麼快
[00:04:03.000 --> 00:04:06.000]  不過如果那個日子來到
[00:04:06.000 --> 00:04:08.000]  我的腦真的變了
[00:04:08.000 --> 00:04:10.000]  去到一個地步
[00:04:10.000 --> 00:04:13.000]  我連我身邊的人都不記得
[00:04:13.000 --> 00:04:15.000]  我連我自己是誰都不記得
[00:04:15.000 --> 00:04:18.000]  我能不能夠可以很清楚地說
[00:04:18.000 --> 00:04:20.000]  我信上帝獨一的上帝
[00:04:20.000 --> 00:04:21.000]  創造天地的主
