
[00:00:00.000 --> 00:00:02.600]  今天我們所要講的一個題目是
[00:00:02.600 --> 00:00:05.600]  享樂的人生
[00:00:05.600 --> 00:00:08.600]  其實我後面有一個另外一句話
[00:00:08.600 --> 00:00:13.600]  就是和滿足的人生
[00:00:13.600 --> 00:00:18.600]  我們從第九章第一節到第六節
[00:00:18.600 --> 00:00:21.600]  十一節到第十八節的經文
[00:00:21.600 --> 00:00:24.600]  我們看見所羅門他看見人生當中
[00:00:24.600 --> 00:00:26.600]  有兩個困境對不對
[00:00:26.600 --> 00:00:27.600]  一個是死亡
[00:00:27.600 --> 00:00:30.600]  就是我們沒有一個人能夠脫離死亡
[00:00:30.600 --> 00:00:33.600]  沒有一個人能夠免除死亡
[00:00:33.600 --> 00:00:35.600]  沒有一個人能夠避免
[00:00:35.600 --> 00:00:37.600]  只是什麼時候發生而已
[00:00:37.600 --> 00:00:39.600]  那麼常常有人說死
[00:00:39.600 --> 00:00:41.600]  已經不再是老人的專利了
[00:00:41.600 --> 00:00:44.600]  那麼現在年輕人也會死
[00:00:44.600 --> 00:00:46.600]  年紀很小的也會死
[00:00:46.600 --> 00:00:48.600]  出生的嬰兒也會死
[00:00:48.600 --> 00:00:52.600]  所以死不是老人的專利
[00:00:52.600 --> 00:00:54.600]  我們常常以為說老人
[00:00:54.600 --> 00:00:57.600]  心裡面想反正你就是這副德行
[00:00:57.600 --> 00:00:59.600]  然後你就是走到這一條路了
[00:00:59.600 --> 00:01:00.600]  其實不是的
[00:01:00.600 --> 00:01:02.600]  其實每一個人都是一樣的
[00:01:02.600 --> 00:01:03.600]  那麼第二個困境
[00:01:03.600 --> 00:01:05.600]  就是我們沒有辦法掌握
[00:01:05.600 --> 00:01:10.600]  我們這個變化莫測的人生
[00:01:10.600 --> 00:01:14.600]  我們從他前面所經過的尋求
[00:01:14.600 --> 00:01:15.600]  他的尋求的經歷
[00:01:15.600 --> 00:01:18.600]  比方說他在物質上面
[00:01:18.600 --> 00:01:20.600]  他在知識上面
[00:01:20.600 --> 00:01:21.600]  他在智慧上面
[00:01:21.600 --> 00:01:22.600]  在各方面
[00:01:22.600 --> 00:01:24.600]  那麼他尋求這些事情
[00:01:24.600 --> 00:01:25.600]  看到他的經歷
[00:01:25.600 --> 00:01:29.600]  我們不能講說索羅門是失望透了
[00:01:29.600 --> 00:01:30.600]  我們大概不能這樣子講
[00:01:30.600 --> 00:01:32.600]  但是最起碼
[00:01:32.600 --> 00:01:34.600]  他在這裡讓我們看見
[00:01:34.600 --> 00:01:38.600]  他要人不要寄望於將來
[00:01:38.600 --> 00:01:41.600]  要把握現在
[00:01:41.600 --> 00:01:42.600]  因為索羅門是一個
[00:01:42.600 --> 00:01:45.600]  差不多三千年前以前的以色列人
[00:01:45.600 --> 00:01:48.600]  他的人生觀是有以色列人的色彩
[00:01:48.600 --> 00:01:51.600]  以色列人的文化的色彩
[00:01:51.600 --> 00:01:54.600]  那麼我們從舊約歷史裡面看
[00:01:54.600 --> 00:01:57.600]  雖然以色列人他們心裡面有神
[00:01:57.600 --> 00:02:00.600]  他們是一個有神的一個民族
[00:02:00.600 --> 00:02:03.600]  一個有神觀念的一個民族
[00:02:03.600 --> 00:02:05.600]  但是我們從舊約歷史記載
[00:02:05.600 --> 00:02:07.600]  我們從比方說四十紀路德紀
[00:02:07.600 --> 00:02:11.600]  一直到薩摩爾紀上下
[00:02:11.600 --> 00:02:12.600]  我們可以看得見
[00:02:12.600 --> 00:02:14.600]  以色列人這個民族
[00:02:14.600 --> 00:02:17.600]  他們就是說一般來講
[00:02:17.600 --> 00:02:20.600]  或者是他們的領袖來講
[00:02:20.600 --> 00:02:22.600]  他們心裡面是有神
[00:02:22.600 --> 00:02:24.600]  他們知道有一位神耶和華
[00:02:24.600 --> 00:02:27.600]  但是我們從舊約歷史來看
[00:02:27.600 --> 00:02:29.600]  甚至從列王紀上下
[00:02:29.600 --> 00:02:31.600]  我們看索羅門以後
[00:02:31.600 --> 00:02:33.600]  那麼他們在他們的
[00:02:33.600 --> 00:02:36.600]  在他們整個民族的這個社會上
[00:02:36.600 --> 00:02:39.600]  他們沒有把神放在他該有的地位
[00:02:39.600 --> 00:02:41.600]  就好像十誡
[00:02:41.600 --> 00:02:42.600]  神頒布十誡的時候
[00:02:42.600 --> 00:02:43.600]  前面第四誡
[00:02:43.600 --> 00:02:45.600]  其實就是告訴以色列人
[00:02:45.600 --> 00:02:49.600]  要把神放在他該有的地位上面
[00:02:49.600 --> 00:02:54.600]  他們也沒有教導摩西所傳
[00:02:54.600 --> 00:02:56.600]  所頒布的律法書
[00:02:56.600 --> 00:02:59.600]  自從他們出了埃及之後
[00:02:59.600 --> 00:03:01.600]  自從他們進入迦南地之後
[00:03:01.600 --> 00:03:03.600]  慢慢慢慢地就消失了
[00:03:03.600 --> 00:03:05.600]  我們從舊約歷史上面
[00:03:05.600 --> 00:03:06.600]  我們看見他們很少提到
[00:03:06.600 --> 00:03:08.600]  一直到約西亞王的時候
[00:03:08.600 --> 00:03:13.600]  那麼他的律法師在聖殿裡面
[00:03:13.600 --> 00:03:16.600]  發現了這麼一卷書之後給他看
[00:03:16.600 --> 00:03:18.600]  看了他就大哭
[00:03:18.600 --> 00:03:20.600]  他要求人要悔改
[00:03:20.600 --> 00:03:22.600]  因為他說我們原來不知道
[00:03:22.600 --> 00:03:24.600]  神到底給了我們什麼事情
[00:03:24.600 --> 00:03:25.600]  告訴我們什麼事情
[00:03:25.600 --> 00:03:31.600]  因為沒有人教
[00:03:31.600 --> 00:03:33.600]  所以我們曉得
[00:03:33.600 --> 00:03:35.600]  索羅門當他看見這些事情
[00:03:35.600 --> 00:03:38.600]  當他在追求這些東西的時候
[00:03:38.600 --> 00:03:41.600]  他心裡面雖然有神
[00:03:41.600 --> 00:03:42.600]  他知道有一位神
[00:03:42.600 --> 00:03:44.600]  或許我們不能講說他心裡面
[00:03:44.600 --> 00:03:46.600]  但是他知道有神
[00:03:46.600 --> 00:03:49.600]  但是這位神跟他是沒有關係的
[00:03:49.600 --> 00:03:50.600]  在他的生活當中
[00:03:50.600 --> 00:03:52.600]  不能介入他的生命裡面
[00:03:52.600 --> 00:03:54.600]  不能介入他的生活當中
[00:03:54.600 --> 00:03:56.600]  所以我們從第一章
[00:03:56.600 --> 00:03:59.600]  一直到第九章、第八章
[00:03:59.600 --> 00:04:02.600]  那麼我們就會曉得
[00:04:02.600 --> 00:04:03.600]  他真的是
[00:04:03.600 --> 00:04:06.600]  好像他說在日光之下
[00:04:06.600 --> 00:04:10.600]  那麼到了我們看第七節到第十節裡面
[00:04:10.600 --> 00:04:11.600]  他有兩次提到
[00:04:11.600 --> 00:04:16.600]  他說神悅納或者是說神賜給了
[00:04:16.600 --> 00:04:19.600]  其實就像在前面第九章
[00:04:19.600 --> 00:04:23.600]  或者是前面他所經過的這些事情
[00:04:23.600 --> 00:04:24.600]  他都告訴我們
[00:04:24.600 --> 00:04:26.600]  他說這些事情都是出於神
[00:04:26.600 --> 00:04:29.600]  比方說像在第二章二十四節
[00:04:29.600 --> 00:04:31.600]  所以他承認神是有主權的
[00:04:31.600 --> 00:04:33.600]  他承認神是這一位
[00:04:33.600 --> 00:04:35.600]  創造宇宙萬物的真神
[00:04:35.600 --> 00:04:37.600]  他在所有的事情上都有主權的
[00:04:37.600 --> 00:04:39.600]  然後第二章二十五節
[00:04:39.600 --> 00:04:40.600]  第三章十三節
[00:04:40.600 --> 00:04:41.600]  第五章十九節
[00:04:41.600 --> 00:04:43.600]  六章第二節
[00:04:43.600 --> 00:04:44.600]  第八章十五節
[00:04:44.600 --> 00:04:46.600]  我們過去都討論過了
[00:04:46.600 --> 00:04:51.600]  那麼他都知道神是賜這一切的
[00:04:51.600 --> 00:04:54.600]  但是當他在追求的時候
[00:04:54.600 --> 00:04:56.600]  他所經歷到的
[00:04:56.600 --> 00:04:58.600]  我自己在看傳道書的時候
[00:04:58.600 --> 00:05:02.600]  我就發現他把神放在他的生活以外
[00:05:02.600 --> 00:05:06.600]  跟他沒有什麼關係的
[00:05:06.600 --> 00:05:08.600]  那麼所以在這個地方
[00:05:08.600 --> 00:05:11.600]  我們看不出來他到底是
[00:05:11.600 --> 00:05:13.600]  最後他到底心裡面是怎麼想
[00:05:13.600 --> 00:05:14.600]  不過我覺得我們還是
[00:05:14.600 --> 00:05:16.600]  從第七節到第十節
[00:05:16.600 --> 00:05:18.600]  我們可以稍微看出來
[00:05:18.600 --> 00:05:21.600]  他的一點心態
[00:05:21.600 --> 00:05:22.600]  那麼所羅門在這裡
[00:05:22.600 --> 00:05:26.600]  勾畫了一個享樂的人生
[00:05:26.600 --> 00:05:29.600]  而且是一個很
[00:05:29.600 --> 00:05:31.600]  我們講說很理想的
[00:05:31.600 --> 00:05:34.600]  一個享樂的人生
[00:05:34.600 --> 00:05:36.600]  那麼在第七節那邊
[00:05:36.600 --> 00:05:38.600]  他說你只管去歡歡喜喜吃你的飯
[00:05:38.600 --> 00:05:41.600]  心中快樂喝你的酒
[00:05:41.600 --> 00:05:43.600]  因為神已經約納你的作為
[00:05:43.600 --> 00:05:46.600]  在這裡這個作為其實不是他的工作
[00:05:46.600 --> 00:05:50.600]  乃是說他吃喝這一件事情
[00:05:50.600 --> 00:05:51.600]  接下去他又說
[00:05:51.600 --> 00:05:52.600]  你食堂潔白
[00:05:52.600 --> 00:05:54.600]  你的衣服食堂潔白
[00:05:54.600 --> 00:05:56.600]  你頭上也不要缺少膏油
[00:05:56.600 --> 00:05:57.600]  這個是讓我們看見
[00:05:57.600 --> 00:06:00.600]  真的是他在道德上面
[00:06:00.600 --> 00:06:03.600]  或者是說在他的信仰上面
[00:06:03.600 --> 00:06:06.600]  因為你知道他們穿白衣服
[00:06:06.600 --> 00:06:07.600]  就表示他們聖潔
[00:06:07.600 --> 00:06:09.600]  所以當他們敬拜神的時候
[00:06:09.600 --> 00:06:12.600]  然後他頭上也要塗膏油
[00:06:12.600 --> 00:06:13.600]  這就是講到說
