
[00:00:00.000 --> 00:00:02.580]  聖經裡面講到神的屬性的時候
[00:00:02.580 --> 00:00:05.580]  是以神的公義作為最重要的
[00:00:05.580 --> 00:00:08.580]  今天我們就會看《生命記》裡面
[00:00:08.580 --> 00:00:11.400]  講到法官的重要性
[00:00:11.400 --> 00:00:13.640]  很多人認為一個國家
[00:00:13.640 --> 00:00:16.640]  它的強性用什麼來衡量呢?
[00:00:16.640 --> 00:00:20.940]  究竟國民的平均收入是多少
[00:00:20.940 --> 00:00:24.240]  或者它的軍備強不強
[00:00:24.240 --> 00:00:26.740]  所以無怪有些國家
[00:00:26.740 --> 00:00:29.880]  當他們在所謂國慶的時候
[00:00:29.880 --> 00:00:31.880]  就會閱兵
[00:00:31.880 --> 00:00:34.180]  將一些武器展示
[00:00:34.180 --> 00:00:36.880]  就表示自己國力的強勁
[00:00:36.880 --> 00:00:38.880]  但是其實我自己很深體會到
[00:00:38.880 --> 00:00:43.380]  一個國家它怎麼可以成為一個真正的強國呢?
[00:00:43.380 --> 00:00:46.380]  就是國民的質素很重要
[00:00:46.380 --> 00:00:48.880]  古人有說
[00:00:48.880 --> 00:00:51.880]  國之四維是很重要的
[00:00:51.880 --> 00:00:53.880]  不是三維
[00:00:53.880 --> 00:00:55.880]  法治之重是什麼呢?
[00:00:55.880 --> 00:00:57.380]  國有四維
[00:00:57.380 --> 00:00:59.380]  一維絕則興
[00:00:59.380 --> 00:01:01.880]  二維絕則危
[00:01:01.880 --> 00:01:03.880]  三維絕則福
[00:01:03.880 --> 00:01:05.880]  四維絕則滅
[00:01:05.880 --> 00:01:08.380]  他說如果興可正也
[00:01:08.380 --> 00:01:10.380]  危可安也
[00:01:10.380 --> 00:01:12.380]  福可喜也
[00:01:12.380 --> 00:01:14.380]  滅不可復挫也
[00:01:14.380 --> 00:01:16.880]  不知道大家明不明白說什麼呢?
[00:01:16.880 --> 00:01:19.880]  這叫國之四維
[00:01:19.880 --> 00:01:21.880]  我想大家都很熟悉的
[00:01:21.880 --> 00:01:25.880]  就是禮義廉恥
[00:01:25.880 --> 00:01:29.380]  現在香港有一個政黨
[00:01:29.380 --> 00:01:31.380]  這個政黨很大的
[00:01:31.380 --> 00:01:34.380]  都被人稱為禮義廉
[00:01:34.380 --> 00:01:36.880]  我想大家都知道是哪個政黨了
[00:01:36.880 --> 00:01:39.880]  好了 四維究竟是什麼意思呢?
[00:01:39.880 --> 00:01:41.880]  我們看看這一段的古文
