
[00:00:00.000 --> 00:00:02.800]  我們一起去領受神話語之前
[00:00:02.800 --> 00:00:06.900]  我們再一次帶著感恩、敬畏、受教的心
[00:00:06.900 --> 00:00:10.200]  去讓我們預備好去領受神話語
[00:00:10.200 --> 00:00:11.700]  我們一起禱告
[00:00:11.700 --> 00:00:16.200]  天主上我們再一次感謝祢
[00:00:16.200 --> 00:00:19.700]  雖然我們沒有察覺
[00:00:19.700 --> 00:00:23.200]  但神祢實在是時刻保護我們
[00:00:23.200 --> 00:00:26.200]  不單單是我們肉身的生命
[00:00:26.200 --> 00:00:29.200]  更重要是我們屬靈的生命
[00:00:30.200 --> 00:00:35.700]  不要讓世界的錯誤、扭曲的思想
[00:00:35.700 --> 00:00:38.700]  去擾亂、混亂我們
[00:00:38.700 --> 00:00:41.700]  以致我們有迷失
[00:00:41.700 --> 00:00:45.700]  主求祢保護我們每一個人、每一個家庭
[00:00:45.700 --> 00:00:48.700]  我們在工作、職場裏面
[00:00:48.700 --> 00:00:51.700]  甚至我們在教會、在侍奉裏面
[00:00:51.700 --> 00:00:54.700]  我們很容易都用了自己的經驗
[00:00:54.700 --> 00:01:01.700]  用了世界的思想、思想的方法、做事的方法
[00:01:01.700 --> 00:01:05.700]  以致我們不是真的對準祢
[00:01:05.700 --> 00:01:07.700]  不是真的跟從祢
[00:01:07.700 --> 00:01:09.700]  不是真的體貼祢的心意
[00:01:09.700 --> 00:01:11.700]  求祢引導我們
[00:01:11.700 --> 00:01:15.700]  叫我們知道有什麼障礙我們去認識祢
[00:01:15.700 --> 00:01:18.700]  有什麼障礙我們和祢的關係
[00:01:18.700 --> 00:01:27.700]  叫我們懂得分辨和選擇怎樣有智慧去立志跟從祢的話語
[00:01:27.700 --> 00:01:32.700]  將祢的話語成為我們腳前的燈、路上的光
[00:01:32.700 --> 00:01:34.700]  我們雖然經常讀
[00:01:34.700 --> 00:01:37.700]  但很多時候可能都掌握不到很清晰
[00:01:37.700 --> 00:01:42.700]  都是用我們自己的想法、經驗來做決定
[00:01:42.700 --> 00:01:44.700]  求祢幫我們
[00:01:44.700 --> 00:01:46.700]  聽我們祈禱奉耶穌基督的聖名
[00:01:48.700 --> 00:01:50.700]  讀經之前想講一講
[00:01:50.700 --> 00:01:53.700]  有一份雜誌叫「今日基督教」
[00:01:53.700 --> 00:01:58.700]  在美國叫Christianity Today
[00:01:58.700 --> 00:02:00.700]  都很出名
[00:02:00.700 --> 00:02:03.700]  因為過去這幾百年
[00:02:03.700 --> 00:02:10.700]  教會在西方、在歐洲有很多影響
[00:02:10.700 --> 00:02:14.700]  我們說基督教的發展
[00:02:14.700 --> 00:02:17.700]  過去五百年由馬丁路德改教
[00:02:17.700 --> 00:02:22.700]  以前大公教會不太讓人看聖經
[00:02:22.700 --> 00:02:24.700]  以前亦沒有印刷術
[00:02:24.700 --> 00:02:27.700]  所以現在說查經都很辛苦
[00:02:27.700 --> 00:02:29.700]  以前查經是不用預備的
[00:02:29.700 --> 00:02:31.700]  因為沒有聖經在手
[00:02:31.700 --> 00:02:33.700]  亦沒有紙寫筆記
[00:02:33.700 --> 00:02:35.700]  亦沒有什麼筆
[00:02:35.700 --> 00:02:37.700]  所以以前在教會有人讀
[00:02:37.700 --> 00:02:40.700]  回到會堂或教堂有人讀
[00:02:40.700 --> 00:02:41.700]  你就聽
[00:02:41.700 --> 00:02:45.700]  更慘的是以前大公教會讀拉丁文聖經
[00:02:45.700 --> 00:02:47.700]  你不懂拉丁文
[00:02:47.700 --> 00:02:49.700]  你只能聽和看
[00:02:49.700 --> 00:02:51.700]  所以我以前聽人說
[00:02:51.700 --> 00:02:54.700]  彌撒只是看彌撒
[00:02:54.700 --> 00:02:57.700]  你不明白他唱什麼和讀什麼
[00:02:57.700 --> 00:02:59.700]  只能看著
[00:02:59.700 --> 00:03:01.700]  後來有些人知道
[00:03:01.700 --> 00:03:03.700]  神的話語是給所有人讀
[00:03:03.700 --> 00:03:05.700]  所以就翻譯聖經
[00:03:05.700 --> 00:03:07.700]  今日我們可以有聖經在手
[00:03:07.700 --> 00:03:09.700]  是不容易的
[00:03:09.700 --> 00:03:11.700]  上星期我們去退休
[00:03:11.700 --> 00:03:13.700]  主題是愛慕神的話
[00:03:13.700 --> 00:03:15.700]  在很好的地方
[00:03:15.700 --> 00:03:17.700]  我們一齊有安靜
[00:03:17.700 --> 00:03:19.700]  默想神的話語
[00:03:19.700 --> 00:03:21.700]  但有神的話語
[00:03:21.700 --> 00:03:25.700]  我們是否就讀得到
[00:03:25.700 --> 00:03:29.700]  明白神和和上帝沒有阻隔呢?
[00:03:29.700 --> 00:03:31.700]  原來不是
[00:03:31.700 --> 00:03:33.700]  剛才說的那個雜誌
