
[00:00:00.000 --> 00:00:02.620]  今天真是一個歡喜快樂的日子
[00:00:02.620 --> 00:00:06.540]  我們不如說一下喜樂的奧秘這個話題
[00:00:06.540 --> 00:00:10.360]  因為大家剛才都聽到雪兒的見證
[00:00:10.360 --> 00:00:11.880]  她說提到喜樂
[00:00:11.880 --> 00:00:14.640]  究竟喜樂有什麼奧秘呢?
[00:00:14.640 --> 00:00:16.880]  聖經怎樣說關於喜樂
[00:00:16.880 --> 00:00:18.840]  有沒有人不想要有喜樂的?
[00:00:18.840 --> 00:00:21.440]  不會吧,每個人都想有喜樂的生活
[00:00:21.440 --> 00:00:24.140]  其實聖經剛才大家所讀的經文當中
[00:00:24.140 --> 00:00:25.640]  都提到喜樂的奧秘
[00:00:25.640 --> 00:00:28.040]  就算在十六章的時候都有提到
[00:00:28.040 --> 00:00:31.280]  我們可以看看
[00:00:31.280 --> 00:00:38.460]  最近有個財經的組織說一下怎樣投資
[00:00:38.460 --> 00:00:44.720]  它當中就提到做一個喜樂生活的調查
[00:00:44.720 --> 00:00:48.180]  是關於提到全美國這麼多個州裡面
[00:00:48.180 --> 00:00:52.560]  究竟哪個州裡面的人生活得是最開心的呢?
[00:00:52.560 --> 00:00:57.920]  它有個調查結果就分了三類的統計項目
[00:00:57.920 --> 00:01:02.320]  就說關於人的靈性生命上的身靈的健康
[00:01:02.320 --> 00:01:03.620]  就是第一個系列
[00:01:03.620 --> 00:01:06.960]  總分數是50%
[00:01:06.960 --> 00:01:09.440]  工作環境是25%
[00:01:09.440 --> 00:01:13.600]  社區的環境又是25%
[00:01:13.600 --> 00:01:15.720]  我們明州是排第三的
[00:01:15.720 --> 00:01:16.420]  都不差吧
[00:01:16.420 --> 00:01:17.440]  我在馬尼蘭過來
[00:01:17.440 --> 00:01:21.360]  原來第二過來都很開心的
[00:01:21.360 --> 00:01:23.280]  雖然馬尼蘭都很好
[00:01:23.280 --> 00:01:28.000]  但當中有些夏威夷的朋友、大兄姊妹在夏威夷住過
[00:01:28.000 --> 00:01:31.320]  夏威夷是被編為最新的心靈健康的
[00:01:31.320 --> 00:01:33.160]  50%在排第一的那裡
[00:01:33.160 --> 00:01:35.800]  總分比重是比較高的
[00:01:35.800 --> 00:01:38.380]  結果夏威夷跑出
[00:01:38.380 --> 00:01:43.920]  比賽的時候跑步贏了
[00:01:43.920 --> 00:01:48.840]  究竟這些生活開心
[00:01:48.840 --> 00:01:51.240]  這是一種比較
[00:01:51.240 --> 00:01:54.080]  是一種相對性的
[00:01:54.080 --> 00:01:59.880]  當中如果大家細心看調查的內容
[00:01:59.880 --> 00:02:05.380]  原來我們看看美國政府CDC的調查
[00:02:05.380 --> 00:02:08.280]  因為他用CDC的數據
[00:02:08.280 --> 00:02:10.520]  在第一項心靈健康當中
[00:02:10.520 --> 00:02:13.440]  其中一個50%佔了幾分的
[00:02:13.440 --> 00:02:16.960]  大約十分之一
[00:02:16.960 --> 00:02:23.280]  他就看看當中的人的抑鬱情況
[00:02:23.280 --> 00:02:27.560]  原來他就排全美國有多少人患了抑鬱症
[00:02:27.560 --> 00:02:30.440]  其實當中我們有種種的原因有抑鬱症
[00:02:30.440 --> 00:02:33.720]  有工作、家庭、生活的情況
[00:02:33.720 --> 00:02:35.000]  各種的壓力
[00:02:35.000 --> 00:02:36.400]  有抑鬱症的漸進
[00:02:36.400 --> 00:02:40.120]  其實明州100個人裡面
[00:02:40.120 --> 00:02:43.240]  多於19個人有抑鬱症
[00:02:43.240 --> 00:02:44.360]  我們當中有多少人
[00:02:44.360 --> 00:02:47.000]  可能100個吧,這裡100個比較多
[00:02:47.000 --> 00:02:48.760]  其實當中可能有十幾個
[00:02:48.760 --> 00:02:49.960]  本來有抑鬱症
[00:02:49.960 --> 00:02:54.240]  有經歷過抑鬱症的情況
[00:02:54.240 --> 00:02:57.360]  究竟聖經裡面怎樣提醒我們
[00:02:57.360 --> 00:03:03.040]  怎樣可以走出這個困難當中
[00:03:03.040 --> 00:03:05.800]  這個陷阱、這個漩渦裡面
[00:03:05.800 --> 00:03:08.360]  怎樣走出來
[00:03:08.360 --> 00:03:09.560]  聖經有提醒我們
[00:03:09.560 --> 00:03:11.640]  是教導我們怎樣去處理
[00:03:11.640 --> 00:03:13.640]  我們今天的問題就會是提到
[00:03:13.640 --> 00:03:17.360]  我們怎樣可以才有一個喜樂、滿足的生活
[00:03:17.360 --> 00:03:19.160]  我們一起低頭祈禱
[00:03:19.160 --> 00:03:20.800]  愛你的天父上帝,我們感謝你
[00:03:20.800 --> 00:03:24.160]  感謝你賜下聖經你寶貴的話語
[00:03:24.160 --> 00:03:25.160]  藉著你的話語
[00:03:25.160 --> 00:03:27.120]  藉著耶穌教導我們的
[00:03:27.120 --> 00:03:29.000]  求你繼續去鼓勵我們
[00:03:29.000 --> 00:03:31.520]  求聖靈幫助我們去明白
[00:03:31.520 --> 00:03:34.640]  你一會兒所傳廣的訊息
[00:03:34.640 --> 00:03:35.600]  求你幫助我們
[00:03:35.600 --> 00:03:38.800]  使我們有一個喜樂、滿足的生活
[00:03:38.800 --> 00:03:43.000]  我感謝你給我們有讀經的時間
[00:03:43.000 --> 00:03:44.360]  我們以上的禱告是奉主耶穌
[00:03:44.360 --> 00:03:45.560]  德性的勉持祈求
[00:03:45.560 --> 00:03:47.720]  阿們
[00:03:47.720 --> 00:03:50.600]  我們看到剛才大家讀的經文當中
[00:03:50.600 --> 00:03:53.160]  在十一節那裡提到說
[00:03:53.160 --> 00:03:56.080]  這些事我已經對你們說過了
[00:03:56.080 --> 00:03:59.560]  叫你們在喜樂傳在心裡面
[00:03:59.560 --> 00:04:00.800]  不單止是這樣
[00:04:00.800 --> 00:04:02.240]  這些喜樂
[00:04:02.240 --> 00:04:04.040]  有沒有人…每個人都想要
[00:04:04.040 --> 00:04:05.040]  想有喜樂
[00:04:05.040 --> 00:04:07.120]  不單止在你的心裡面
[00:04:07.120 --> 00:04:10.760]  以及在裡面滿足你心靈上
