
[00:00:00.000 --> 00:00:09.000]  我們說生命每一個人都有一個神蹟的機會
[00:00:09.000 --> 00:00:14.000]  但是環顧四周或者看自己在內
[00:00:14.000 --> 00:00:21.000]  我們發覺我們大多數人落在一種沒有果子
[00:00:21.000 --> 00:00:26.000]  只有勞碌終日憂憂愁愁
[00:00:26.000 --> 00:00:33.000]  和所謂有神蹟的生命相差太遠了
[00:00:33.000 --> 00:00:40.000]  我們上次說到一個人
[00:00:40.000 --> 00:00:43.000]  一個都市的老油條
[00:00:43.000 --> 00:00:47.000]  他的七種致命的症候
[00:00:47.000 --> 00:00:51.000]  我們說到這七種症候
[00:00:51.000 --> 00:00:56.000]  是今天都市的人最常有的
[00:00:56.000 --> 00:01:02.000]  我們說到我們常常被憂愁佔據
[00:01:02.000 --> 00:01:05.000]  我們人生沒有目標
[00:01:05.000 --> 00:01:09.000]  我們特別喜歡找反面的消息
[00:01:09.000 --> 00:01:13.000]  我們好像覺得正面的消息是不正常的
[00:01:13.000 --> 00:01:20.000]  還有兩天中學會考就放榜了
[00:01:20.000 --> 00:01:24.000]  我相信我們禮拜堂的頂姐妹裡面
[00:01:24.000 --> 00:01:29.000]  有不少的年青人都在等這兩天
[00:01:29.000 --> 00:01:33.000]  我相信我們都估計在這兩天
[00:01:33.000 --> 00:01:41.000]  我們最流行的節目就是四處打探那些不好的消息
[00:01:41.000 --> 00:01:44.000]  好消息是沒有市場的
[00:01:44.000 --> 00:01:51.000]  不好的消息我們很喜歡去聽又喜歡去傳講
[00:01:51.000 --> 00:01:56.000]  憂愁成了我們一個生活的習慣
[00:01:56.000 --> 00:02:02.000]  然後焦慮我們用佛洛伊德的攻擊性的焦慮
[00:02:02.000 --> 00:02:09.000]  來解釋中南海為什麼六四有這樣的反應
[00:02:09.000 --> 00:02:16.000]  其實這個是很多都市人之所以變得暴戾的原因
[00:02:16.000 --> 00:02:24.000]  是因為他的存在慾權力慾和利益是感覺到被人侵犯
