
[00:00:00.000 --> 00:00:01.400]  各位聽者會平安
[00:00:01.400 --> 00:00:03.600]  我們又開始新的一個系列
[00:00:03.600 --> 00:00:07.280]  用七天來讀完《使徒行傳》
[00:00:07.280 --> 00:00:09.800]  一本很重要的書
[00:00:09.800 --> 00:00:11.400]  在四福音之後
[00:00:11.400 --> 00:00:15.000]  就開始講到初期教會的發展
[00:00:15.000 --> 00:00:18.680]  這本書被稱為《Acts of the Apostles》
[00:00:18.680 --> 00:00:21.720]  就是使徒他們的行蹤
[00:00:21.720 --> 00:00:23.680]  他們所行的事
[00:00:23.680 --> 00:00:27.840]  前段就以彼得作為中心人物
[00:00:27.840 --> 00:00:31.840]  後段就以保羅作為中心人物
[00:00:31.840 --> 00:00:36.320]  但這本書往往被稱為《聖靈的行傳》
[00:00:36.320 --> 00:00:39.920]  因為背後很主要在這裡工作的
[00:00:39.920 --> 00:00:43.360]  就是我們所信三位一體的神
[00:00:43.360 --> 00:00:45.280]  那位的聖靈
[00:00:45.280 --> 00:00:47.960]  祂充滿誓使道
[00:00:47.960 --> 00:00:50.360]  祂充滿初期教會
[00:00:50.360 --> 00:00:52.960]  祂叫很多新信主的人
[00:00:52.960 --> 00:00:55.400]  領受聖靈的充滿
[00:00:55.400 --> 00:00:57.880]  然後他們就大有能力
[00:00:57.880 --> 00:00:59.440]  雖然面對逼迫
[00:00:59.440 --> 00:01:03.720]  他們仍然四處去為主傳福音
[00:01:03.720 --> 00:01:06.560]  今天我們先來看第一部的段落
[00:01:06.560 --> 00:01:09.840]  就是由第一章到第四章
[00:01:09.840 --> 00:01:13.800]  我叫它做《聖靈降臨》
[00:01:13.800 --> 00:01:17.200]  然後彼得站起來
[00:01:17.200 --> 00:01:19.360]  放膽宣導
[00:01:19.360 --> 00:01:22.640]  結果有三千人受浸
[00:01:22.640 --> 00:01:24.280]  加入教會
[00:01:24.280 --> 00:01:29.040]  一次講到就有三千人歸主
[00:01:29.040 --> 00:01:30.800]  後來聖經又記載
[00:01:30.800 --> 00:01:34.080]  使徒又講到有四千人歸主
[00:01:34.080 --> 00:01:37.120]  信主的人數是這麼多的
[00:01:37.120 --> 00:01:41.800]  而《使徒行傳》只有二十八章
[00:01:41.800 --> 00:01:45.840]  我很喜歡《使徒行傳》結束的部分
[00:01:45.840 --> 00:01:47.280]  講到保羅
[00:01:47.280 --> 00:01:50.240]  他被監禁在監牢裡面
[00:01:50.240 --> 00:01:52.720]  但是他喜歡見什麼人?
[00:01:52.720 --> 00:01:56.120]  是沒有人可以禁止的
[00:01:56.120 --> 00:02:00.600]  所以《使徒行傳》還沒完
[00:02:00.600 --> 00:02:04.000]  到底《使徒行傳》的下集在哪裡呢?
[00:02:04.000 --> 00:02:09.240]  就是指今天我們這些在地上的教會
[00:02:09.240 --> 00:02:12.040]  我們仍然是聖靈行傳
[00:02:12.040 --> 00:02:13.800]  使徒行傳
[00:02:13.800 --> 00:02:16.760]  我們要捐贈我們的主
[00:02:16.760 --> 00:02:19.000]  將祂的福音廣傳
[00:02:19.000 --> 00:02:22.520]  所以教會必定要發展
[00:02:22.520 --> 00:02:24.880]  教會必定要廣傳福音
[00:02:24.880 --> 00:02:26.320]  造就信徒
[00:02:26.320 --> 00:02:27.520]  建立信徒
[00:02:27.520 --> 00:02:30.000]  然後成為強而有力
[00:02:30.000 --> 00:02:33.920]  為主作美好見證的教會
[00:02:33.920 --> 00:02:35.760]  所以求神祝福我們
[00:02:35.760 --> 00:02:38.200]  當我們去讀《使徒行傳》的時候
[00:02:38.200 --> 00:02:40.960]  讓我們大大得著激勵
[00:02:40.960 --> 00:02:44.280]  然後我們同樣被聖靈充滿
[00:02:44.280 --> 00:02:47.040]  去為主作見證
[00:02:47.040 --> 00:02:49.800]  在《使徒行傳》第一章第八節
[00:02:49.800 --> 00:02:52.680]  有一節很重要的金句
[00:02:52.680 --> 00:02:56.640]  也可以說是整卷《使徒行傳》的
[00:02:56.640 --> 00:02:59.640]  一個指導經文
[00:02:59.640 --> 00:03:04.440]  「但聖靈降臨在你們的身上
[00:03:04.440 --> 00:03:07.520]  你們就必得著能力
[00:03:07.520 --> 00:03:10.400]  並要在耶路撒冷
[00:03:10.400 --> 00:03:12.440]  猶太傳地
[00:03:12.440 --> 00:03:14.800]  然後去到撒瑪利亞
[00:03:14.800 --> 00:03:20.720]  直到地極作我的見證」
[00:03:20.720 --> 00:03:23.360]  聖靈降臨之後
[00:03:23.360 --> 00:03:26.120]  我們就被聖靈充滿
