
[00:00:00.000 --> 00:00:06.000]  2019年這一年我負責的訊息
[00:00:06.000 --> 00:00:10.000]  邱牧師叫我選一卷書
[00:00:10.000 --> 00:00:14.000]  我就選了啟示錄
[00:00:14.000 --> 00:00:18.000]  在今天啟示錄第一講的時候
[00:00:18.000 --> 00:00:22.000]  我覺得好像主給我們恩典
[00:00:22.000 --> 00:00:26.000]  已經有一個氣氛
[00:00:26.000 --> 00:00:30.000]  是在敬拜的氣氛裡面
[00:00:30.000 --> 00:00:34.000]  去到敬拜思考主給我們的訊息
[00:00:34.000 --> 00:00:37.000]  當然啟示錄大家的印象
[00:00:37.000 --> 00:00:41.000]  可能很多是很複雜
[00:00:41.000 --> 00:00:44.000]  很艱難、很傲備
[00:00:44.000 --> 00:00:48.000]  但也許其中我們可以最大的
[00:00:48.000 --> 00:00:50.000]  感動、震撼的
[00:00:50.000 --> 00:00:54.000]  就是啟示錄裡面所提到的敬拜
[00:00:54.000 --> 00:00:58.000]  希望我們在今年的訊息裡面
[00:00:58.000 --> 00:01:02.000]  我們不但對啟示錄這卷書
[00:01:02.000 --> 00:01:06.000]  有新的體會、有新的認識
[00:01:06.000 --> 00:01:09.000]  也在侍奉敬拜的生活
[00:01:09.000 --> 00:01:13.000]  能夠一切的有長進
[00:01:13.000 --> 00:01:16.000]  我不知道剛才大家參與敬拜
[00:01:16.000 --> 00:01:18.000]  你的心情是怎樣
[00:01:18.000 --> 00:01:21.000]  我覺得是非常之感動
[00:01:21.000 --> 00:01:25.000]  其中有幾樣的感動都不妨跟大家分享
[00:01:25.000 --> 00:01:30.000]  主在教會裡面賜下很多的恩典
[00:01:30.000 --> 00:01:35.000]  有些恩賜是在新一代的人身上
[00:01:35.000 --> 00:01:41.000]  甚至他們的恩賜比我們父、姪輩更加豐厚
[00:01:41.000 --> 00:01:43.000]  不知道你覺不覺察到
[00:01:43.000 --> 00:01:45.000]  或者你是不是這樣看法
[00:01:45.000 --> 00:01:48.000]  我其中一樣很深的感受就是
[00:01:48.000 --> 00:01:51.000]  越多越年輕的人
[00:01:51.000 --> 00:01:54.000]  他們那種智慧、那種能力
[00:01:54.000 --> 00:01:58.000]  是比我們更加的優勝
[00:01:58.000 --> 00:02:01.000]  但同時間我也有一個的憂心
[00:02:01.000 --> 00:02:04.000]  就是他們那種和主之間的關係
[00:02:04.000 --> 00:02:07.000]  對信仰的執著、對生活的檢點
[00:02:07.000 --> 00:02:12.000]  卻又還是有時候有一段的差距
[00:02:12.000 --> 00:02:14.000]  所以在這個時候
[00:02:14.000 --> 00:02:19.000]  我也很想我們慰藉我們新一代的人來祈禱
[00:02:19.000 --> 00:02:22.000]  是真的將他們再一次獻情在主的面前
[00:02:22.000 --> 00:02:26.000]  求主使他們的恩賜和他們的生命
[00:02:26.000 --> 00:02:29.000]  是美好的結合起來
[00:02:29.000 --> 00:02:31.000]  成為上帝在這個世代
[00:02:31.000 --> 00:02:34.000]  一個更加尖銳的
