
[00:00:00.000 --> 00:00:02.000]  今天面對一個題目
[00:00:02.000 --> 00:00:03.420]  就好像跑馬拉松一樣
[00:00:03.420 --> 00:00:04.320]  或者你人生裏面
[00:00:04.320 --> 00:00:06.320]  一個甚難的選擇
[00:00:06.320 --> 00:00:09.160]  人生有很多的選擇
[00:00:09.160 --> 00:00:12.740]  人生裏面好像有很多的選擇
[00:00:12.740 --> 00:00:14.740]  去構成站到今天
[00:00:14.740 --> 00:00:16.540]  由你開始想想
[00:00:16.540 --> 00:00:17.920]  你懂得選擇的時候
[00:00:17.920 --> 00:00:19.920]  你發覺你今天坐在這裏
[00:00:19.920 --> 00:00:22.620]  是不是由你開始選擇的呢
[00:00:22.620 --> 00:00:24.620]  包括你今天來不來 是不是
[00:00:24.620 --> 00:00:25.900]  你都可以選擇
[00:00:25.900 --> 00:00:27.700]  所以我們一連串的選擇
[00:00:27.700 --> 00:00:29.340]  帶領我們今天
[00:00:29.340 --> 00:00:30.340]  不過我想這樣說
[00:00:30.340 --> 00:00:33.000]  選擇是可以分兩類
[00:00:33.000 --> 00:00:34.800]  第一類
[00:00:34.800 --> 00:00:36.720]  你是NO SAY
[00:00:36.720 --> 00:00:37.960]  你沒得說的
[00:00:37.960 --> 00:00:39.100]  你沒得選的
[00:00:39.100 --> 00:00:41.100]  這個是沒得選擇的選擇
[00:00:41.100 --> 00:00:43.000]  譬如是甚麼呢
[00:00:43.000 --> 00:00:45.100]  你何時出生呢
[00:00:45.100 --> 00:00:46.020]  是不是
[00:00:46.020 --> 00:00:47.620]  還有你何時呀
[00:00:47.620 --> 00:00:49.620]  何時見天父
[00:00:49.620 --> 00:00:50.860]  沒得選擇
[00:00:50.860 --> 00:00:52.860]  但你又要選擇
[00:00:52.860 --> 00:00:54.860]  第二
[00:00:54.860 --> 00:00:56.700]  不過這個就快可以選擇了
[00:00:56.700 --> 00:00:58.700]  你的性別
[00:00:59.360 --> 00:01:00.940]  在很久以前沒得選擇的
[00:01:00.940 --> 00:01:01.940]  但現在可以選擇
[00:01:01.940 --> 00:01:03.540]  不過基本上都是沒得選擇的
[00:01:03.540 --> 00:01:05.540]  在基督信仰裏面應該是沒得選擇的
[00:01:05.540 --> 00:01:06.640]  所以告訴別人
[00:01:06.640 --> 00:01:08.640]  在基督裏面你是男是女是男的
[00:01:08.640 --> 00:01:09.820]  沒得選擇的
