
[00:00:00.000 --> 00:00:03.000]  我們講到以前,我們先禱告。
[00:00:03.000 --> 00:00:06.000]  現在主我們感謝祢給我們今天一起來聚會,
[00:00:06.000 --> 00:00:08.000]  讓祢的靈與我們同在,
[00:00:08.000 --> 00:00:12.000]  讓我們口裡所講的,心裡所想的在祢面前蒙約拉,
[00:00:12.000 --> 00:00:16.000]  禱告,靠主耶穌基督德性的名字來祈求,Amen。
[00:00:16.000 --> 00:00:20.000]  現在我講的道路、真理、聖命,
[00:00:20.000 --> 00:00:23.000]  如果在這個召會的節期來講,
[00:00:23.000 --> 00:00:28.000]  就是耶穌復活了以後,跟那個門徒一起來聚集,
[00:00:28.000 --> 00:00:31.000]  跟五百個門徒一起來相聚,
[00:00:31.000 --> 00:00:34.000]  跟他們講解舊約的聖經的事情,
[00:00:34.000 --> 00:00:39.000]  預告彌賽亞在舊約當中一切的事情,
[00:00:39.000 --> 00:00:43.000]  然後多少天耶穌離開?四十天。
[00:00:43.000 --> 00:00:46.000]  所以這個召會的年曆就是我們上個禮拜四,
[00:00:46.000 --> 00:00:50.000]  就是耶穌升天那一天,耶穌升天獄。
[00:00:50.000 --> 00:00:54.000]  所以這段時間很多的經文都講到耶穌要離開了,
[00:00:54.000 --> 00:01:00.000]  究竟耶穌離開對於門徒來講是好事還是壞事?
[00:01:00.000 --> 00:01:05.000]  利和弊這個問題現在在香港都經常問,
[00:01:05.000 --> 00:01:09.000]  利和弊是很敏感的題目,對不對?
[00:01:09.000 --> 00:01:16.000]  耶穌升天對於門徒來講是一個很拖延的消息,
[00:01:16.000 --> 00:01:19.000]  因為對他們來講,耶穌死了已經很傷心,
[00:01:19.000 --> 00:01:26.000]  耶穌復活了,他們很開心,一個多月耶穌也走了。
[00:01:26.000 --> 00:01:31.000]  這個過程來講,我們的心情就好像過山車一樣,
[00:01:31.000 --> 00:01:37.000]  上下彷彿沒有安全感,對不對?
[00:01:37.000 --> 00:01:41.000]  但我們如果看耶穌在前面一段時間怎麼講呢?
[00:01:41.000 --> 00:01:46.000]  在最後的晚餐,他跟門徒很長時間相聚的時候,
[00:01:46.000 --> 00:01:50.000]  在約翰福音第十四章一到十四節那邊,
[00:01:50.000 --> 00:01:54.000]  這個經文給我們一個很大的安慰。
[00:01:54.000 --> 00:02:01.000]  我講到有幾個大綱我可以分享出來,
[00:02:01.000 --> 00:02:04.000]  從門徒的角度來看,
