
[00:00:00.000 --> 00:00:04.000]  我們在講道之前我們先有個祈禱
[00:00:04.000 --> 00:00:10.000]  神啊求祢聖靈住在我們內心
[00:00:10.000 --> 00:00:14.000]  在我們今天整個的敬拜裏面
[00:00:14.000 --> 00:00:16.000]  去感召我們
[00:00:16.000 --> 00:00:18.000]  讓我們去體會
[00:00:18.000 --> 00:00:21.000]  上帝祢留下給我們聖經寶貴的說話
[00:00:21.000 --> 00:00:24.000]  在今天的意義
[00:00:24.000 --> 00:00:27.000]  求主祢祝福在座每一位
[00:00:27.000 --> 00:00:30.000]  敬拜祢的弟兄姊妹
[00:00:30.000 --> 00:00:33.000]  神啊求祢讓我們去體會
[00:00:33.000 --> 00:00:37.000]  經歷祢的看顧引領
[00:00:37.000 --> 00:00:40.000]  在未來的這半年
[00:00:40.000 --> 00:00:42.000]  比上半年更多
[00:00:42.000 --> 00:00:45.000]  讓我們人生一直走向
[00:00:45.000 --> 00:00:47.000]  上帝祢自己賜福的道路
[00:00:47.000 --> 00:00:48.000]  我們同心吐告
[00:00:48.000 --> 00:00:50.000]  奉耶穌基督的名字
[00:00:50.000 --> 00:00:51.000]  阿們
[00:00:51.000 --> 00:00:53.000]  眨一下眼就七月一日了
[00:00:53.000 --> 00:00:55.000]  2018年已經過了一半
[00:00:55.000 --> 00:00:57.000]  時間過得很快
[00:00:57.000 --> 00:00:59.000]  不知道大家來了廣福堂
[00:00:59.000 --> 00:01:00.000]  參加聚會
[00:01:00.000 --> 00:01:03.000]  無論是送拜還是其他的聚會
[00:01:03.000 --> 00:01:06.000]  有多長一段日子
[00:01:06.000 --> 00:01:10.000]  我很感謝神讓我在廣福堂侍奉
[00:01:10.000 --> 00:01:13.000]  也在侍奉了五年之後
[00:01:13.000 --> 00:01:15.000]  有半年的安息年假
[00:01:15.000 --> 00:01:17.000]  時間真的過得很快
[00:01:17.000 --> 00:01:19.000]  假期就放完
[00:01:19.000 --> 00:01:21.000]  回來也有三個月時間
[00:01:21.000 --> 00:01:23.000]  所以很快
[00:01:23.000 --> 00:01:26.000]  有時過得很快的時候
[00:01:26.000 --> 00:01:31.000]  當說到過往有什麼特別的時候
