
[00:00:00.000 --> 00:00:02.980]  各位來賓 諸位弟兄姊妹 平安
[00:00:02.980 --> 00:00:06.260]  我們祝大家父親節快樂
[00:00:06.260 --> 00:00:09.160]  我們今天第一次
[00:00:09.160 --> 00:00:11.560]  上年的父親節我們在網上崇拜
[00:00:11.560 --> 00:00:14.240]  今年大家可以回到教會禮堂
[00:00:14.240 --> 00:00:16.800]  一起去慶祝父親節
[00:00:16.800 --> 00:00:20.160]  在網上的 我也祝大家在座的
[00:00:20.160 --> 00:00:23.400]  在家裡崇拜的 都是一樣感受到
[00:00:23.400 --> 00:00:27.200]  與主同在的喜樂
[00:00:27.300 --> 00:00:30.320]  我們在父親節的期間
[00:00:30.320 --> 00:00:40.560]  我們知道神賜了我們的兒女給我們去託管
[00:00:40.560 --> 00:00:44.000]  這份是神給我們的禮物
[00:00:44.000 --> 00:00:46.940]  我們身為兒女的在父親節期間
[00:00:46.940 --> 00:00:49.680]  都想念到我們自己的父親
[00:00:49.680 --> 00:00:53.780]  在這個社會環境裡
[00:00:53.780 --> 00:00:56.280]  道德淪亡的社會環境裡
[00:00:56.280 --> 00:00:59.300]  做父親的都受到很大的掙扎
[00:00:59.300 --> 00:01:02.500]  究竟我們怎樣去帶領
[00:01:02.500 --> 00:01:05.560]  引領我們的兒女去成長呢
[00:01:05.560 --> 00:01:09.360]  其實在我們從上次
[00:01:09.360 --> 00:01:13.500]  我們剛剛過了母親節的那一天
[00:01:13.500 --> 00:01:14.700]  我們有朕來
[00:01:14.700 --> 00:01:18.540]  我們都開始了撒慕爾記上這卷書卷
[00:01:18.540 --> 00:01:20.000]  一同去學習
[00:01:20.000 --> 00:01:23.740]  撒慕爾在這卷經文當中
[00:01:23.740 --> 00:01:26.000]  學習怎樣去跟隨神
[00:01:26.000 --> 00:01:28.800]  怎樣做一個合神心意的僕人
[00:01:28.800 --> 00:01:30.820]  這卷書卷裡
[00:01:30.820 --> 00:01:33.900]  撒慕爾記上和下都記載了
[00:01:33.900 --> 00:01:36.920]  一些用故事的形式 故事的題材
[00:01:36.920 --> 00:01:40.220]  記載了以色列立國之前
[00:01:40.220 --> 00:01:44.220]  和剛剛立國之後所記載的領導的僕人
[00:01:44.220 --> 00:01:47.760]  是怎樣去神 怎樣去選擇 怎樣去帶領他們
[00:01:47.760 --> 00:01:51.220]  從撒慕爾開始到素羅 到大衛
[00:01:51.220 --> 00:01:53.420]  這幾個英雄人物
[00:01:53.420 --> 00:01:55.220]  在聖經的英雄人物當中
[00:01:55.220 --> 00:01:57.060]  他們怎樣去跟隨神
[00:01:57.060 --> 00:01:58.980]  有什麼跌倒的時候
[00:01:58.980 --> 00:02:06.080]  撒慕爾記之前的年代就是史詩的年代
[00:02:06.080 --> 00:02:08.620]  當時聖經這樣記載在史詩裡面
[00:02:08.620 --> 00:02:11.580]  那時以色列中沒有王
[00:02:11.580 --> 00:02:14.120]  各人任意而行
[00:02:14.120 --> 00:02:19.020]  他們就在道德 靈性上 政治敗壞的環境之下
[00:02:19.020 --> 00:02:20.480]  去過生活
[00:02:20.480 --> 00:02:24.820]  但是到了撒慕爾記記載的時候
[00:02:24.820 --> 00:02:27.320]  我們就開始明白到神
[00:02:27.320 --> 00:02:31.080]  有祂的旨意 要我們怎樣去做祂忠心的僕人
[00:02:31.080 --> 00:02:37.920]  我們今天就會看到從撒慕爾記第二章的十二至三十六節
[00:02:37.920 --> 00:02:41.520]  我們看到兩個父親的故事的例子
[00:02:41.520 --> 00:02:44.220]  剛才大家讀的二弗所書的經文當中
[00:02:44.220 --> 00:02:46.620]  都教導我們做父親的應該怎樣做
[00:02:46.620 --> 00:02:48.120]  做兒女的怎樣做
[00:02:48.120 --> 00:02:53.020]  我們就從撒慕爾記上第二章十二至三十六節
[00:02:53.020 --> 00:02:57.420]  學習和這兩位父親 以尼和以尼加拿大這兩位父親
[00:02:57.420 --> 00:02:59.320]  他們在一個很強烈的對比之下
[00:02:59.320 --> 00:03:02.620]  怎樣去帶領他們的子女去認識神
[00:03:02.620 --> 00:03:05.420]  這份是一份很寶貴的禮物
[00:03:05.420 --> 00:03:08.420]  神既然給我們兒女 給我們去託管的時候
[00:03:08.420 --> 00:03:11.220]  神 其實神也是我們主耶穌基督
[00:03:11.220 --> 00:03:13.720]  我們的天上的包袱 是我們的包袱
[00:03:13.720 --> 00:03:16.520]  因為藉著主耶穌基督這個救恩的計劃
[00:03:16.520 --> 00:03:20.420]  這份真愛來到我們當中
[00:03:20.420 --> 00:03:24.220]  我們從聖經裏面 從這個故事當中
[00:03:24.220 --> 00:03:27.120]  我們學習神究竟是誰
