
[00:00:00.000 --> 00:00:02.000]  香港有很多社會調查
[00:00:02.000 --> 00:00:04.000]  在很多社會調查裏面
[00:00:04.000 --> 00:00:07.520]  總有些項目經常有很多香港人關注的
[00:00:07.520 --> 00:00:09.520]  其中一個一定走不掉的
[00:00:09.520 --> 00:00:11.520]  就是居住問題
[00:00:11.520 --> 00:00:15.000]  每個人都有很多意見、很多議論
[00:00:15.000 --> 00:00:18.880]  經常都在我們坊間周圍出現
[00:00:18.880 --> 00:00:22.600]  早前才有人教我們怎樣可以上車
[00:00:22.600 --> 00:00:25.680]  買小部手機去小市日本就可以上車
[00:00:25.680 --> 00:00:32.080]  不知道大家有沒有留意惡劣居所的調查
[00:00:32.080 --> 00:00:35.920]  說劏房裏面的居住環境很小很擠迫
[00:00:35.920 --> 00:00:39.840]  連香港一間監倉的尺寸都不如
[00:00:39.840 --> 00:00:43.360]  或者我們會討論郊野公園可不可以建樓
[00:00:43.360 --> 00:00:48.920]  或者安老院有虐老事件是否因為土地不足的問題
[00:00:48.920 --> 00:00:55.800]  我們經常都會為著這些居住問題去討論
[00:00:55.800 --> 00:01:01.000]  很多香港人都會為著居住問題去奔波
[00:01:01.000 --> 00:01:03.000]  這個社會都不容易
[00:01:03.000 --> 00:01:10.480]  當我們是一個連開價400萬都是窮人恩物的社會
[00:01:10.480 --> 00:01:12.480]  很大壓力
[00:01:12.480 --> 00:01:14.480]  400萬都是窮人恩物
[00:01:14.480 --> 00:01:16.480]  還要這個價錢今天已經買不到了
[00:01:16.480 --> 00:01:21.600]  要找一個安居之所真是不容易
[00:01:21.600 --> 00:01:24.360]  所以要成為很多人的人生目標
[00:01:24.360 --> 00:01:26.360]  所以今天我預備訊息的時候
[00:01:26.360 --> 00:01:29.640]  我都在想哎呀改了一個題目居無定所
[00:01:29.640 --> 00:01:33.560]  大家會不會覺得我在裸景還是贈慶呢
[00:01:33.560 --> 00:01:35.560]  不過面對現實
[00:01:35.560 --> 00:01:38.760]  物質的居所我們都很擔心
[00:01:38.760 --> 00:01:40.760]  很令我們心煩
[00:01:40.760 --> 00:01:42.760]  但同樣我們會不會留意
[00:01:42.760 --> 00:01:47.760]  也同樣放上心思在我們心靈的居所上呢
[00:01:47.760 --> 00:01:49.760]  今天我們會讀一篇詩篇
[00:01:49.760 --> 00:01:51.760]  詩篇是九十一篇
[00:01:51.760 --> 00:01:55.760]  我想除了崇拜或者小早茶經
[00:01:55.760 --> 00:01:57.760]  我們沒有機會開口讀聖經
[00:01:57.760 --> 00:01:59.760]  所以今天十六時的經文
[00:01:59.760 --> 00:02:03.760]  都請大家一起開口讀出來好不好
[00:02:03.760 --> 00:02:05.760]  經文全部都在屏幕上
[00:02:05.760 --> 00:02:07.760]  今天用的是一個新譯本的版本
[00:02:07.760 --> 00:02:12.760]  預備 123 住在至高者的隱密處的
[00:02:12.760 --> 00:02:16.760]  必在全能者的隱蔽下安居
[00:02:16.760 --> 00:02:18.760]  我要對耶和華說
[00:02:18.760 --> 00:02:20.760]  你是我的避難所
[00:02:20.760 --> 00:02:21.760]  我的保障
[00:02:21.760 --> 00:02:22.760]  你是我的神
[00:02:22.760 --> 00:02:24.760]  我所倚靠的
[00:02:24.760 --> 00:02:28.760]  祂必救你脫離報了的人的網絡
