
[00:00:00.000 --> 00:00:05.080]  我們已經來到《史學行傳》的第六課了
[00:00:05.080 --> 00:00:09.880]  講到保羅第三次的宣教行程
[00:00:09.880 --> 00:00:13.740]  由十八章一直到二十一章
[00:00:13.740 --> 00:00:17.280]  都是保羅第三次的宣教行程
[00:00:17.280 --> 00:00:21.980]  第十八章、十九章記載
[00:00:21.980 --> 00:00:24.780]  保羅到了以弗所
[00:00:24.780 --> 00:00:28.520]  他為門徒祈禱
[00:00:28.520 --> 00:00:31.340]  叫他們領受聖靈
[00:00:31.340 --> 00:00:33.640]  保羅每一次都很重視
[00:00:33.640 --> 00:00:36.960]  到底那些門徒領受了聖靈沒有?
[00:00:36.960 --> 00:00:37.900]  如果沒有
[00:00:37.900 --> 00:00:39.420]  就為他們祈禱
[00:00:39.420 --> 00:00:42.680]  求聖靈降臨在他們的身上
[00:00:42.680 --> 00:00:46.520]  他在會堂裏面一年三個月
[00:00:46.520 --> 00:00:49.660]  每個星期都在那裏講道
[00:00:49.660 --> 00:00:55.660]  而且是很清楚地來講解聖經
[00:00:55.660 --> 00:00:59.180]  然後他又在推拉盧學房
[00:00:59.180 --> 00:01:03.540]  一個討論智慧的地方
[00:01:03.540 --> 00:01:06.020]  在那裏天天辯論
[00:01:06.020 --> 00:01:09.140]  有三年這麼久
[00:01:09.140 --> 00:01:13.940]  結果在第二十節又有一句評語
[00:01:13.940 --> 00:01:15.340]  我上次提過
[00:01:15.340 --> 00:01:17.340]  在《史學行傳》裏面
[00:01:17.340 --> 00:01:20.260]  間中就會出現一句評論
[00:01:20.260 --> 00:01:21.620]  是很重要的
[00:01:21.620 --> 00:01:23.260]  二十節那裏怎麼說?
[00:01:23.260 --> 00:01:24.900]  十九章二十節
[00:01:24.900 --> 00:01:28.120]  主的道大大興旺
[00:01:28.120 --> 00:01:32.180]  而且普遍傳開了
[00:01:32.180 --> 00:01:34.700]  這句評語真的很好
[00:01:34.700 --> 00:01:37.820]  神的道大大興旺
[00:01:37.820 --> 00:01:39.020]  即是復興
[00:01:39.020 --> 00:01:42.080]  然後是普遍傳開
[00:01:42.080 --> 00:01:44.240]  傳得很廣遠
[00:01:44.240 --> 00:01:47.500]  天父就是這樣使用保羅
[00:01:47.500 --> 00:01:50.300]  有一個銀像叫做「底米雕」
[00:01:50.300 --> 00:01:52.620]  因為他沒有生意可做
[00:01:52.620 --> 00:01:54.620]  沒有人買他的神像
[00:01:54.620 --> 00:01:57.700]  結果他就誣告他們
[00:01:57.700 --> 00:02:03.660]  然後就需要書記安撫群眾
[00:02:03.660 --> 00:02:05.660]  到了二十章
[00:02:05.660 --> 00:02:08.540]  他們就回去馬其頓
[00:02:08.540 --> 00:02:11.300]  去了希臘
[00:02:11.300 --> 00:02:13.300]  住了三個月
[00:02:13.300 --> 00:02:15.940]  然後就去敘利亞
[00:02:15.940 --> 00:02:19.780]  他們就坐船到了特羅亞
[00:02:19.780 --> 00:02:23.020]  在那裏就跟弟兄們會合
[00:02:23.020 --> 00:02:25.220]  在特羅亞的聚會
