
[00:00:00.000 --> 00:00:03.840]  讓我們再次在聆聽主導之中一起學習的耳先
[00:00:03.840 --> 00:00:05.720]  我們一起同心的低頭禱告
[00:00:05.720 --> 00:00:06.820]  楊亡羊主我愛神
[00:00:06.820 --> 00:00:09.900]  父神我多謝你
[00:00:09.900 --> 00:00:12.360]  多謝你給我們有生命氣息
[00:00:12.360 --> 00:00:15.080]  讓我們能夠仍然站立在地上
[00:00:15.080 --> 00:00:19.620]  走這條上帝你鋪設在我們面前的道路
[00:00:19.620 --> 00:00:21.040]  我們知道
[00:00:21.040 --> 00:00:22.800]  在這個罪惡的世界當中
[00:00:22.800 --> 00:00:24.560]  這條道路並不容易跑
[00:00:24.560 --> 00:00:26.280]  但是我們也知道
[00:00:26.280 --> 00:00:30.220]  這個正正是我們生命怎樣去更加的認識你
[00:00:30.220 --> 00:00:33.520]  在罪的裏面怎樣痛悔的緣由
[00:00:33.520 --> 00:00:35.840]  讓我們能夠在這條路上面
[00:00:35.840 --> 00:00:36.920]  能夠跟你同行
[00:00:36.920 --> 00:00:39.320]  有你的一路的拖帶帶領
[00:00:39.320 --> 00:00:40.960]  我們為此獻上感恩
[00:00:40.960 --> 00:00:44.320]  我們將以下來聽導的時間再次懇求主理
[00:00:44.320 --> 00:00:48.320]  藉著你的說話的釋放出的能力
[00:00:48.320 --> 00:00:52.200]  讓我們能夠去勇敢面對我們每一天的生命生活
[00:00:52.520 --> 00:00:57.640]  能夠成為一個合神心意的一個的屬神子民
[00:00:57.640 --> 00:01:00.560]  活在上帝你所陳設的地方裏面
[00:01:00.560 --> 00:01:04.360]  作為上帝你的真理的譴明
[00:01:04.360 --> 00:01:05.640]  我們同心禱告
[00:01:05.640 --> 00:01:08.320]  奉靠主耶穌基督得聖名自求
[00:01:08.320 --> 00:01:09.200]  阿們
[00:01:09.200 --> 00:01:12.920]  我曾經認識一個家長
[00:01:12.920 --> 00:01:16.880]  他為了秉承所謂現在這個世界最喜歡的一句話
[00:01:16.880 --> 00:01:20.280]  叫做贏在起跑線的這種世界觀
[00:01:20.600 --> 00:01:26.320]  於是乎他對於他家的每一個子女
[00:01:26.320 --> 00:01:30.280]  都處於一種非常之緊張的狀態
[00:01:30.280 --> 00:01:32.400]  緊張到一個地步是甚麼呢
[00:01:32.400 --> 00:01:38.520]  就變成了我們所稱之為的所謂苦爸苦媽的這種情況
