
[00:00:00.000 --> 00:00:09.000]  在我的國裡,坐在我的議席上吃喝,並且坐在寶座上審判以色列十二個支派
[00:00:09.000 --> 00:00:17.000]  主耶穌是存在著一個什麼樣的心情來等候國度的來臨呢?
[00:00:17.000 --> 00:00:25.000]  在這個逾越節的晚餐,這個就是《路加福音》第二十二章
[00:00:25.000 --> 00:00:35.000]  是接續上一章的經文,一個經文就是耶穌在這個橄欖山上面對著聖殿
[00:00:35.000 --> 00:00:44.000]  講及到人子的降臨,末世的情景,從當時十二個使徒
[00:00:44.000 --> 00:00:50.000]  他當代將要面對的,包括了聖殿要被毀滅,耶路撒冷要被陷落
[00:00:50.000 --> 00:01:00.000]  外邦人即是羅馬人要再一次攻陷猶大地,將猶大人分散於世界各地
[00:01:00.000 --> 00:01:07.000]  然後有種種的事情會發生,有假先知的出現,有異怨的出現
[00:01:07.000 --> 00:01:16.000]  而人心的冷淡似是關心一些吃些什麼,穿些什麼,這些瑣碎的事務
[00:01:16.000 --> 00:01:23.000]  在這裡醉生夢死而忽略了國道的來臨,耶穌為他們擔心
[00:01:23.000 --> 00:01:31.000]  耶穌好像用一個快速手畫的方法,將當日二千年前他們站在橄欖山
[00:01:31.000 --> 00:01:36.000]  向前望,好像拿著一個快速手畫的遙控器
[00:01:36.000 --> 00:01:46.000]  將要發生的事情展現在門徒面前,告訴他們神的國道要來臨
[00:01:46.000 --> 00:01:53.000]  而之前要發生的事情,他們在牢房上用最後的晚餐
[00:01:53.000 --> 00:02:01.000]  主耶穌說我很渴望能夠在我受害之前和你們吃這個逾越節的晚餐
[00:02:01.000 --> 00:02:08.000]  這是我們所說的最後的晚餐,然後耶穌鄭重地告訴他們
[00:02:08.000 --> 00:02:14.000]  我不再吃這筵席,直到它實現在上帝的國裡
[00:02:14.000 --> 00:02:21.000]  耶穌是很迫切地去渴望一個上帝的國的實現
[00:02:21.000 --> 00:02:26.000]  上帝的國是如何實現呢?什麼時候的實現呢?
