
[00:00:00.000 --> 00:00:03.140]  比較少講的題目,通常崇拜的都很少講的
[00:00:03.140 --> 00:00:09.400]  就講到怎樣去認定、肯定教會領袖他們的角色
[00:00:09.400 --> 00:00:12.580]  先看看
[00:00:12.580 --> 00:00:20.800]  OK,題目就是教會領袖的角色
[00:00:20.800 --> 00:00:22.940]  那你看到背景是什麼來的
[00:00:22.940 --> 00:00:27.000]  很多時候我們好像背景是來裝飾一下而已
[00:00:27.000 --> 00:00:30.060]  其實牧師每一個背景,我都想過的
[00:00:30.060 --> 00:00:32.860]  雖然很簡單,是什麼來的?背景
[00:00:32.860 --> 00:00:35.820]  有幾棵樹,什麼樹?
[00:00:35.820 --> 00:00:39.960]  Palm Tree,中文是棕櫚樹,是嗎?
[00:00:39.960 --> 00:00:41.120]  是棕櫚樹
[00:00:41.120 --> 00:00:44.720]  當我看到這個題目和這幾棵棕櫚樹的時候
[00:00:44.720 --> 00:00:46.360]  我應該弄高一點的
[00:00:46.360 --> 00:00:48.800]  不知道大家有沒有什麼聯想呢?
[00:00:48.800 --> 00:00:52.840]  就是當我這樣提的時候,就想一想
[00:00:52.840 --> 00:00:55.120]  首先這些是什麼來的?
[00:00:55.120 --> 00:00:57.080]  棕櫚樹,很簡單的
[00:00:57.080 --> 00:00:59.360]  全部都是棕櫚樹,是不是?
[00:00:59.360 --> 00:01:01.920]  但是如果留心去看這棵棕櫚樹的時候
[00:01:01.920 --> 00:01:05.080]  可能你會發覺高矮不一樣,是不是?
[00:01:05.080 --> 00:01:08.640]  再看前面那些可能樹幹的粗細
[00:01:08.640 --> 00:01:12.640]  以及棕櫚葉的多少、安排都不同
[00:01:12.640 --> 00:01:14.280]  那為什麼同樣都是棕櫚樹
[00:01:14.280 --> 00:01:18.200]  但是高矮粗細都不一樣呢?
[00:01:18.200 --> 00:01:21.560]  那我們猜測吧,如果你懂得種植的話
[00:01:21.560 --> 00:01:23.680]  可能是不同時間種植的
[00:01:23.680 --> 00:01:25.240]  所以有些高有些矮,是不是?
[00:01:25.240 --> 00:01:27.920]  或者種植的土壤不同,是不是?
[00:01:27.920 --> 00:01:31.160]  或者他們種植的時間、氣候又不一樣
[00:01:31.160 --> 00:01:34.120]  所以你會發覺,雖然大家都種植棕櫚樹
[00:01:34.120 --> 00:01:39.760]  但是高低肥矮、肥瘦、葉的多少都不同
[00:01:39.760 --> 00:01:40.760]  那是什麼意思呢?
[00:01:40.760 --> 00:01:44.240]  和今天所說的題目有什麼關係呢?
[00:01:44.240 --> 00:01:47.040]  所以在教會裡面,每個都是棕櫚樹,是不是?
[00:01:47.040 --> 00:01:48.720]  牧師是不是棕櫚樹?
[00:01:48.720 --> 00:01:50.400]  是,你們是不是棕櫚樹?
[00:01:50.400 --> 00:01:52.560]  是,大家都是棕櫚樹
[00:01:52.560 --> 00:01:57.280]  但是每個基督徒的人生的經驗、閱歷
[00:01:57.280 --> 00:02:00.680]  對信仰的那種體會,同不同?
[00:02:00.680 --> 00:02:04.480]  不同的,因為神做我們每個都很獨特,是不是?
[00:02:04.480 --> 00:02:07.840]  所以因為這個緣故,我們看到在教會裡面
[00:02:07.840 --> 00:02:09.880]  有不同的位份的
[00:02:09.880 --> 00:02:17.040]  也都是屬靈生命的成長上面有參差的
[00:02:17.040 --> 00:02:19.880]  於是有人在教會裡面侍奉的時候
[00:02:19.880 --> 00:02:21.480]  可能是做領導的,是不是?
[00:02:21.480 --> 00:02:23.960]  做領導、做策劃、做推動
[00:02:23.960 --> 00:02:26.200]  也都有人在教會裡面侍奉的時候
[00:02:26.200 --> 00:02:27.200]  是做什麼的?
[00:02:27.200 --> 00:02:32.560]  是做執行的,是做配搭侍奉的,是做幫手的
[00:02:32.560 --> 00:02:35.640]  但是無論怎麼樣,還有一個特色很重要
[00:02:35.640 --> 00:02:38.760]  這棕櫚樹是不是死了?
[00:02:38.760 --> 00:02:41.000]  當然不是,還沒生歐歐的,是不是?
[00:02:41.000 --> 00:02:45.000]  就是說在這個過程當中,我們是繼續成長的
[00:02:45.000 --> 00:02:48.600]  無論你是什麼背景、時間、位份都好
[00:02:48.600 --> 00:02:51.160]  我們同時在這個過程當中
[00:02:51.160 --> 00:02:54.000]  大家都在一起長大的
[00:02:54.000 --> 00:02:58.120]  這個其實就是我今天要跟大家講的意思
[00:02:58.120 --> 00:03:00.400]  當我去查《聖經》的時候
[00:03:00.400 --> 00:03:03.200]  當然也不是第一次講的
[00:03:03.200 --> 00:03:06.760]  我發覺在初期教會的時候
[00:03:06.760 --> 00:03:08.920]  除了十二個司徒
[00:03:08.920 --> 00:03:10.960]  我們叫十二司徒
[00:03:10.960 --> 00:03:14.560]  這些十二司徒跟其他人不同的地方是什麼呢?
[00:03:14.560 --> 00:03:18.400]  跟耶穌生活了多久?三年多
[00:03:18.400 --> 00:03:21.600]  其他的信徒,信耶穌、跟隨主、聽耶穌講道
[00:03:21.600 --> 00:03:24.280]  大幫人聚集的時候都會在一起的
[00:03:24.280 --> 00:03:30.440]  但是這十二個人是跟耶穌一起生活了三年多的時間
[00:03:30.440 --> 00:03:34.680]  如果說基督徒有沒有受過什麼訓練?
[00:03:34.680 --> 00:03:36.680]  專門的教導
[00:03:36.680 --> 00:03:38.800]  除了這十二個人之外,沒有
[00:03:38.800 --> 00:03:42.560]  這十二個人是耶穌親自去培養教導
[00:03:42.560 --> 00:03:46.720]  其他的基督徒是沒有受過任何正規
