
[00:00:00.000 --> 00:00:02.480]  剛才我相信在討論過程當中 大家也知道
[00:00:02.480 --> 00:00:05.740]  我們發覺這個世界沒有什麼公義 沒有什麼公理
[00:00:05.740 --> 00:00:07.940]  太多不平的事情發生
[00:00:07.940 --> 00:00:10.260]  不知道大家有沒有試過類似的經驗
[00:00:10.260 --> 00:00:13.100]  有沒有讀書呢 你很勤力讀書
[00:00:13.100 --> 00:00:16.380]  開通宵 做功課 做好你的工作 但是
[00:00:16.380 --> 00:00:19.340]  你考試仍然是
[00:00:19.340 --> 00:00:22.520]  不理想 甚至是不合格
[00:00:22.520 --> 00:00:26.260]  你很想讀大學的 但是你想去那一間
[00:00:26.260 --> 00:00:27.560]  就不收你
[00:00:28.320 --> 00:00:31.720]  那你覺得 哎呀 上帝 我相信你也不幫我
[00:00:31.720 --> 00:00:33.180]  你不是很公平
[00:00:33.180 --> 00:00:36.500]  不知道大家做功是怎樣呢
[00:00:36.500 --> 00:00:39.380]  傳統來說 中國人做事是很勤力的
[00:00:39.380 --> 00:00:42.400]  是吧 中國人是以勤奮見稱的
[00:00:42.400 --> 00:00:44.920]  這是他們的民族性來的 我們說的 是不是
[00:00:44.920 --> 00:00:48.280]  所以你也要成雜一點點 很努力做功
[00:00:48.280 --> 00:00:52.160]  OK 早上上班 遲遲也不放工
[00:00:52.160 --> 00:00:54.520]  不單如此 而且很多時候
[00:00:54.520 --> 00:00:57.140]  你會想想 什麼做法 怎樣能夠
[00:00:57.140 --> 00:00:59.520]  讓公司獲利更多呢
[00:00:59.520 --> 00:01:01.640]  什麼是對公司最好的呢
[00:01:01.640 --> 00:01:05.360]  但是到升級的時候 反而是那個
[00:01:05.360 --> 00:01:09.620]  最會擦鞋 下班跟老闆去喝咖啡
[00:01:09.620 --> 00:01:12.500]  喝酒的那個 就上了位
[00:01:12.500 --> 00:01:15.080]  你覺得 哎呀 這個世界
[00:01:15.080 --> 00:01:18.740]  真是太不公平了 我這麼努力做功
[00:01:18.740 --> 00:01:21.420]  這個人只會擦鞋 什麼都沒有做
[00:01:21.420 --> 00:01:23.980]  但是他就爬了我的頭 上了位
[00:01:23.980 --> 00:01:26.680]  不知道大家有沒有試過
[00:01:27.980 --> 00:01:29.520]  你做了一件事
[00:01:29.520 --> 00:01:32.160]  不單單你覺得這件事
[00:01:32.160 --> 00:01:34.020]  是應該做的
[00:01:34.020 --> 00:01:36.500]  是對的 是對的
[00:01:36.500 --> 00:01:38.920]  甚至很多人都認同你這個做法
[00:01:38.920 --> 00:01:43.700]  但是呢 你竟然被人說你無事生非
[00:01:43.700 --> 00:01:46.100]  沒事做 找些事來做
[00:01:46.100 --> 00:01:50.240]  還被人去責備你 批判你
[00:01:50.240 --> 00:01:53.840]  你心裏會覺得 這個世界有沒有公理的
[00:01:53.840 --> 00:01:57.080]  這個世界有沒有公義的
[00:01:58.140 --> 00:02:02.400]  為什麼每天我們每天都遇到這麼多的問題呢
[00:02:02.400 --> 00:02:07.020]  今天《聖經》裏面告訴我們的是什麼呢
[00:02:07.020 --> 00:02:09.720]  為義受逼不得人有福了
[00:02:09.720 --> 00:02:11.220]  但是是不是真的呢
[00:02:11.220 --> 00:02:15.800]  有一個人 他叫做Jonathan Lockwood Hill
[00:02:15.800 --> 00:02:20.320]  他寫了今天很難的心聲 我讀給大家聽
[00:02:20.320 --> 00:02:23.060]  這個是他的體會
[00:02:23.060 --> 00:02:25.960]  Life is not fair
[00:02:26.680 --> 00:02:29.720]  You can't make life fair
[00:02:29.720 --> 00:02:31.720]  You can't get angry
[00:02:31.720 --> 00:02:35.100]  You can't complain about life not being fair
[00:02:35.100 --> 00:02:37.520]  You can't attempt revenge
[00:02:37.520 --> 00:02:39.280]  Perhaps violently
[00:02:39.280 --> 00:02:42.320]  You can't inflict great suffering upon yourself
[00:02:42.320 --> 00:02:45.240]  In the name of life being unfair
[00:02:45.240 --> 00:02:50.660]  And life is still not fair
[00:02:50.660 --> 00:02:52.900]  我試一下翻譯中文
[00:02:52.900 --> 00:02:56.200]  不是翻得很好 人生是不公平的
[00:02:56.200 --> 00:02:59.120]  你不能夠讓生活變得公平
[00:02:59.120 --> 00:03:01.720]  你可能會很生氣
[00:03:01.720 --> 00:03:03.760]  你可以抱怨生活不公平
[00:03:03.760 --> 00:03:05.560]  你可以嘗試復仇
[00:03:05.560 --> 00:03:08.200]  甚至用暴力
[00:03:08.200 --> 00:03:13.500]  你可以用生活不公平 不公義作為一個藉口
[00:03:13.500 --> 00:03:16.080]  讓自己造成很大的痛苦
[00:03:16.080 --> 00:03:20.980]  但是生活仍然是不公平
[00:03:24.240 --> 00:03:26.520]  不知道大家是否同意他的觀察
[00:03:26.520 --> 00:03:30.000]  可能我們心中 特別是剛才說到香港的問題
[00:03:30.000 --> 00:03:33.360]  香港當然很慘 其實世界有些地方比香港更加慘
[00:03:33.360 --> 00:03:36.040]  因為已經過了臨界點 更加慘
[00:03:36.040 --> 00:03:42.120]  可能我們心裏不其然地對同意這個人的說法
[00:03:42.120 --> 00:03:43.160]  今次聖經說
[00:03:43.160 --> 00:03:49.960]  「為羈害無義的人有福了 因為他們必得飽足」
[00:03:49.960 --> 00:03:51.920]  大家知道現在說八福
[00:03:51.920 --> 00:03:53.760]  這個其實是第四福
[00:03:53.760 --> 00:03:57.920]  繼虛心的人 哀動的人 溫柔的人之後
[00:03:57.920 --> 00:04:00.040]  接著就是羈害無義的人
[00:04:00.040 --> 00:04:01.680]  其實是一個sequence
[00:04:01.680 --> 00:04:04.360]  不過因為我們的牧師要在不同的campus講道
[00:04:04.360 --> 00:04:09.560]  所以大家次序就發覺有少許混亂了
[00:04:09.560 --> 00:04:11.040]  但這些是可以的
[00:04:11.040 --> 00:04:15.600]  問題是八福這八個所謂的福氣
[00:04:15.600 --> 00:04:18.880]  到底是指甚麼福呢
[00:04:18.880 --> 00:04:20.480]  其實所謂的福
[00:04:20.480 --> 00:04:25.840]  是因為我們認識這個自聖 結智 公義的上帝
[00:04:25.840 --> 00:04:27.200]  而得到一種福祿
[00:04:27.200 --> 00:04:31.120]  這種福祿是不受時間 環境 地點
[00:04:31.120 --> 00:04:34.760]  是非 對錯而影響的一種喜樂
[00:04:34.760 --> 00:04:40.080]  是發自內心很深層次的滿足的感覺
[00:04:40.080 --> 00:04:42.560]  祂說你做這八件事的時候
[00:04:42.560 --> 00:04:47.360]  你就能有把握可以享受到在主裏面的那種祝福
[00:04:47.360 --> 00:04:51.200]  而當我們說到第四福 羈害無義人有福了
[00:04:51.200 --> 00:04:55.480]  為甚麼呢 因為他們必得飽足
[00:04:55.480 --> 00:04:58.560]  事實上在這麼簡短的一個祝福裏面
[00:04:58.560 --> 00:05:01.280]  有兩件事需要搞清楚
[00:05:01.280 --> 00:05:03.080]  到底是講甚麼呢
[00:05:03.080 --> 00:05:06.360]  第一就是飽足
[00:05:06.360 --> 00:05:08.160]  甚麼是飽足呢
[00:05:08.160 --> 00:05:11.000]  這裏當然不是說今早忘了吃早餐
[00:05:11.000 --> 00:05:13.600]  回到家好像肚子有點餓
[00:05:13.600 --> 00:05:17.400]  感謝主啦 裏面有咖啡 有茶 有貝殼
[00:05:17.400 --> 00:05:19.280]  今天很多人不在 所以剩下很多
[00:05:19.280 --> 00:05:21.720]  我們待會可以當作午餐
[00:05:21.720 --> 00:05:24.160]  OK 我今早忘了吃早餐
[00:05:24.160 --> 00:05:26.440]  少少不吃也沒有所謂的
[00:05:26.440 --> 00:05:29.720]  不過都有些食慾 想試一下
[00:05:29.720 --> 00:05:32.760]  吃了之後覺得很滿足
[00:05:32.760 --> 00:05:34.640]  很明顯說到飽足
[00:05:34.640 --> 00:05:37.760]  不是說肚子餓沒東西吃 忘了吃早餐
[00:05:37.760 --> 00:05:43.560]  於是吃飽了 覺得很滿足
[00:05:43.560 --> 00:05:48.720]  這裏所說的飽足是說到我們靈魂的飽足
[00:05:48.720 --> 00:05:53.080]  今天我們對我們現在的人生
[00:05:53.080 --> 00:05:55.240]  說到靈魂好像很抽象
[00:05:55.240 --> 00:05:56.960]  但事實上是說到
[00:05:56.960 --> 00:06:01.400]  到底我們覺得你滿不滿意你現在的生命
[00:06:01.400 --> 00:06:04.920]  你覺不覺得你覺得很有意思
[00:06:04.920 --> 00:06:07.320]  你所做的一切 每一件事你都覺得
[00:06:07.320 --> 00:06:10.040]  嘩 真是我做對了
