
[00:00:00.000 --> 00:00:02.000]  那我們低頭禱告
[00:00:02.000 --> 00:00:06.000]  天父我們用感恩的心來到你面前
[00:00:06.000 --> 00:00:08.000]  祝這是你的日子
[00:00:08.000 --> 00:00:12.000]  我們屬神的兒女都一起來到你面前
[00:00:12.000 --> 00:00:15.000]  我們要敬拜讚美尊崇你
[00:00:15.000 --> 00:00:19.000]  願你在我們中間得到你當得配得的榮耀
[00:00:19.000 --> 00:00:22.000]  所以說我們再一次將心來歸你
[00:00:22.000 --> 00:00:24.000]  願你在得着我們的心
[00:00:24.000 --> 00:00:26.000]  得着我們的全身全人
[00:00:26.000 --> 00:00:29.000]  好讓我們真是快跑的來跟隨你
[00:00:29.000 --> 00:00:31.000]  謝謝你主耶穌
[00:00:31.000 --> 00:00:33.000]  聽我們的禱告奉耶穌的名
[00:00:33.000 --> 00:00:38.000]  今天剛纔我們本來一起讀
[00:00:38.000 --> 00:00:42.000]  格林多後書四章一到十八節
[00:00:42.000 --> 00:00:44.000]  但是因爲沒有打出來
[00:00:44.000 --> 00:00:46.000]  那也沒有關係
[00:00:46.000 --> 00:00:49.000]  給你一個機會你回家去讀
[00:00:49.000 --> 00:00:52.000]  你今天聽完我的講道之後
[00:00:52.000 --> 00:00:56.000]  你回家去把格林多後書四章一到十八節
[00:00:56.000 --> 00:00:58.000]  自己再讀一次好不好
[00:00:58.000 --> 00:01:01.000]  那今天的講臺呢
[00:01:01.000 --> 00:01:05.000]  主要是以格林多後書第四章爲主
[00:01:05.000 --> 00:01:08.000]  那我是想今天用一個解經的方式
[00:01:08.000 --> 00:01:11.000]  來跟弟兄姊妹分享
[00:01:11.000 --> 00:01:14.000]  而且雖然這個今天的講道的重點呢
[00:01:14.000 --> 00:01:17.000]  是從第七節到第十八節
[00:01:17.000 --> 00:01:20.000]  但是我還是要用一個口語化的方式呢
[00:01:20.000 --> 00:01:23.000]  把這個第一節跟第六節把它讀過去
[00:01:23.000 --> 00:01:27.000]  但是呢我不要照着和合本的方式讀
[00:01:27.000 --> 00:01:29.000]  我是想用一個我自己
[00:01:29.000 --> 00:01:33.000]  對這幾節經文我的體會
[00:01:33.000 --> 00:01:35.000]  那我把它講出來好不好
[00:01:35.000 --> 00:01:38.000]  那作者保羅呢他就說
[00:01:38.000 --> 00:01:41.000]  他說我們既然蒙了神的憐憫
[00:01:41.000 --> 00:01:45.000]  得着了救恩成爲基督徒之後
[00:01:45.000 --> 00:01:48.000]  你要看重你自己的身份
[00:01:48.000 --> 00:01:53.000]  他說要勇敢地在基督耶穌裏過新生活
[00:01:53.000 --> 00:01:58.000]  你要忘記背後你要向前走
[00:01:58.000 --> 00:02:00.000]  以前所有不光明的事情
[00:02:00.000 --> 00:02:03.000]  害羞的事情都過去了
[00:02:03.000 --> 00:02:06.000]  信主之前我們所做的不應該的事情
[00:02:06.000 --> 00:02:08.000]  都已經過去了
[00:02:08.000 --> 00:02:11.000]  在主裏面我們是新造的人
[00:02:11.000 --> 00:02:13.000]  活在主的真理中
[00:02:13.000 --> 00:02:16.000]  走在主的光中
[00:02:16.000 --> 00:02:21.000]  所以要完全的行一個基督徒
[00:02:21.000 --> 00:02:24.000]  當有的平安和喜樂
[00:02:24.000 --> 00:02:26.000]  我們要與主連結在一起
[00:02:26.000 --> 00:02:29.000]  我們不要再喫喝玩樂
[00:02:29.000 --> 00:02:31.000]  我行我素
[00:02:31.000 --> 00:02:34.000]  信了主以後你不是你自己了
[00:02:34.000 --> 00:02:37.000]  因爲如果你仍然是如此
[00:02:37.000 --> 00:02:40.000]  那你就知道罪和不義
[00:02:40.000 --> 00:02:42.000]  是把一個人會慢慢地
[00:02:42.000 --> 00:02:46.000]  慢慢地在罪患拽回去滅亡的路上面
[00:02:46.000 --> 00:02:48.000]  所以不信神的人呢
