
[00:00:00.000 --> 00:00:05.000]  今天是pom Sunday
[00:00:05.000 --> 00:00:18.000]  pom Sunday 就是中文翻譯叫做中之主日
[00:00:18.000 --> 00:00:26.000]  這個馬一直跳
[00:00:26.000 --> 00:00:31.000]  那麼在天主教他們是對這一個禮拜
[00:00:31.000 --> 00:00:33.000]  他們非常看重的
[00:00:33.000 --> 00:00:36.000]  所以他們稱為這個禮拜叫做聖週
[00:00:36.000 --> 00:00:39.000]  Holy Week
[00:00:39.000 --> 00:00:44.000]  或者是說這次叫做The Passion Week
[00:00:44.000 --> 00:00:45.000]  受難週
[00:00:45.000 --> 00:00:57.000]  我們基督教的教會好像只有在禮拜天
[00:00:57.000 --> 00:01:00.000]  復活節早上我們來做一些慶祝
[00:01:00.000 --> 00:01:04.000]  好像在基督教的教會裡面
[00:01:04.000 --> 00:01:08.000]  對這一方面我們比較沒有那麼看重
[00:01:08.000 --> 00:01:10.000]  但是你知道嗎
[00:01:10.000 --> 00:01:11.000]  在聖經裡面
[00:01:11.000 --> 00:01:17.000]  其實這一個聖週整個馬太福音用了四分之一
[00:01:17.000 --> 00:01:20.000]  馬可福音用了三分之一
[00:01:20.000 --> 00:01:22.000]  路加福音用了四分之一
[00:01:22.000 --> 00:01:25.000]  約翰福音甚至用了整個二分之一的篇幅
[00:01:25.000 --> 00:01:29.000]  來記載耶穌最後受難的這一週
[00:01:29.000 --> 00:01:32.000]  所以請問他重不重要
[00:01:32.000 --> 00:01:35.000]  從他這個紀錄的這個份量
[00:01:35.000 --> 00:01:37.000]  就可以看見這個禮拜是很重要的
[00:01:37.000 --> 00:01:42.000]  耶穌來這個世界上面其實他就是為了喪失之降
[00:01:42.000 --> 00:01:43.000]  這一個禮拜
[00:01:43.000 --> 00:01:46.000]  在耶穌在禮拜天的時候
[00:01:46.000 --> 00:01:47.000]  就是今天
[00:01:47.000 --> 00:01:49.000]  就是從這個Pom Sunday開始
[00:01:49.000 --> 00:01:51.000]  他敬耶路撒冷
[00:01:51.000 --> 00:01:53.000]  然後一直到禮拜四
[00:01:53.000 --> 00:01:55.000]  他為門徒洗腳
[00:01:55.000 --> 00:01:57.000]  跟門徒一起共進晚餐
[00:01:57.000 --> 00:02:00.000]  那麼這個叫做最後的晚餐
[00:02:00.000 --> 00:02:03.000]  晚餐之後帶著彼得約翰雅各到科西瑪麗園
[00:02:03.000 --> 00:02:05.000]  記不記得在科西瑪麗園
[00:02:05.000 --> 00:02:07.000]  他跟門徒們說
[00:02:07.000 --> 00:02:09.000]  你們可不可以跟我請行禱告一個小時
[00:02:09.000 --> 00:02:11.000]  騙食對不對
[00:02:11.000 --> 00:02:12.000]  門徒們呢
[00:02:12.000 --> 00:02:13.000]  彼得雅各約翰呢
[00:02:13.000 --> 00:02:15.000]  當耶穌去禱告完了之後
[00:02:15.000 --> 00:02:17.000]  回來經過的時候看見怎麼樣
