
[00:00:00.000 --> 00:00:03.000]  各位朋友、各位弟兄姊妹,大家好
[00:00:03.000 --> 00:00:06.000]  非常感謝天父的恩典
[00:00:06.000 --> 00:00:12.000]  讓我們在這個地方可以一同來學習聖經神的話語
[00:00:12.000 --> 00:00:16.000]  最近因爲這個疫情的緣故
[00:00:16.000 --> 00:00:20.000]  有很多的國家都實行要封閉
[00:00:20.000 --> 00:00:25.000]  就是你在城市裏面不能到街上面跑
[00:00:25.000 --> 00:00:28.000]  你要留在家裏面
[00:00:28.000 --> 00:00:33.000]  所以就有很多的短片在這個時候發出來說
[00:00:33.000 --> 00:00:36.000]  請留在家
[00:00:36.000 --> 00:00:38.000]  你要戴口罩
[00:00:38.000 --> 00:00:43.000]  不戴口罩就病菌找你
[00:00:43.000 --> 00:00:45.000]  你到處亂走
[00:00:45.000 --> 00:00:48.000]  就你的生命受危險
[00:00:48.000 --> 00:00:51.000]  所以這是一個宣傳
[00:00:51.000 --> 00:00:54.000]  是大家都留在家裏面
[00:00:54.000 --> 00:00:59.000]  留在家裏面就表示你有孩子
[00:00:59.000 --> 00:01:02.000]  你就整天跟你的孩子在一起
[00:01:02.000 --> 00:01:06.000]  最高興的當然是你的孩子們
[00:01:06.000 --> 00:01:08.000]  以前爸爸媽媽都要上班
[00:01:08.000 --> 00:01:10.000]  很少在家的
[00:01:10.000 --> 00:01:13.000]  現在那麼天大的好消息
[00:01:13.000 --> 00:01:15.000]  他們陪我們玩
[00:01:15.000 --> 00:01:18.000]  結果你的孩子們就纏着你了
[00:01:18.000 --> 00:01:21.000]  叫你陪他做什麼
[00:01:21.000 --> 00:01:25.000]  可能學校有一些功課要他們做的
[00:01:25.000 --> 00:01:31.000]  但是你知道小孩子幾下就把功課都做完了
[00:01:31.000 --> 00:01:38.000]  結果他整天下來就要找東西填補他的時間
[00:01:38.000 --> 00:01:42.000]  結果就有很多創意的東西發現出來了
[00:01:42.000 --> 00:01:46.000]  原來一家人可以在家裏面玩的
[00:01:46.000 --> 00:01:48.000]  而且玩得很開心
[00:01:48.000 --> 00:01:52.000]  也有一些人就面對一些困難了
[00:01:52.000 --> 00:01:55.000]  因爲家裏面的關係不是那麼好
[00:01:55.000 --> 00:01:58.000]  那就變成困獸鬥了
[00:01:58.000 --> 00:02:01.000]  被大家困在一塊兒
[00:02:01.000 --> 00:02:05.000]  特別夫婦之間有感情不好的
[00:02:05.000 --> 00:02:07.000]  那可是頂麻煩
[00:02:07.000 --> 00:02:13.000]  丈夫看見妻子就不曉得說什麼好了
[00:02:13.000 --> 00:02:17.000]  妻子看見丈夫又很生氣
[00:02:17.000 --> 00:02:20.000]  以往大家都往外跑
[00:02:20.000 --> 00:02:23.000]  在彼此見面的時間非常短
[00:02:23.000 --> 00:02:27.000]  現在整天都連在一塊兒
[00:02:27.000 --> 00:02:29.000]  那怎麼辦
[00:02:29.000 --> 00:02:34.000]  但是一個幸福的家庭就很不一樣了
[00:02:34.000 --> 00:02:36.000]  有天倫之樂
[00:02:36.000 --> 00:02:42.000]  有家庭裏面的那個歡笑、歡樂的氣氛
[00:02:42.000 --> 00:02:46.000]  也有一些國外的國家
[00:02:46.000 --> 00:02:48.000]  比如說意大利
[00:02:48.000 --> 00:02:51.000]  因爲意大利的疫情也是蠻厲害的
[00:02:51.000 --> 00:02:55.000]  他們就在他們的窗戶
[00:02:55.000 --> 00:02:59.000]  唱起意大利的歌曲來了
[00:02:59.000 --> 00:03:02.000]  結果就有對面的人合唱
[00:03:02.000 --> 00:03:08.000]  結果整條街就變成唱意大利的情歌
[00:03:08.000 --> 00:03:11.000]  唱歌曲的名曲
[00:03:11.000 --> 00:03:17.000]  唱一些他們很風俗的流行曲、名歌
[00:03:17.000 --> 00:03:23.000]  是每一個地方都找到彼此可以溝通
[00:03:23.000 --> 00:03:25.000]  彼此可以來往
[00:03:25.000 --> 00:03:28.000]  彼此有創意的方法
[00:03:28.000 --> 00:03:32.000]  今天很想跟各位一同來唸的
[00:03:32.000 --> 00:03:36.000]  是詩篇128篇
[00:03:36.000 --> 00:03:39.000]  這篇詩篇是非常重要的
[00:03:39.000 --> 00:03:44.000]  因爲這篇詩就是談到家庭的問題
[00:03:44.000 --> 00:03:48.000]  所以我特別在一個家的客廳裏面
[00:03:48.000 --> 00:03:50.000]  拍這條短片
[00:03:50.000 --> 00:03:56.000]  希望大家有一種家庭溫暖的感覺
[00:03:56.000 --> 00:04:03.000]  詩篇裏面一共有15篇叫做上行之詩
[00:04:03.000 --> 00:04:10.000]  這是這15首的詩歌是他們往耶路撒冷去的時候
[00:04:10.000 --> 00:04:13.000]  在路上唱的歌
[00:04:13.000 --> 00:04:17.000]  那一共有15首之多
[00:04:17.000 --> 00:04:24.000]  這是從詩篇120篇一直到詩篇134篇
[00:04:24.000 --> 00:04:27.000]  總共是15首
[00:04:27.000 --> 00:04:29.000]  有人就說了
[00:04:29.000 --> 00:04:35.000]  因爲耶路撒冷是在一個比較高尚上面的
