
[00:00:00.000 --> 00:00:03.000]  弟兄姐妹平安,我們就一次低頭祈禱吧
[00:00:03.000 --> 00:00:06.000]  天父,我們多謝祢,因為祢創造我們
[00:00:06.000 --> 00:00:11.000]  祢是用祢的愛來塑造我們的生命
[00:00:11.000 --> 00:00:13.000]  我們存活在世上的時候
[00:00:13.000 --> 00:00:16.000]  我們不是好像天上的浮雲
[00:00:16.000 --> 00:00:20.000]  或者海水面上的浮萍,隨意的飄蕩
[00:00:20.000 --> 00:00:24.000]  我們是有我們人生的目標和使命
[00:00:24.000 --> 00:00:27.000]  更加重要的就是我們活著的時候
[00:00:27.000 --> 00:00:30.000]  為了可以去榮耀祢
[00:00:30.000 --> 00:00:33.000]  我們今天表講人生最後一講
[00:00:33.000 --> 00:00:37.000]  但也不代表我們停在這裡
[00:00:37.000 --> 00:00:40.000]  更加讓我們去釐定我們的方向的時候
[00:00:40.000 --> 00:00:45.000]  我們更加知道在我們的生命當中
[00:00:45.000 --> 00:00:48.000]  怎樣去實踐,怎樣去跟從
[00:00:48.000 --> 00:00:50.000]  求祢再一次用祢的說話
[00:00:50.000 --> 00:00:52.000]  來激動我們的心
[00:00:52.000 --> 00:00:56.000]  也讓我們聽到祢要跟我們說的話
[00:00:56.000 --> 00:00:58.000]  讓我們有柔軟的心去回應
[00:00:58.000 --> 00:01:00.000]  奉耶穌基督的名祈求
[00:01:00.000 --> 00:01:02.000]  阿們
[00:01:02.000 --> 00:01:04.000]  好了,今天就是最後一講
[00:01:04.000 --> 00:01:06.000]  標章人生的最後一講
[00:01:06.000 --> 00:01:10.000]  就是我們是為了有使命而被造的
[00:01:10.000 --> 00:01:12.000]  我們人活在世上
[00:01:12.000 --> 00:01:15.000]  使命感是非常之重要
[00:01:15.000 --> 00:01:17.000]  如果沒有了使命感
[00:01:17.000 --> 00:01:19.000]  其實你的人是沒有什麼方向
[00:01:19.000 --> 00:01:25.000]  因為你好像不斷地被很多
[00:01:25.000 --> 00:01:29.000]  在你每天所需的事情發生
[00:01:29.000 --> 00:01:32.000]  已經佔據了你的人生
[00:01:32.000 --> 00:01:35.000]  很多時候有一句說話也是很真實的
[00:01:35.000 --> 00:01:38.000]  就是說我們很多時候
[00:01:38.000 --> 00:01:42.000]  每天不斷地在人生中
[00:01:42.000 --> 00:01:49.000]  充斥著很多很繁忙的事情
[00:01:49.000 --> 00:01:55.000]  但是很多時候這些都不是重要的事情
[00:01:55.000 --> 00:01:57.000]  不知道你有沒有這樣的感覺呢
[00:01:57.000 --> 00:02:00.000]  真的好像不斷地忙
[00:02:00.000 --> 00:02:03.000]  但是你想想你所忙的事情
