
[00:00:00.000 --> 00:00:05.560]  《士司機》第十一章尾和第十二章
[00:00:05.560 --> 00:00:08.520]  剛才我們讀了一些經文
[00:00:08.520 --> 00:00:11.600]  我們看到耶佛他是怎樣呢?
[00:00:11.600 --> 00:00:14.280]  將祂的女兒獻給了神
[00:00:14.280 --> 00:00:17.760]  什麼叫做獻作繁祭?
[00:00:17.760 --> 00:00:19.600]  繁祭的意思就是
[00:00:19.600 --> 00:00:24.040]  將一個祭物燒了來獻給神
[00:00:24.040 --> 00:00:27.480]  我以前讀《士司機》第十一章的時候
[00:00:27.480 --> 00:00:30.160]  很心痛、很傷心
[00:00:30.160 --> 00:00:34.760]  有什麼可能將自己的女兒燒了來獻給神?
[00:00:34.760 --> 00:00:36.560]  讀到這裡我就會很傷心
[00:00:36.560 --> 00:00:38.520]  因為我也有兩個女兒
[00:00:38.520 --> 00:00:41.600]  怎麼可能做出這樣的事?
[00:00:41.600 --> 00:00:44.760]  我相信今天看著經文
[00:00:44.760 --> 00:00:47.600]  我們會一起來理解經文
[00:00:47.600 --> 00:00:52.520]  我相信我今天會給大家一個正式的解答
[00:00:52.520 --> 00:00:56.600]  究竟耶佛他有沒有獻到祂的女兒呢?
[00:00:56.600 --> 00:01:03.880]  今天我們也會講其他第九、第十和十一個的《士司》
[00:01:03.880 --> 00:01:08.080]  就是《以彼撰》、《以論》和《鴨頓》
[00:01:08.080 --> 00:01:12.040]  這個系列我稱為《十二士司記》
[00:01:12.040 --> 00:01:14.360]  真的可以講出十二個《士司》
[00:01:14.360 --> 00:01:16.440]  我們是逐個講
[00:01:16.440 --> 00:01:18.120]  《聖經》裏面很有趣
[00:01:18.120 --> 00:01:21.000]  有十二支派、十二先之書
[00:01:21.000 --> 00:01:23.240]  又有十二個《士司》
[00:01:23.240 --> 00:01:25.400]  更加有十二個門徒
[00:01:25.400 --> 00:01:29.000]  希望將來有機會能夠跟大家講
[00:01:29.000 --> 00:01:35.320]  十二支派和十二門徒的系列
[00:01:35.320 --> 00:01:36.920]  講到耶佛他
[00:01:36.920 --> 00:01:39.080]  祂就是第八位士司
[00:01:39.080 --> 00:01:41.720]  我講過在《士司記》裏面
[00:01:41.720 --> 00:01:46.000]  是有七個惡性的循環不斷地發生
[00:01:46.000 --> 00:01:47.240]  去到耶佛他
[00:01:47.240 --> 00:01:51.880]  其實我們見到是第六個惡性的循環
[00:01:51.880 --> 00:01:53.880]  以色列人有犯罪
[00:01:53.880 --> 00:01:57.320]  神就興起衙門人來懲罰他們
[00:01:57.320 --> 00:01:59.120]  當他們向神呼求
[00:01:59.120 --> 00:02:08.440]  神就召耶佛他來打救以色列人
[00:02:08.440 --> 00:02:11.520]  耶佛他,我們上次講了祂的故事
[00:02:11.520 --> 00:02:14.560]  祂是一個妓女所生的兒子
[00:02:14.560 --> 00:02:16.960]  被祂的家人所藐視
[00:02:16.960 --> 00:02:19.480]  祂有一個低微的出身
[00:02:19.480 --> 00:02:21.560]  但是沒有影響到祂
[00:02:21.560 --> 00:02:25.920]  祂仍然能夠成為以色列人的領袖
[00:02:25.920 --> 00:02:29.080]  由耶佛他和衙門王的對話
[00:02:29.080 --> 00:02:33.840]  我們見到耶佛他其實是很認識神的話語
[00:02:33.840 --> 00:02:37.960]  認識神的話語亦都給祂有很大的信心
[00:02:37.960 --> 00:02:40.560]  在《士司記》十一章二十七節
[00:02:40.560 --> 00:02:43.040]  祂說願審判人的耶和華
[00:02:43.040 --> 00:02:48.800]  今日在以色列人和衙門人中間判斷是非
[00:02:48.800 --> 00:02:51.800]  祂願意將主權交給神
[00:02:51.800 --> 00:02:55.560]  祂願意由神來主持公道
[00:02:55.560 --> 00:02:58.600]  然後在《士司記》十一章二十九節
[00:02:58.600 --> 00:03:02.560]  為耶和華的靈降在耶佛他的身上
[00:03:02.560 --> 00:03:05.720]  他就經過激烈和馬拿西
[00:03:05.720 --> 00:03:08.240]  來到激烈的米斯巴
[00:03:08.240 --> 00:03:11.760]  又從米斯巴到衙門人那裡
[00:03:11.760 --> 00:03:17.360]  由耶佛他的故事令我想起新約一節的經文
[00:03:17.360 --> 00:03:20.160]  約翰一書的五章四節
[00:03:20.160 --> 00:03:24.040]  「因為凡從神生的,就勝過世界
[00:03:24.040 --> 00:03:28.200]  使我們勝了世界的,就是我們的信心」
[00:03:28.200 --> 00:03:30.960]  耶佛他憑著神的話語
[00:03:30.960 --> 00:03:35.200]  憑著信心來帶領以色列人
[00:03:35.200 --> 00:03:38.280]  祂有神的靈在祂的身上
[00:03:38.280 --> 00:03:40.560]  以致祂是所向無敵
[00:03:40.560 --> 00:03:46.880]  祂號召以色列人來與衙門人對抗
[00:03:46.880 --> 00:03:50.040]  很可惜,我剛才說了
[00:03:50.040 --> 00:03:54.800]  祂雖然有信心,但祂仍然有信心不足的時候
[00:03:54.800 --> 00:03:57.800]  祂為了確保祂自己的勝利
[00:03:57.800 --> 00:04:03.280]  居然愚蠢地向神許願來起誓
[00:04:03.280 --> 00:04:06.000]  獻了自己的女兒給神
[00:04:06.000 --> 00:04:10.800]  神幫助耶佛他打勝了衙門人
[00:04:10.800 --> 00:04:13.120]  供取了二十個城
[00:04:13.120 --> 00:04:17.120]  這樣,衙門人就被以色列人制伏了
[00:04:17.120 --> 00:04:20.400]  《史詩記》的十一章三十三節
[00:04:20.400 --> 00:04:22.320]  感謝神
[00:04:22.320 --> 00:04:25.160]  因為有神的幫助
[00:04:25.160 --> 00:04:28.320]  衙門人不再侵犯以色列人
[00:04:28.320 --> 00:04:30.920]  是有五十年那麼久
[00:04:30.920 --> 00:04:34.600]  直到撒母以上的第十一章
[00:04:34.600 --> 00:04:36.000]  掃羅的時候
[00:04:36.000 --> 00:04:40.800]  衙門人才來到再次侵犯以色列人
[00:04:40.800 --> 00:04:43.440]  我下一年就會跟大家說
[00:04:43.440 --> 00:04:46.240]  路德記和撒母以上
[00:04:46.240 --> 00:04:50.800]  就會說到掃羅的事蹟
[00:04:50.800 --> 00:04:54.040]  剛才說耶佛祂因為信心不足
[00:04:54.040 --> 00:04:57.320]  所以祂下了一個誓言
[00:04:57.320 --> 00:04:59.320]  許了一個願
[00:04:59.320 --> 00:05:05.520]  很多人在危難當中都會起誓來許願
[00:05:05.520 --> 00:05:06.520]  他們會怎樣?
[00:05:06.520 --> 00:05:11.720]  他們會說:神啊,如果祢幫我的話,我就會怎樣怎樣怎樣
[00:05:11.720 --> 00:05:15.000]  其實這樣做是在做什麼?
[00:05:15.000 --> 00:05:19.840]  你是在向神,跟神討價還價
[00:05:19.840 --> 00:05:21.720]  你說:不是啊,牧師
[00:05:21.720 --> 00:05:25.560]  我真心許願起誓的
[00:05:25.560 --> 00:05:27.440]  但是你的誓言怎樣說?
[00:05:27.440 --> 00:05:31.280]  神啊,如果祢幫我的話,我就怎樣怎樣
[00:05:31.280 --> 00:05:34.840]  就是說,你不幫我,我就不會怎樣了
