
[00:00:00.000 --> 00:00:02.800]  相信大家都會感受到
[00:00:02.800 --> 00:00:05.480]  聖誕節的節日氣氛的逼近
[00:00:05.480 --> 00:00:09.240]  或者我們已經開始
[00:00:09.240 --> 00:00:12.060]  去參與很多
[00:00:12.060 --> 00:00:14.800]  有關聖誕節的活動了
[00:00:14.800 --> 00:00:17.780]  再過兩天就是聖誕節
[00:00:17.780 --> 00:00:20.840]  剛才詩歌說聖誕節
[00:00:20.840 --> 00:00:23.900]  不是慶祝聖誕老人
[00:00:23.900 --> 00:00:26.640]  是紀念慶祝
[00:00:26.640 --> 00:00:29.240]  我們的救主耶穌基督降生
[00:00:30.880 --> 00:00:33.020]  在這裡預祝大家
[00:00:33.020 --> 00:00:35.620]  有一個快樂的聖誕
[00:00:35.620 --> 00:00:37.680]  和有蒙恩的聖誕節
[00:00:37.680 --> 00:00:42.760]  聖誕節當然會想起聖誕禮物
[00:00:42.760 --> 00:00:46.640]  救主降生就是神給我們世人
[00:00:46.640 --> 00:00:48.920]  最大最好的禮物
[00:00:48.920 --> 00:00:51.320]  我希望每一個人
[00:00:51.320 --> 00:00:53.940]  都能夠得到這份寶貴的禮物
[00:00:53.940 --> 00:00:56.940]  說到禮物
[00:00:57.460 --> 00:01:00.680]  有一個故事是這樣的
[00:01:00.680 --> 00:01:03.160]  有一個小朋友
[00:01:03.160 --> 00:01:07.540]  他在聖誕節那天回到禮拜堂
[00:01:07.540 --> 00:01:12.600]  主學的老師就問這個小朋友
[00:01:12.600 --> 00:01:15.480]  你是不是已經收到
[00:01:15.480 --> 00:01:17.860]  所有你想要的聖誕禮物了
[00:01:17.860 --> 00:01:22.380]  這個小朋友看著老師說
[00:01:22.380 --> 00:01:24.780]  不是的,我沒有什麼禮物
[00:01:25.140 --> 00:01:28.400]  不過不要緊,又不是我的生日
[00:01:28.400 --> 00:01:30.480]  是主耶穌的生日
[00:01:30.480 --> 00:01:35.520]  這個故事就說完了
[00:01:35.520 --> 00:01:38.620]  這個小女孩的回答
[00:01:38.620 --> 00:01:40.700]  是很天真很簡單
[00:01:40.700 --> 00:01:42.480]  但是
[00:01:42.480 --> 00:01:46.300]  我相信給我們一個很大的提醒
[00:01:46.300 --> 00:01:51.080]  聖誕節究竟應該是誰收禮物呢?
[00:01:51.080 --> 00:01:54.020]  誰穿著要送禮物呢?
[00:01:56.000 --> 00:01:59.460]  聖誕節是紀念耶穌的生日
[00:01:59.460 --> 00:02:01.700]  應該是耶穌
[00:02:01.700 --> 00:02:05.220]  應該收到祂想要的禮物
[00:02:05.220 --> 00:02:09.900]  我們也應該要送一些
[00:02:09.900 --> 00:02:12.000]  耶穌想要的禮物
[00:02:12.000 --> 00:02:16.840]  但是很多時候聖誕節我們只顧著
[00:02:16.840 --> 00:02:18.760]  我們自己收到什麼禮物
[00:02:18.760 --> 00:02:21.360]  或者我們自己想送什麼禮物給
[00:02:21.360 --> 00:02:24.460]  我們自己所喜歡所愛的人
[00:02:25.980 --> 00:02:27.780]  真的很值得我們去想
[00:02:27.780 --> 00:02:31.680]  我們有沒有預備禮物來送給
[00:02:31.680 --> 00:02:33.380]  我們的救主耶穌呢?
[00:02:33.380 --> 00:02:38.800]  我們應該送什麼禮物好呢?
[00:02:38.800 --> 00:02:43.160]  什麼禮物是耶穌想要的呢?
[00:02:43.160 --> 00:02:47.120]  相信大家都會猜到
[00:02:47.120 --> 00:02:50.920]  耶穌所要我們的禮物
[00:02:50.920 --> 00:02:55.120]  是要我們預備好心來接待祂
[00:02:56.140 --> 00:02:59.020]  這是祂最想要的禮物
[00:02:59.020 --> 00:03:03.480]  我們願不願意好好地預備我們的心
[00:03:03.480 --> 00:03:06.040]  來接待我們的救主降臨
[00:03:06.040 --> 00:03:12.120]  從聖經的記載
[00:03:12.120 --> 00:03:15.560]  或者從很多歷史的資料顯示
[00:03:15.560 --> 00:03:18.640]  掌管歷史的神
[00:03:18.640 --> 00:03:21.460]  祂是很精心
[00:03:21.460 --> 00:03:23.980]  很熱心地為我們人類
[00:03:23.980 --> 00:03:27.160]  準備這個救恩的工程
[00:03:27.160 --> 00:03:33.840]  很熱心地為我們安排救主的降生
[00:03:33.840 --> 00:03:37.500]  我今天就帶大家一起去
[00:03:37.500 --> 00:03:41.060]  看看去學習這一方面
[00:03:41.060 --> 00:03:44.180]  就是當我們看到神
[00:03:44.180 --> 00:03:49.700]  祂在賜給我們人類救主的這件事上
[00:03:49.700 --> 00:03:50.900]  祂是這麼積極
[00:03:50.900 --> 00:03:52.300]  這麼熱心
[00:03:52.300 --> 00:03:55.340]  這麼精心地安排
[00:03:55.340 --> 00:04:02.420]  讓我們可以立定決心來接受祂
[00:04:02.420 --> 00:04:05.980]  讓我們有勇氣踏出一步
[00:04:05.980 --> 00:04:08.380]  為我們的救主而活
[00:04:08.380 --> 00:04:12.300]  我們大家先看看
[00:04:12.300 --> 00:04:16.340]  《勞家福音》二章一節那一段
[00:04:16.340 --> 00:04:18.540]  《勞家福音》二章一節
[00:04:20.140 --> 00:04:24.900]  「當那些日子,凱撒·阿古士督有旨意下來
