
[00:00:00.000 --> 00:00:01.960]  我們一起去看主的話語之前
[00:00:01.960 --> 00:00:04.840]  讓我們同心的再一次的去禱告
[00:00:04.840 --> 00:00:11.060]  創造天地萬物的主宰
[00:00:11.060 --> 00:00:12.260]  我們天上的爸爸
[00:00:12.260 --> 00:00:15.260]  我們實在是很興奮
[00:00:15.260 --> 00:00:18.060]  每一個星期回到你的家
[00:00:18.060 --> 00:00:19.100]  你的殿裡面
[00:00:19.100 --> 00:00:21.360]  我們去朝見
[00:00:21.360 --> 00:00:22.600]  去敬拜
[00:00:22.600 --> 00:00:24.600]  這位獨一的真神
[00:00:24.600 --> 00:00:27.760]  我們獻上我們衷心的感謝
[00:00:28.100 --> 00:00:30.360]  我們能夠平平安安回到這裡
[00:00:30.360 --> 00:00:32.860]  主耶穌,我們感恩
[00:00:32.860 --> 00:00:34.960]  我們能夠有一個
[00:00:34.960 --> 00:00:37.060]  如此舒適的環境
[00:00:37.060 --> 00:00:39.160]  去聆聽你自己的話語
[00:00:39.160 --> 00:00:40.360]  我們感恩
[00:00:40.360 --> 00:00:42.360]  我們有一群
[00:00:42.360 --> 00:00:44.860]  衷心的去愛你
[00:00:44.860 --> 00:00:47.020]  去侍奉你的這個群體
[00:00:47.020 --> 00:00:48.060]  這個教會
[00:00:48.060 --> 00:00:49.400]  我們感恩
[00:00:49.400 --> 00:00:52.800]  我們就在這個時候特別祈求
[00:00:52.800 --> 00:00:56.360]  主耶穌,你自己差派聖靈在我們當中
[00:00:57.360 --> 00:00:59.060]  充滿我們每一個人的心
[00:00:59.060 --> 00:01:00.960]  打開我們的心竅
[00:01:00.960 --> 00:01:02.660]  打開我們的眼睛
[00:01:02.660 --> 00:01:04.060]  打開我們的耳朵
[00:01:04.060 --> 00:01:05.860]  讓我們聽得明白
[00:01:05.860 --> 00:01:08.620]  不只是單單我們的腦袋
[00:01:08.620 --> 00:01:10.500]  去明白一些的道理
[00:01:10.500 --> 00:01:12.360]  更加重要的就是
[00:01:12.360 --> 00:01:16.520]  讓我們能夠從心裡面領會
[00:01:16.520 --> 00:01:18.620]  並且實實在在
[00:01:18.620 --> 00:01:21.760]  切切實實地活在我們的生命當中
[00:01:21.760 --> 00:01:23.360]  主耶穌
[00:01:23.360 --> 00:01:26.120]  求你自己親自臨界在我們的當中
[00:01:26.460 --> 00:01:27.660]  親自的作王
