
[00:00:00.000 --> 00:00:12.000]  可能大家都會有印象,2006年的時候,冥王星被剔除在九大行星之外。
[00:00:12.000 --> 00:00:16.000]  突然間矮了一級,叫做矮行星。
[00:00:16.000 --> 00:00:24.000]  但不知道大家知不知道,究竟冥王星是怎樣被發現的?
[00:00:24.000 --> 00:00:32.000]  其實在第十九世紀末的時候,天文學家都發現了一件事,
[00:00:32.000 --> 00:00:37.000]  在那些已知的行星運行裏面,
[00:00:37.000 --> 00:00:47.000]  他們發覺為什麼有些行星的軌跡,好像有些引力令它歪了一點。
[00:00:47.000 --> 00:00:52.000]  於是他們就去找,
[00:00:52.000 --> 00:00:58.000]  發現原來海王星是存在的。
[00:00:58.000 --> 00:01:03.000]  找完海王星之後,
[00:01:03.000 --> 00:01:12.000]  他們就發覺旁邊還有一些引力,可能牽引著海王星。
[00:01:12.000 --> 00:01:22.000]  就將這個重要的任務,在1929年3月給了一個叫湯伯的人。
[00:01:22.000 --> 00:01:24.000]  這是一個什麼樣的任務呢?
[00:01:24.000 --> 00:01:30.000]  他就需要很有系統地去比較夜晚的星空,
[00:01:30.000 --> 00:01:38.000]  拍一些照片下來,然後逐張逐張去分析究竟在當中的變化。
[00:01:38.000 --> 00:01:48.000]  他就說,有些時候只是比對兩張照片,都會用了他三天的時間。
[00:01:48.000 --> 00:01:54.000]  你看到眼都花了,而且很累,
[00:01:54.000 --> 00:01:59.000]  兼且是悶到飛起,都可以理解到。
[00:01:59.000 --> 00:02:11.000]  於是他一共對比了超過2000萬張照片,
[00:02:11.000 --> 00:02:15.000]  經過了差不多一年的努力,
[00:02:15.000 --> 00:02:20.000]  終於在1930年2月18日,
[00:02:20.000 --> 00:02:25.000]  他就對比兩張1月份拍攝的照片,
[00:02:25.000 --> 00:02:30.000]  就是這樣被他發現了冥王星。
[00:02:30.000 --> 00:02:37.000]  其實堅持實踐信仰都是一樣的,
[00:02:37.000 --> 00:02:41.000]  都是這麼重要,都是這麼不容易的。
[00:02:41.000 --> 00:02:44.000]  我在上次講道結束的時候,
[00:02:44.000 --> 00:02:51.000]  提到這班以色列民,因為他們帶著謙恭自卑,
[00:02:51.000 --> 00:02:57.000]  他們願意執意而聽上帝要跟他們講的話,
[00:02:57.000 --> 00:03:02.000]  當他們真正明白神的道,
[00:03:02.000 --> 00:03:10.000]  即使在那段時間,他們是經歷過國破家亡,
[00:03:10.000 --> 00:03:15.000]  有機會回歸,有頭再重見過,
[00:03:15.000 --> 00:03:24.000]  他們仍然可以大大喜樂,並且依靠上帝的緣故得著力量。
[00:03:24.000 --> 00:03:28.000]  上次講第八章還未完,
[00:03:28.000 --> 00:03:34.000]  今日會繼續段落13至18節,
[00:03:34.000 --> 00:03:42.000]  但短短6節的聖經都給我們幾個非常重要的提醒,
[00:03:42.000 --> 00:03:45.000]  我們先讀一讀這段聖經,預備起!
[00:03:45.000 --> 00:03:52.000]  此日眾民的族長,祭司和利美人都聚集到民事以斯拉那裡,
[00:03:52.000 --> 00:03:57.000]  要留心聽律法上的話,他們見律法上寫著,
[00:03:57.000 --> 00:04:02.000]  而話直摩西吩咐以色列人,要在七月節住旁,
[00:04:02.000 --> 00:04:06.000]  並要在各城和耶路撒冷宣傳報告說,
[00:04:06.000 --> 00:04:10.000]  你們當上山,將橄欖樹,野橄欖樹,
[00:04:10.000 --> 00:04:18.000]  番石樓樹,棕樹和各樣茂密的樹枝取來,照著所寫的答旁。
[00:04:18.000 --> 00:04:21.000]  於是百姓出去,取了樹枝來,
[00:04:21.000 --> 00:04:26.000]  各人在自己的房頂上,或院內,或神殿的院內,
[00:04:26.000 --> 00:04:31.000]  或水門的寬闊處,或以法連門的寬闊處答旁。
[00:04:31.000 --> 00:04:37.000]  從老道之地歸回的會眾就集旁,住在旁裡,
[00:04:37.000 --> 00:04:41.000]  從亂的兒子約書亞的時候,直到這日,
[00:04:41.000 --> 00:04:45.000]  以色列人沒有這樣行,於是眾人大大喜樂,
[00:04:45.000 --> 00:04:50.000]  從頭一天直到末一天,以斯拉每日念神的律法書,
[00:04:50.000 --> 00:04:55.000]  眾人首節七日,第八日,照例有嚴肅會。
[00:04:55.000 --> 00:05:03.000]  其實這個段落,你都可以當作第八章的小結。
[00:05:03.000 --> 00:05:13.000]  表達這一班以色列民,如何以行動去堅持更深認識和實踐上帝的教導。
[00:05:13.000 --> 00:05:16.000]  一開始的時候,十三節那裡說,
